#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    3.786912E+04   1.0000E-099   9.2202E-001   7.7983E-002   1.7313E-014
    3.888044E+04   1.0000E-099   9.0852E-001   9.1479E-002   2.7897E-014
    3.991994E+04   1.0000E-099   8.9642E-001   1.0358E-001   4.1199E-014
    4.098383E+04   1.0000E-099   8.8650E-001   1.1350E-001   5.7377E-014
    4.207443E+04   1.0000E-099   8.7972E-001   1.2028E-001   7.5577E-014
    4.319619E+04   1.0000E-099   8.7614E-001   1.2386E-001   9.4405E-014
    4.435339E+04   1.0000E-099   8.7488E-001   1.2512E-001   1.1250E-013
    4.555005E+04   1.0000E-099   8.7393E-001   1.2607E-001   1.3027E-013
    4.678738E+04   1.0000E-099   8.7123E-001   1.2877E-001   1.4981E-013
    4.806468E+04   1.0000E-099   8.6540E-001   1.3460E-001   1.7362E-013
    4.937985E+04   1.0000E-099   8.5566E-001   1.4434E-001   2.0391E-013
    5.073002E+04   1.0000E-099   8.4204E-001   1.5796E-001   2.4205E-013
    5.211198E+04   1.0000E-099   8.2656E-001   1.7344E-001   2.8535E-013
    5.352349E+04   1.0000E-099   8.1110E-001   1.8890E-001   3.2946E-013
    5.496004E+04   1.0000E-099   7.9706E-001   2.0294E-001   3.6964E-013
    5.642085E+04   1.0000E-099   7.8732E-001   2.1268E-001   3.9836E-013
    5.789881E+04   1.0000E-099   7.8401E-001   2.1599E-001   4.0992E-013
    5.939226E+04   1.0000E-099   7.8560E-001   2.1440E-001   4.0730E-013
    6.088737E+04   1.0000E-099   7.8978E-001   2.1022E-001   3.9548E-013
    6.237825E+04   1.0000E-099   7.9701E-001   2.0299E-001   3.7431E-013
    6.383998E+04   1.0000E-099   8.0769E-001   1.9231E-001   3.4441E-013
    6.526223E+04   1.0000E-099   8.1993E-001   1.8007E-001   3.1043E-013
    6.660986E+04   1.0000E-099   8.3076E-001   1.6924E-001   2.7935E-013
    6.786444E+04   1.0000E-099   8.4132E-001   1.5868E-001   2.4883E-013
    6.899777E+04   1.0000E-099   8.5162E-001   1.4838E-001   2.1528E-013
    6.951321E+04   1.0000E-099   8.6140E-001   1.3860E-001   1.8133E-013
    6.977237E+04   1.0000E-099   8.6742E-001   1.3258E-001   1.5469E-013
    6.990232E+04   1.0000E-099   8.7228E-001   1.2772E-001   1.2948E-013
    6.996738E+04   1.0000E-099   8.7584E-001   1.2416E-001   1.0938E-013
    6.999830E+04   1.0000E-099   8.7813E-001   1.2187E-001   9.5126E-014
    6.999993E+04   1.0000E-099   8.7841E-001   1.2159E-001   9.3472E-014
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    8.484664E+02   1.0000E-099   4.2327E-013   3.2833E-006   1.0000E+000
    8.528610E+02   1.0000E-099   4.2327E-013   3.2833E-006   1.0000E+000
    8.661820E+02   1.0000E-099   4.2327E-013   3.2833E-006   1.0000E+000
    8.934513E+02   1.0000E-099   4.2328E-013   3.2834E-006   1.0000E+000
    9.472405E+02   1.0000E-099   4.2331E-013   3.2835E-006   1.0000E+000
    1.007109E+03   1.0000E-099   4.2341E-013   3.2838E-006   1.0000E+000
    1.070759E+03   1.0000E-099   4.2326E-013   3.2830E-006   1.0000E+000
    1.138432E+03   1.0000E-099   4.2061E-013   3.2728E-006   1.0000E+000
    1.210381E+03   1.0000E-099   4.1219E-013   3.2456E-006   1.0000E+000
    1.286878E+03   1.0000E-099   3.8138E-013   3.1579E-006   1.0000E+000
    1.368209E+03   1.0000E-099   2.7429E-013   2.7890E-006   1.0000E+000
    1.454681E+03   1.0000E-099   1.9413E-013   2.4598E-006   1.0000E+000
    1.546618E+03   1.0000E-099   1.6720E-013   2.3272E-006   1.0000E+000
    1.644365E+03   1.0000E-099   1.3802E-013   2.1640E-006   1.0000E+000
    1.748290E+03   1.0000E-099   1.0280E-013   1.9344E-006   1.0000E+000
    1.858783E+03   1.0000E-099   7.5234E-014   1.6975E-006   1.0000E+000
    1.976259E+03   1.0000E-099   5.5951E-014   1.5102E-006   1.0000E+000
    2.101160E+03   1.0000E-099   4.0636E-014   1.3245E-006   1.0000E+000
    2.233954E+03   1.0000E-099   2.9292E-014   1.1608E-006   1.0000E+000
    2.375142E+03   1.0000E-099   2.1307E-014   1.0180E-006   1.0000E+000
    2.525252E+03   1.0000E-099   1.6358E-014   9.1000E-007   1.0000E+000
    2.684850E+03   1.0000E-099   1.3405E-014   8.3186E-007   1.0000E+000
    2.854534E+03   1.0000E-099   1.1912E-014   7.8078E-007   1.0000E+000
    3.034942E+03   1.0000E-099   1.1273E-014   7.4459E-007   1.0000E+000
    3.226752E+03   1.0000E-099   1.2865E-014   7.6568E-007   1.0000E+000
    3.430685E+03   1.0000E-099   1.4047E-014   7.4009E-007   1.0000E+000
    3.647506E+03   1.0000E-099   3.0733E-014   1.0201E-006   1.0000E+000
    3.878031E+03   1.0000E-099   6.9730E-014   1.5095E-006   1.0000E+000
    4.123125E+03   1.0000E-099   7.2669E-014   1.3545E-006   1.0000E+000
    4.383709E+03   1.0000E-099   1.0969E-013   1.5429E-006   1.0000E+000
    4.660762E+03   1.0000E-099   1.1326E-013   1.5463E-006   1.0000E+000
