#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3
35108.48 3.6118e-11 1.7976e-05 7.5826e-02 9.2416e-01
36326.30 1.2571e-11 8.7544e-06 5.3784e-02 9.4621e-01
37486.70 7.6302e-12 7.9427e-06 3.8305e-02 9.6169e-01
38628.25 4.4156e-12 6.4037e-06 2.8380e-02 9.7161e-01
39768.62 8.9917e-13 1.8141e-06 2.1109e-02 9.7889e-01
40915.31 1.9842e-13 5.3791e-07 1.6479e-02 9.8352e-01
42074.51 7.2172e-14 2.6793e-07 1.9399e-03 9.9806e-01
43252.44 6.0633e-14 3.0494e-07 1.1688e-03 9.9883e-01
44454.05 1.8852e-14 1.2994e-07 8.7802e-04 9.9912e-01
45683.04 5.8796e-15 5.4824e-08 5.1300e-03 9.9487e-01
46941.68 1.6021e-15 2.0874e-08 3.8139e-03 9.9619e-01
48230.81 9.0681e-16 1.5727e-08 2.8307e-03 9.9717e-01
49550.29 4.8841e-16 1.3028e-08 2.1017e-03 9.9790e-01
50899.37 2.3942e-16 8.3383e-09 1.5561e-03 9.9844e-01
52276.86 1.6427e-16 6.8065e-09 1.1447e-03 9.9886e-01
53681.16 6.9153e-17 3.5666e-09 8.5982e-04 9.9914e-01
55110.21 2.6436e-17 1.8004e-09 6.4396e-04 9.9936e-01
56561.17 1.3015e-17 1.1531e-09 4.8290e-04 9.9952e-01
58030.00 6.1652e-18 7.0542e-10 3.6303e-04 9.9964e-01
59510.42 3.7537e-18 5.2901e-10 2.7355e-04 9.9973e-01
60993.45 1.0010e-18 1.9408e-10 2.0833e-04 9.9979e-01
62466.44 4.2077e-19 1.0198e-10 1.5956e-04 9.9984e-01
63912.69 4.6626e-19 1.2694e-10 1.2330e-04 9.9988e-01
65311.62 2.9446e-19 1.1264e-10 9.6959e-05 9.9990e-01
66639.26 1.4461e-19 6.4375e-11 7.7608e-05 9.9992e-01
67870.77 7.1760e-20 3.7625e-11 6.3387e-05 9.9994e-01
68864.47 5.3635e-20 3.3673e-11 5.2670e-05 9.9995e-01
69459.55 5.1737e-20 3.1254e-11 4.8921e-05 9.9995e-01
69744.99 3.7356e-20 2.8988e-11 4.7067e-05 9.9995e-01
69888.26 4.1612e-20 2.7813e-11 4.6176e-05 9.9995e-01
69959.62 4.0021e-16 2.7414e-11 4.5759e-05 9.9995e-01
69991.15 3.8121e-16 2.8204e-11 4.5556e-05 9.9995e-01
69999.53 4.5101e-16 3.0513e-11 4.5546e-05 9.9995e-01
#TIME: 204.93
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3
425.78 1.4484e-06 1.0781e-02 9.2103e-01 6.8189e-02
857.79 1.5194e-06 1.2077e-02 9.2359e-01 6.4328e-02
878.44 1.9718e-06 1.8585e-02 9.1228e-01 6.9136e-02
917.72 1.4445e-06 1.3849e-02 9.1774e-01 6.8413e-02
973.04 1.2993e-06 1.0738e-02 9.1901e-01 7.0254e-02
1034.98 9.6831e-07 7.5070e-03 9.2298e-01 6.9511e-02
1099.97 1.1441e-07 1.1602e-03 9.0086e-01 9.7983e-02
1169.04 1.6462e-06 1.8472e-02 9.1143e-01 7.0097e-02
1242.44 2.1019e-06 2.4991e-02 9.0659e-01 6.8421e-02
1320.45 1.7481e-06 1.7245e-02 9.1377e-01 6.8979e-02
1403.37 1.6321e-06 1.0382e-02 9.2535e-01 6.4264e-02
1491.49 2.4246e-06 1.2857e-02 9.2546e-01 6.1676e-02
1585.14 3.7226e-06 2.0469e-02 9.1718e-01 6.2349e-02
1684.67 2.6020e-06 1.3961e-02 9.2540e-01 6.0636e-02
1790.45 2.0589e-06 1.2033e-02 9.2596e-01 6.2007e-02
1902.87 1.3659e-06 1.0236e-02 9.2409e-01 6.5669e-02
2022.36 7.5304e-07 8.7005e-03 9.2205e-01 6.9245e-02
2149.34 1.3127e-07 1.7925e-03 9.3084e-01 6.7369e-02
2284.30 8.9073e-08 1.4744e-03 9.2630e-01 7.2221e-02
2427.74 6.3974e-08 1.2783e-03 9.2069e-01 7.8028e-02
2580.18 6.4728e-08 1.4358e-03 9.1400e-01 8.4566e-02
2742.19 6.5110e-08 1.6145e-03 9.0688e-01 9.1506e-02
2914.37 7.2923e-08 1.7843e-03 8.9859e-01 9.9622e-02
3097.37 9.1164e-08 2.3400e-03 8.9086e-01 1.0680e-01
3291.85 1.3127e-07 3.3368e-03 8.7214e-01 1.2452e-01
3498.55 3.3451e-07 7.0967e-03 8.6541e-01 1.2749e-01
3718.23 6.6569e-06 7.6219e-02 8.2792e-01 9.5854e-02
3951.70 2.4822e-05 1.5615e-01 7.6573e-01 7.8095e-02
4199.83 1.9461e-05 1.3707e-01 7.6435e-01 9.8569e-02
4463.54 1.7806e-05 1.2247e-01 7.7157e-01 1.0594e-01
4743.81 1.7888e-05 1.0699e-01 7.9703e-01 9.5963e-02
5041.68 2.2314e-05 1.0071e-01 8.1212e-01 8.7142e-02
5358.25 2.7986e-05 9.5415e-02 8.2405e-01 8.0503e-02
5694.70 3.4819e-05 9.7554e-02 8.2060e-01 8.1815e-02
6052.28 4.3599e-05 9.5075e-02 8.2658e-01 7.8303e-02
6432.31 5.7388e-05 9.5681e-02 8.2866e-01 7.5601e-02
6836.20 6.9903e-05 9.4314e-02 8.3105e-01 7.4569e-02
7265.45 8.7059e-05 9.3503e-02 8.3294e-01 7.3469e-02
7721.65 1.2696e-04 9.9460e-02 8.2967e-01 7.0748e-02
8206.56 1.5057e-04 9.9140e-02 8.3037e-01 7.0339e-02
8717.73 2.1200e-04 1.0251e-01 8.2860e-01 6.8673e-02
9214.74 2.8598e-04 1.1400e-01 8.2202e-01 6.3697e-02
9629.11 3.2296e-04 1.2663e-01 8.1147e-01 6.1584e-02
9954.11 3.8630e-04 1.4362e-01 7.8825e-01 6.7741e-02
10245.64 4.8320e-04 1.5216e-01 7.8078e-01 6.6577e-02
10541.49 5.4833e-04 1.9117e-01 7.3301e-01 7.5264e-02
