#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] co0 co1 co2
37486.70 1.0962e-06 1.5266e-02 9.8473e-01
38628.25 4.0296e-07 1.0999e-02 9.8900e-01
39768.62 9.6101e-07 8.0895e-03 9.9191e-01
40915.31 5.9822e-07 6.2495e-03 9.9375e-01
42074.51 2.5293e-06 4.6288e-03 9.9537e-01
43252.44 1.2642e-06 3.4265e-03 9.9657e-01
44454.05 1.5235e-06 2.5325e-03 9.9747e-01
45683.04 1.4238e-07 1.8697e-03 9.9813e-01
46941.68 7.6316e-08 1.3792e-03 9.9862e-01
48230.81 7.1086e-08 1.0164e-03 9.9898e-01
49550.29 1.0421e-07 7.4944e-04 9.9925e-01
50899.37 6.5764e-08 5.5312e-04 9.9945e-01
52276.86 4.5171e-08 4.0889e-04 9.9959e-01
53681.16 2.6321e-08 3.0281e-04 9.9970e-01
55110.21 1.4893e-08 2.2481e-04 9.9978e-01
56561.17 8.1627e-09 1.6743e-04 9.9983e-01
58030.00 1.3381e-09 1.2533e-04 9.9987e-01
59510.42 5.0841e-11 9.4268e-05 9.9991e-01
60993.45 1.9108e-11 7.1405e-05 9.9993e-01
62466.44 2.5063e-11 5.4528e-05 9.9995e-01
63912.69 5.1093e-10 4.2130e-05 9.9996e-01
65311.62 3.0501e-10 3.3013e-05 9.9997e-01
66639.26 1.9844e-10 2.6354e-05 9.9997e-01
67870.77 1.3087e-10 2.1453e-05 9.9998e-01
68864.47 8.9797e-11 1.7792e-05 9.9998e-01
69459.55 7.7058e-11 1.6483e-05 9.9998e-01
69744.99 7.1209e-11 1.5853e-05 9.9998e-01
69888.26 6.8465e-11 1.5557e-05 9.9998e-01
69959.62 6.7142e-11 1.5398e-05 9.9998e-01
69991.15 6.6502e-11 1.5330e-05 9.9998e-01
69999.53 6.6514e-11 1.5336e-05 9.9998e-01
#TIME: 207.87
#NVEL: 115
#vel_mid[km/s] co0 co1 co2
425.78 3.3533e-01 5.1165e-01 1.5302e-01
857.79 3.9683e-01 4.5528e-01 1.4790e-01
878.44 3.7259e-01 4.6961e-01 1.5780e-01
917.72 3.8275e-01 4.6535e-01 1.5190e-01
973.04 3.7096e-01 4.7675e-01 1.5229e-01
1034.98 3.7544e-01 4.7419e-01 1.5037e-01
1099.97 3.5391e-01 4.8778e-01 1.5831e-01
1169.04 3.6396e-01 4.7987e-01 1.5617e-01
1242.44 3.8620e-01 4.6816e-01 1.4564e-01
1320.45 3.8298e-01 4.6624e-01 1.5078e-01
1403.37 3.9840e-01 4.6272e-01 1.3888e-01
1491.49 3.9068e-01 4.7353e-01 1.3579e-01
1585.14 4.0100e-01 4.6290e-01 1.3609e-01
1684.67 4.0516e-01 4.6168e-01 1.3316e-01
1790.45 3.8352e-01 4.7905e-01 1.3743e-01
1902.87 3.6774e-01 4.8808e-01 1.4418e-01
2022.36 3.6797e-01 4.8075e-01 1.5128e-01
2149.34 2.6815e-01 5.4776e-01 1.8409e-01
2284.30 2.8459e-01 5.5245e-01 1.6296e-01
2427.74 2.6833e-01 5.5757e-01 1.7410e-01
2580.18 2.3439e-01 5.7785e-01 1.8775e-01
2742.19 2.1479e-01 5.8624e-01 1.9898e-01
2914.37 1.8819e-01 6.0556e-01 2.0624e-01
3097.37 1.7135e-01 6.2301e-01 2.0564e-01
3291.85 1.3621e-01 6.5608e-01 2.0771e-01
3498.55 1.2655e-01 6.8318e-01 1.9026e-01
3718.23 1.7378e-01 6.7820e-01 1.4803e-01
3951.70 2.0975e-01 6.6183e-01 1.2841e-01
4199.83 1.4820e-01 6.9279e-01 1.5901e-01
4463.54 1.2260e-01 6.9732e-01 1.8008e-01
4743.81 1.4687e-01 6.6804e-01 1.8510e-01
5041.68 1.6198e-01 6.5271e-01 1.8532e-01
5358.25 1.7095e-01 6.4685e-01 1.8220e-01
5694.70 1.7810e-01 6.4270e-01 1.7919e-01
6052.28 1.8199e-01 6.3588e-01 1.8214e-01
6432.31 1.8083e-01 6.4323e-01 1.7594e-01
6836.20 1.9435e-01 6.2915e-01 1.7650e-01
7265.45 1.9943e-01 6.2587e-01 1.7470e-01
7721.65 2.0840e-01 6.2160e-01 1.7001e-01
8206.56 2.3219e-01 6.0596e-01 1.6185e-01
8717.73 2.2742e-01 6.1705e-01 1.5553e-01
9214.74 2.4121e-01 6.1569e-01 1.4310e-01
9629.11 2.4043e-01 6.2721e-01 1.3237e-01
9954.11 2.5983e-01 6.1688e-01 1.2329e-01
10245.64 2.3245e-01 6.4351e-01 1.2404e-01
10541.49 2.2415e-01 6.6412e-01 1.1174e-01
10839.94 2.4037e-01 6.5795e-01 1.0168e-01
11119.11 2.6977e-01 6.4485e-01 8.5378e-02
11355.83 3.6191e-01 5.7037e-01 6.7714e-02
11539.81 4.2184e-01 5.2525e-01 5.2912e-02
11677.16 4.9279e-01 4.6041e-01 4.6798e-02
11784.05 4.8644e-01 4.6830e-01 4.5260e-02
11875.85 5.5670e-01 4.0177e-01 4.1531e-02
11963.37 4.9385e-01 4.6281e-01 4.3343e-02
12055.39 4.4361e-01 5.0489e-01 5.1501e-02
12170.41 3.0644e-01 6.3133e-01 6.2237e-02
12360.89 2.4017e-01 6.9548e-01 6.4354e-02
12670.46 1.4401e-01 7.7577e-01 8.0217e-02
13075.34 7.4265e-02 8.3053e-01 9.5205e-02
13530.52 6.4449e-02 8.2202e-01 1.1354e-01
14012.75 3.9712e-02 8.2442e-01 1.3586e-01
14508.81 3.6803e-02 8.1410e-01 1.4910e-01
15002.30 3.7791e-02 8.0226e-01 1.5994e-01
15475.29 4.4007e-02 7.8819e-01 1.6780e-01
15923.68 8.8003e-02 7.3608e-01 1.7592e-01
16355.64 7.8002e-02 7.3397e-01 1.8803e-01
16776.27 6.4037e-02 7.4833e-01 1.8763e-01
17183.14 4.3646e-02 7.7849e-01 1.7787e-01
17580.45 2.3092e-02 7.9869e-01 1.7822e-01
17990.34 3.6660e-02 7.7376e-01 1.8958e-01
18458.06 2.7238e-02 7.7108e-01 2.0168e-01
19084.69 2.4354e-02 7.4223e-01 2.3341e-01
19999.79 1.2444e-02 6.6644e-01 3.2111e-01
21193.46 1.1750e-02 5.4789e-01 4.4036e-01
22528.72 2.1994e-03 4.3738e-01 5.6042e-01
23943.32 8.9099e-03 2.4358e-01 7.4751e-01
25446.74 3.3379e-03 3.1247e-01 6.8419e-01
27044.57 3.3970e-04 1.9753e-01 8.0213e-01
28744.18 2.0064e-04 1.2519e-01 8.7461e-01
30520.16 5.7018e-05 7.0364e-02 9.2958e-01
32243.50 5.5201e-04 5.6182e-02 9.4327e-01
33773.01 7.2315e-05 1.6755e-02 9.8317e-01
35108.48 1.8682e-05 4.8165e-03 9.9516e-01
36326.30 1.6317e-06 3.1834e-03 9.9681e-01
37486.70 1.0546e-06 3.5588e-03 9.9644e-01
38628.25 1.0468e-06 1.1203e-02 9.8880e-01
39768.62 3.7853e-07 8.2408e-03 9.9176e-01
40915.31 1.3177e-06 6.3781e-03 9.9362e-01
42074.51 2.5365e-07 4.7214e-03 9.9528e-01
43252.44 1.2323e-07 3.4976e-03 9.9650e-01
44454.05 8.5163e-08 2.5869e-03 9.9741e-01
45683.04 7.4414e-07 1.9104e-03 9.9809e-01
46941.68 4.2859e-07 1.4093e-03 9.9859e-01
48230.81 7.0726e-08 1.0389e-03 9.9896e-01
49550.29 2.5477e-08 7.6515e-04 9.9923e-01
50899.37 1.4255e-08 5.6487e-04 9.9944e-01
