#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
7964.05 3.4953e-05 1.6221e-01 7.5992e-01 7.7834e-02
8450.53 7.7472e-05 1.9555e-01 7.2927e-01 7.5109e-02
8966.72 1.7852e-04 2.4983e-01 6.8039e-01 6.9602e-02
9514.44 3.4040e-04 3.0668e-01 6.3017e-01 6.2807e-02
10095.62 6.7893e-04 3.7880e-01 5.6788e-01 5.2644e-02
10712.30 1.1820e-03 4.6989e-01 4.8626e-01 4.2665e-02
11366.65 1.7032e-03 5.1195e-01 4.4765e-01 3.8692e-02
12061.10 1.9239e-03 5.4550e-01 4.1682e-01 3.5757e-02
12793.43 2.7090e-03 5.8255e-01 3.8021e-01 3.4530e-02
13528.61 2.6144e-03 5.7096e-01 3.9120e-01 3.5226e-02
14194.74 2.3238e-03 5.6292e-01 3.9520e-01 3.9552e-02
14757.77 1.8334e-03 5.2168e-01 4.3372e-01 4.2768e-02
15240.48 3.3765e-03 6.0641e-01 3.6015e-01 3.0058e-02
15646.99 4.0020e-03 6.8538e-01 2.9282e-01 1.7804e-02
15960.30 4.1960e-03 7.8704e-01 2.0107e-01 7.6907e-03
16187.41 5.9519e-03 7.9670e-01 1.9116e-01 6.1819e-03
16354.17 4.6617e-03 8.1555e-01 1.7455e-01 5.2344e-03
16484.18 5.2075e-03 8.0308e-01 1.8548e-01 6.2287e-03
16593.12 2.7581e-03 7.6762e-01 2.2161e-01 8.0082e-03
16691.99 3.0400e-03 7.7331e-01 2.1508e-01 8.5758e-03
16788.59 8.4830e-04 7.6660e-01 2.2279e-01 9.7684e-03
16888.37 1.5022e-03 7.5473e-01 2.3261e-01 1.1160e-02
16998.79 2.1332e-03 6.9758e-01 2.8574e-01 1.4549e-02
17146.37 1.3259e-03 6.8748e-01 2.9254e-01 1.8653e-02
17415.23 1.1864e-03 6.3304e-01 3.4286e-01 2.2921e-02
17888.12 6.1784e-04 5.7011e-01 3.9802e-01 3.1245e-02
18532.37 5.2407e-04 5.2897e-01 4.3438e-01 3.6122e-02
19260.76 3.9701e-04 4.3386e-01 5.1816e-01 4.7581e-02
20034.10 2.4241e-04 4.1875e-01 5.1851e-01 6.2489e-02
20838.00 1.1265e-04 2.2835e-01 6.8282e-01 8.8724e-02
21647.97 9.6225e-05 2.2828e-01 6.6740e-01 1.0422e-01
22447.94 5.8937e-05 2.1127e-01 6.6141e-01 1.2726e-01
23245.88 6.1219e-05 2.3724e-01 6.0172e-01 1.6098e-01
24052.47 3.8142e-05 9.9121e-02 6.9182e-01 2.0902e-01
24867.72 9.7773e-05 1.7987e-01 5.9020e-01 2.2983e-01
25698.86 6.6511e-05 1.4088e-01 6.1144e-01 2.4762e-01
26587.16 2.8980e-05 9.2697e-02 6.0432e-01 3.0296e-01
27637.54 4.2076e-05 1.1617e-01 5.3890e-01 3.4489e-01
28986.97 1.2107e-05 5.5929e-02 4.0667e-01 5.3739e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 9.8795e-03 8.4430e-01 1.4252e-01 3.3028e-03
1919.29 8.3534e-03 8.5396e-01 1.3473e-01 2.9569e-03
2581.60 6.3076e-03 7.9454e-01 1.9360e-01 5.5541e-03
3084.17 3.6032e-03 6.7015e-01 3.1498e-01 1.1276e-02
3472.46 1.9767e-03 5.4665e-01 4.3268e-01 1.8697e-02
3909.64 1.0499e-03 4.4046e-01 5.2955e-01 2.8947e-02
4148.46 1.3165e-03 4.6971e-01 4.9950e-01 2.9468e-02
4670.75 1.4448e-03 5.0024e-01 4.7184e-01 2.6471e-02
4956.05 8.3780e-04 4.0537e-01 5.5656e-01 3.7234e-02
5258.79 3.8584e-04 3.1518e-01 6.3999e-01 4.4450e-02
5580.02 1.3858e-04 2.3555e-01 7.1085e-01 5.3466e-02
5920.87 6.1327e-05 2.0820e-01 7.3343e-01 5.8302e-02
6282.54 3.6635e-05 1.6847e-01 7.6416e-01 6.7330e-02
6666.30 3.0200e-05 1.5754e-01 7.7232e-01 7.0105e-02
7073.50 3.0159e-05 1.5858e-01 7.6701e-01 7.4382e-02
7505.58 2.9400e-05 1.4805e-01 7.7822e-01 7.3705e-02
7964.05 3.7588e-05 1.6235e-01 7.5857e-01 7.9042e-02
8450.53 7.7900e-05 1.8927e-01 7.3583e-01 7.4816e-02
8966.72 1.6329e-04 2.3297e-01 6.9670e-01 7.0162e-02
9514.44 3.9903e-04 3.0536e-01 6.3362e-01 6.0622e-02
10095.62 7.3455e-04 3.8536e-01 5.6114e-01 5.2767e-02
10712.30 1.1975e-03 4.4381e-01 5.1033e-01 4.4663e-02
11366.65 1.8403e-03 5.1840e-01 4.4271e-01 3.7045e-02
12061.10 2.2444e-03 5.6560e-01 3.9765e-01 3.4500e-02
12793.43 2.2012e-03 5.8221e-01 3.8220e-01 3.3389e-02
13528.61 2.7298e-03 5.8286e-01 3.7894e-01 3.5471e-02
14194.74 2.1844e-03 5.7085e-01 3.8871e-01 3.8260e-02
