#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ar0           ar1           ar2           ar3
    5.789881E+04   9.9477E-001   5.2339E-003   4.9580E-016   1.3427E-041
    5.939226E+04   9.9479E-001   5.2124E-003   4.9365E-016   1.3109E-041
    6.088737E+04   9.9486E-001   5.1433E-003   4.8177E-016   1.2421E-041
    6.237825E+04   9.9497E-001   5.0285E-003   4.6109E-016   1.1428E-041
    6.383998E+04   9.9512E-001   4.8761E-003   4.3377E-016   1.0243E-041
    6.526223E+04   9.9531E-001   4.6944E-003   4.0194E-016   8.9736E-042
    6.660986E+04   9.9550E-001   4.5040E-003   3.6960E-016   7.7645E-042
    6.786444E+04   9.9571E-001   4.2924E-003   3.3523E-016   6.5942E-042
    6.899777E+04   9.9606E-001   3.9372E-003   2.8363E-016   5.0098E-042
    6.951321E+04   9.9648E-001   3.5159E-003   2.2776E-016   3.5442E-042
    6.977237E+04   9.9684E-001   3.1608E-003   1.8207E-016   2.4921E-042
    6.990232E+04   9.9715E-001   2.8524E-003   1.4266E-016   1.7054E-042
    6.996738E+04   9.9737E-001   2.6306E-003   1.1474E-016   1.2235E-042
    6.999830E+04   9.9752E-001   2.4779E-003   9.6273E-017   9.4094E-043
    6.999993E+04   9.9754E-001   2.4630E-003   9.4347E-017   9.1329E-043
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           ar0           ar1           ar2           ar3
    8.484664E+02   5.0220E-020   2.6256E-012   1.1397E-005   9.9999E-001
    8.528610E+02   5.0220E-020   2.6256E-012   1.1397E-005   9.9999E-001
    8.661820E+02   5.0221E-020   2.6256E-012   1.1397E-005   9.9999E-001
    8.934513E+02   5.0222E-020   2.6256E-012   1.1397E-005   9.9999E-001
    9.472405E+02   5.0229E-020   2.6259E-012   1.1397E-005   9.9999E-001
    1.007109E+03   5.0252E-020   2.6266E-012   1.1399E-005   9.9999E-001
    1.070759E+03   5.0243E-020   2.6263E-012   1.1396E-005   9.9999E-001
    1.138432E+03   4.9760E-020   2.6094E-012   1.1361E-005   9.9999E-001
    1.210381E+03   4.7874E-020   2.5446E-012   1.1255E-005   9.9999E-001
    1.286878E+03   4.0418E-020   2.2816E-012   1.0885E-005   9.9999E-001
    1.368209E+03   2.0737E-020   1.4820E-012   9.4590E-006   9.9999E-001
    1.454681E+03   1.0301E-020   9.4411E-013   8.2450E-006   9.9999E-001
    1.546618E+03   7.6834E-021   7.8139E-013   7.7749E-006   9.9999E-001
    1.644365E+03   5.3162E-021   6.1591E-013   7.2077E-006   9.9999E-001
    1.748290E+03   3.0400E-021   4.2917E-013   6.4220E-006   9.9999E-001
    1.858783E+03   1.7540E-021   2.9988E-013   5.6283E-006   9.9999E-001
    1.976259E+03   1.0213E-021   2.1119E-013   5.0020E-006   1.0000E+000
    2.101160E+03   5.7976E-022   1.4611E-013   4.3859E-006   1.0000E+000
    2.233954E+03   3.2326E-022   9.9978E-014   3.8446E-006   1.0000E+000
    2.375142E+03   1.8516E-022   6.9561E-014   3.3737E-006   1.0000E+000
    2.525252E+03   1.1775E-022   5.1762E-014   3.0178E-006   1.0000E+000
    2.684850E+03   8.5014E-023   4.1784E-014   2.7603E-006   1.0000E+000
    2.854534E+03   7.2085E-023   3.7381E-014   2.5915E-006   1.0000E+000
    3.034942E+03   7.0183E-023   3.6491E-014   2.4715E-006   1.0000E+000
    3.226752E+03   9.5434E-023   4.4256E-014   2.5413E-006   1.0000E+000
    3.430685E+03   1.3767E-022   5.5119E-014   2.4614E-006   1.0000E+000
    3.647506E+03   5.6087E-022   1.3744E-013   3.4086E-006   1.0000E+000
    3.878031E+03   2.0381E-021   3.2301E-013   5.0503E-006   9.9999E-001
    4.123125E+03   3.6491E-021   4.5646E-013   4.7254E-006   1.0000E+000
    4.383709E+03   1.0541E-020   9.0412E-013   5.8279E-006   9.9999E-001
    4.660762E+03   1.2400E-020   1.0040E-012   6.0153E-006   9.9999E-001
    4.955325E+03   9.9628E-021   8.6780E-013   5.5977E-006   9.9999E-001
    5.268505E+03   7.0793E-021   6.9181E-013   5.0327E-006   1.0000E+000
    5.601477E+03   5.6410E-021   5.9457E-013   4.6642E-006   1.0000E+000
    5.955494E+03   5.1739E-021   5.6104E-013   4.5196E-006   1.0000E+000
    6.331885E+03   5.9105E-021   6.1201E-013   4.6698E-006   1.0000E+000
    6.732064E+03   7.6970E-021   7.2847E-013   5.0266E-006   9.9999E-001
    7.157534E+03   1.1318E-020   9.4187E-013   5.6786E-006   9.9999E-001
    7.609895E+03   1.8257E-020   1.2991E-012   6.6870E-006   9.9999E-001
    8.090845E+03   3.6831E-020   2.0911E-012   8.6421E-006   9.9999E-001
    8.602191E+03   1.4484E-019   5.4191E-012   1.5220E-005   9.9998E-001
    9.145855E+03   5.4584E-018   7.6256E-011   8.0711E-005   9.9992E-001
    9.716757E+03   7.6997E-015   2.9188E-008   3.2897E-003   9.9671E-001
    1.017136E+04   3.5478E-011   5.3944E-005   2.6197E-001   7.3798E-001
    1.058976E+04   4.6784E-008   1.1969E-002   9.8054E-001   7.4955E-003
    1.103681E+04   2.0798E-004   9.3971E-001   6.0085E-002   1.5709E-008
    1.143091E+04   1.1814E-002   9.8811E-001   7.7335E-005   1.4117E-015
    1.169743E+04   6.5018E-002   9.3498E-001   4.9319E-006   2.2361E-018
    1.185375E+04   1.4176E-001   8.5824E-001   1.0229E-006   5.3862E-020
    1.195751E+04   2.9295E-001   7.0705E-001   1.4804E-007   5.6873E-022
    1.203767E+04   5.3429E-001   4.6571E-001   1.2426E-008   1.9833E-024
    1.210835E+04   7.4212E-001   2.5788E-001   1.0435E-009   8.9018E-027
    1.217533E+04   8.6433E-001   1.3567E-001   1.0902E-010   7.5901E-029
    1.224092E+04   9.2504E-001   7.4963E-002   1.5971E-011   1.4318E-030
    1.231061E+04   9.5590E-001   4.4100E-002   3.0656E-012   4.9003E-032
    1.238832E+04   9.7233E-001   2.7673E-002   7.3888E-013   2.7118E-033
    1.249177E+04   9.8253E-001   1.7475E-002   1.8262E-013   1.5782E-034
    1.273320E+04   9.9063E-001   9.3655E-003   2.6462E-014   2.9638E-036
    1.314431E+04   9.9456E-001   5.4359E-003   4.6308E-015   8.1954E-038
    1.356973E+04   9.9690E-001   3.0977E-003   8.3092E-016   2.2328E-038
    1.397745E+04   9.9864E-001   1.3601E-003   9.7174E-017   1.1249E-038
    1.437971E+04   9.9952E-001   4.7747E-004   9.0244E-018   6.5878E-040
    1.481384E+04   9.9986E-001   1.3659E-004   4.9772E-019   1.7315E-041
    1.527443E+04   9.9997E-001   3.2021E-005   1.4191E-020   2.5423E-043
    1.573281E+04   9.9999E-001   8.6656E-006   5.1925E-022   1.4912E-045
    1.619433E+04   1.0000E+000   3.2082E-006   3.1618E-023   3.7116E-048
    1.667669E+04   1.0000E+000   1.2496E-006   2.1591E-024   1.2361E-050
    1.717287E+04   1.0000E+000   5.3395E-007   1.8435E-025   1.4250E-052
    1.768426E+04   1.0000E+000   3.3738E-007   2.9546E-026   3.4336E-054
    1.825695E+04   1.0000E+000   2.9723E-007   8.9801E-027   1.5963E-055
    1.899553E+04   1.0000E+000   2.3218E-007   2.1764E-027   1.1323E-055
    1.999671E+04   1.0000E+000   2.7169E-007   2.8885E-027   2.3672E-054
    2.125276E+04   1.0000E+000   4.2746E-007   1.8763E-026   8.1964E-053
    2.259595E+04   1.0000E+000   5.7030E-007   8.8865E-026   4.9199E-052
    2.402403E+04   1.0000E+000   1.0484E-006   4.6198E-025   2.0610E-051
