#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3
4199.83 3.5884e-02 7.5614e-01 1.4285e-01 6.5129e-02
4463.54 1.9423e-02 7.4363e-01 1.6033e-01 7.6613e-02
4743.81 1.5479e-02 7.3807e-01 1.6588e-01 8.0573e-02
5041.68 1.7746e-02 7.3564e-01 1.6591e-01 8.0703e-02
5358.25 2.6163e-02 7.3105e-01 1.6369e-01 7.9093e-02
5694.70 1.9263e-02 7.3889e-01 1.6305e-01 7.8798e-02
6052.28 2.6664e-02 7.3505e-01 1.6094e-01 7.7345e-02
6432.31 2.6877e-02 7.3785e-01 1.5921e-01 7.6064e-02
6836.20 2.9412e-02 7.3343e-01 1.6032e-01 7.6833e-02
7265.45 3.1247e-02 7.3988e-01 1.5535e-01 7.3516e-02
7721.65 3.2491e-02 7.4429e-01 1.5198e-01 7.1241e-02
8206.56 4.7489e-02 7.3515e-01 1.4844e-01 6.8922e-02
8717.73 4.4421e-02 7.4402e-01 1.4485e-01 6.6709e-02
9214.74 3.3954e-02 7.6766e-01 1.3673e-01 6.1660e-02
9629.11 3.2589e-02 7.8820e-01 1.2456e-01 5.4648e-02
9954.11 3.2815e-02 7.8960e-01 1.2365e-01 5.3943e-02
10245.64 1.8756e-02 8.0898e-01 1.2022e-01 5.2043e-02
10541.49 1.8701e-02 8.2275e-01 1.1118e-01 4.7364e-02
10839.94 1.5748e-02 8.4536e-01 9.8331e-02 4.0561e-02
11119.11 1.6357e-02 8.6490e-01 8.4799e-02 3.3940e-02
11355.83 4.8656e-02 8.5217e-01 7.1655e-02 2.7520e-02
11539.81 5.9768e-02 8.6296e-01 5.6435e-02 2.0841e-02
11677.16 7.0054e-02 8.6141e-01 5.0367e-02 1.8170e-02
11784.05 2.1450e-01 7.2707e-01 4.3596e-02 1.4833e-02
11875.85 6.5535e-02 8.6801e-01 4.8841e-02 1.7619e-02
11963.37 2.2214e-01 7.1556e-01 4.6465e-02 1.5834e-02
12055.39 1.1594e-01 8.1090e-01 5.3733e-02 1.9427e-02
12170.41 8.6450e-02 8.2992e-01 6.0983e-02 2.2650e-02
12360.89 1.3004e-02 8.9589e-01 6.5733e-02 2.5376e-02
12670.46 1.0394e-02 8.8233e-01 7.6755e-02 3.0516e-02
13075.34 8.2544e-03 8.6461e-01 9.0175e-02 3.6964e-02
13530.52 3.5315e-03 8.5297e-01 1.0120e-01 4.2304e-02
14012.75 5.3704e-03 8.2418e-01 1.1863e-01 5.1816e-02
14508.81 6.7970e-03 8.0703e-01 1.2901e-01 5.7164e-02
15002.30 4.3416e-03 7.8525e-01 1.4379e-01 6.6614e-02
15475.29 1.0109e-02 7.7567e-01 1.4639e-01 6.7832e-02
15923.68 4.4549e-03 7.6172e-01 1.5847e-01 7.5351e-02
16355.64 8.6483e-03 7.4179e-01 1.6777e-01 8.1789e-02
16776.27 4.3666e-03 7.5763e-01 1.6085e-01 7.7152e-02
17183.14 4.8961e-02 7.2479e-01 1.5394e-01 7.2317e-02
17580.45 2.0171e-02 7.5835e-01 1.5167e-01 6.9806e-02
17990.34 8.2151e-02 6.7095e-01 1.6663e-01 8.0260e-02
18458.06 5.2986e-02 6.7718e-01 1.7992e-01 8.9914e-02
19084.69 1.2524e-01 5.8422e-01 1.9240e-01 9.8145e-02
19999.79 1.7945e-02 5.8432e-01 2.4872e-01 1.4902e-01
21193.46 5.6590e-04 4.4215e-01 3.1158e-01 2.4570e-01
22528.72 1.3852e-01 1.7887e-01 3.2546e-01 3.5714e-01
23943.32 4.2526e-02 1.3951e-01 3.1947e-01 4.9849e-01
25446.74 6.0305e-03 1.1680e-01 3.0110e-01 5.7607e-01
27044.57 4.7870e-05 6.7964e-02 2.5346e-01 6.7853e-01
28744.18 1.2689e-04 1.1689e-02 1.8409e-01 8.0409e-01
30520.16 6.9498e-05 6.7352e-03 1.0370e-01 8.8950e-01
32243.50 5.1087e-05 3.2429e-03 6.8592e-02 9.2811e-01
33773.01 9.1931e-05 2.0403e-03 5.5367e-02 9.4250e-01
35108.48 5.7584e-06 1.1045e-03 4.0699e-02 9.5819e-01
36326.30 3.0354e-06 5.3062e-04 2.8430e-02 9.7104e-01
37486.70 1.9362e-06 2.5842e-04 1.9971e-02 9.7977e-01
38628.25 1.0209e-06 1.3713e-04 1.4623e-02 9.8524e-01
39768.62 4.2995e-07 7.6716e-05 1.0980e-02 9.8894e-01
40915.31 1.8506e-07 4.7758e-05 8.6873e-03 9.9126e-01
42074.51 3.9321e-11 2.7175e-05 6.5835e-03 9.9339e-01
43252.44 1.1623e-11 1.5464e-05 4.9771e-03 9.9501e-01
44454.05 4.7222e-12 8.7793e-06 3.7533e-03 9.9624e-01
45683.04 1.3964e-08 4.9493e-06 2.8200e-03 9.9718e-01
46941.68 6.2988e-09 2.7724e-06 2.1142e-03 9.9788e-01
48230.81 2.9944e-09 1.5416e-06 1.5791e-03 9.9842e-01
49550.29 1.3291e-09 8.5414e-07 1.1775e-03 9.9882e-01
50899.37 5.6557e-10 4.7045e-07 8.7661e-04 9.9912e-01
52276.86 2.2992e-10 2.5848e-07 6.5227e-04 9.9935e-01
53681.16 9.2829e-11 1.4191e-07 4.8557e-04 9.9951e-01
55110.21 3.7766e-11 7.8037e-08 3.6217e-04 9.9964e-01
56561.17 1.7544e-13 4.3212e-08 2.7074e-04 9.9973e-01
58030.00 8.0208e-14 2.4008e-08 2.0302e-04 9.9980e-01
59510.42 1.9734e-12 1.3596e-08 1.5288e-04 9.9985e-01
60993.45 1.1707e-12 7.6301e-09 1.1585e-04 9.9988e-01
62466.44 5.2125e-13 4.4452e-09 8.8534e-05 9.9991e-01
63912.69 2.3838e-13 2.6246e-09 6.8481e-05 9.9993e-01
65311.62 1.1371e-13 1.5954e-09 5.3658e-05 9.9995e-01
66639.26 5.8043e-14 1.0177e-09 4.2824e-05 9.9996e-01
67870.77 2.9615e-14 6.4068e-10 3.4855e-05 9.9997e-01
68864.47 1.6122e-14 4.1676e-10 2.8918e-05 9.9997e-01
69459.55 9.9537e-15 2.7699e-10 2.6799e-05 9.9997e-01
69744.99 8.5743e-15 2.5458e-10 2.5788e-05 9.9997e-01
69888.26 8.2906e-15 2.4422e-10 2.5288e-05 9.9997e-01
69959.62 7.1129e-15 2.1147e-10 2.5053e-05 9.9997e-01
69991.15 7.3667e-15 2.2061e-10 2.4926e-05 9.9998e-01
69999.53 7.3879e-15 2.2067e-10 2.4934e-05 9.9998e-01
#TIME: 204.93
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3
425.78 6.7799e-01 1.8289e-01 1.0520e-01 3.3919e-02
857.79 7.6379e-01 1.1191e-01 9.6206e-02 2.8087e-02
878.44 6.6490e-01 1.9286e-01 1.0718e-01 3.5057e-02
917.72 6.3125e-01 2.2455e-01 1.0801e-01 3.6191e-02
973.04 6.5522e-01 2.0202e-01 1.0740e-01 3.5368e-02
1034.98 6.5025e-01 2.0726e-01 1.0711e-01 3.5379e-02
1099.97 6.2615e-01 2.1018e-01 1.2160e-01 4.2075e-02
1169.04 6.7843e-01 1.8083e-01 1.0635e-01 3.4389e-02
1242.44 7.1169e-01 1.5046e-01 1.0488e-01 3.2970e-02
1320.45 6.7701e-01 1.8517e-01 1.0434e-01 3.3477e-02
1403.37 6.5903e-01 2.0822e-01 1.0050e-01 3.2252e-02
1491.49 6.8762e-01 1.8752e-01 9.5374e-02 2.9479e-02
1585.14 6.9142e-01 1.8293e-01 9.6006e-02 2.9641e-02
1684.67 6.9731e-01 1.8021e-01 9.3831e-02 2.8647e-02
1790.45 6.9334e-01 1.8191e-01 9.5397e-02 2.9361e-02
1902.87 6.9455e-01 1.7503e-01 9.9411e-02 3.1008e-02
2022.36 6.9021e-01 1.7165e-01 1.0473e-01 3.3413e-02
2149.34 6.6122e-01 2.0330e-01 1.0238e-01 3.3098e-02
2284.30 6.3342e-01 2.2024e-01 1.0944e-01 3.6897e-02
