#NTIMES:     67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    4.310952E+04    1.0000E-99    9.9996E-01    3.5861E-05    3.9506E-24    2.0583E-56    2.1975E-75    5.1689-108    5.4181-127
    4.426353E+04    1.0000E-99    9.9997E-01    3.3577E-05    4.0097E-24    1.9497E-56    2.2199E-75    5.0031-108    5.4695-127
    4.545322E+04    1.0000E-99    9.9997E-01    3.2006E-05    4.1214E-24    1.8850E-56    2.2684E-75    4.9608-108    5.5722-127
    4.667980E+04    1.0000E-99    9.9997E-01    3.1250E-05    4.3310E-24    1.8711E-56    2.3670E-75    5.0569-108    5.7832-127
    4.794258E+04    1.0000E-99    9.9997E-01    3.1161E-05    4.6361E-24    1.9000E-56    2.5129E-75    5.2652-108    6.0983-127
    4.924062E+04    1.0000E-99    9.9997E-01    3.1535E-05    5.0100E-24    1.9593E-56    2.6911E-75    5.5482-108    6.4870-127
    5.057272E+04    1.0000E-99    9.9997E-01    3.2201E-05    5.4318E-24    2.0382E-56    2.8916E-75    5.8764-108    6.9275-127
    5.193717E+04    1.0000E-99    9.9997E-01    3.3049E-05    5.8765E-24    2.1304E-56    3.1055E-75    6.2459-108    7.4020-127
    5.333235E+04    1.0000E-99    9.9997E-01    3.3741E-05    6.2544E-24    2.2160E-56    3.2912E-75    6.6252-108    7.8235-127
    5.475676E+04    1.0000E-99    9.9997E-01    3.3989E-05    6.4792E-24    2.2787E-56    3.4089E-75    6.9989-108    8.1272-127
    5.620758E+04    1.0000E-99    9.9997E-01    3.3694E-05    6.5136E-24    2.3146E-56    3.4467E-75    7.3917-108    8.3279-127
    5.768166E+04    1.0000E-99    9.9997E-01    3.2955E-05    6.3741E-24    2.3343E-56    3.4259E-75    7.8745-108    8.5284-127
    5.917412E+04    1.0000E-99    9.9997E-01    3.1996E-05    6.1215E-24    2.3585E-56    3.3974E-75    8.5720-108    8.9196-127
    6.067730E+04    1.0000E-99    9.9997E-01    3.1025E-05    5.8120E-24    2.4095E-56    3.4114E-75    9.6495-108    9.7357-127
    6.217708E+04    1.0000E-99    9.9997E-01    3.0034E-05    5.4563E-24    2.4954E-56    3.4883E-75    1.1264-107    1.1194-126
    6.366086E+04    1.0000E-99    9.9997E-01    2.8915E-05    5.0514E-24    2.6143E-56    3.6242E-75    1.3564-107    1.3500-126
    6.510379E+04    1.0000E-99    9.9997E-01    2.7531E-05    4.5918E-24    2.7529E-56    3.7892E-75    1.6640-107    1.6777-126
    6.648389E+04    1.0000E-99    9.9997E-01    2.6030E-05    4.1278E-24    2.9139E-56    3.9772E-75    2.0650-107    2.1190-126
    6.776932E+04    1.0000E-99    9.9998E-01    2.4399E-05    3.6590E-24    3.0789E-56    4.1369E-75    2.5593-107    2.6481-126
    6.895129E+04    1.0000E-99    9.9998E-01    2.1983E-05    3.0237E-24    3.1262E-56    3.9959E-75    3.0330-107    3.0448-126
    6.949055E+04    1.0000E-99    9.9998E-01    1.9381E-05    2.3785E-24    2.9189E-56    3.3882E-75    3.0591-107    2.8468-126
    6.976176E+04    1.0000E-99    9.9998E-01    1.7428E-05    1.8937E-24    2.7002E-56    2.8032E-75    2.9429-107    2.4541-126
    6.989776E+04    1.0000E-99    9.9998E-01    1.5638E-05    1.4745E-24    2.4580E-56    2.2277E-75    2.7364-107    1.9969-126
    6.996586E+04    1.0000E-99    9.9999E-01    1.4303E-05    1.1819E-24    2.2645E-56    1.8049E-75    2.5496-107    1.6382-126
    6.999823E+04    1.0000E-99    9.9999E-01    1.3398E-05    9.9364E-25    2.1296E-56    1.5270E-75    2.4141-107    1.3964-126
    6.999993E+04    1.0000E-99    9.9999E-01    1.3290E-05    9.7311E-25    2.1132E-56    1.4964E-75    2.3971-107    1.3693-126
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    8.484664E+02    1.0000E-99    1.7649E-29    4.1173E-22    9.6010E-16    3.3135E-10    9.9891E-06    2.0667E-02    9.7932E-01
    8.543246E+02    1.0000E-99    1.7649E-29    4.1173E-22    9.6010E-16    3.3135E-10    9.9891E-06    2.0667E-02    9.7932E-01
    8.721432E+02    1.0000E-99    1.7649E-29    4.1174E-22    9.6010E-16    3.3135E-10    9.9891E-06    2.0667E-02    9.7932E-01
    9.089031E+02    1.0000E-99    1.7650E-29    4.1176E-22    9.6014E-16    3.3137E-10    9.9894E-06    2.0667E-02    9.7932E-01
    9.682894E+02    1.0000E-99    1.7656E-29    4.1189E-22    9.6042E-16    3.3145E-10    9.9912E-06    2.0669E-02    9.7932E-01
    1.029084E+03    1.0000E-99    1.7698E-29    4.1278E-22    9.6227E-16    3.3198E-10    1.0003E-05    2.0682E-02    9.7931E-01
    1.093701E+03    1.0000E-99    1.7812E-29    4.1551E-22    9.6850E-16    3.3392E-10    1.0049E-05    2.0737E-02    9.7925E-01
    1.162375E+03    1.0000E-99    1.7709E-29    4.1392E-22    9.6645E-16    3.3366E-10    1.0050E-05    2.0743E-02    9.7925E-01
    1.235362E+03    1.0000E-99    1.5476E-29    3.6495E-22    8.6255E-16    3.0306E-10    9.3506E-06    1.9939E-02    9.8005E-01
    1.312931E+03    1.0000E-99    6.3012E-30    1.5559E-22    3.9476E-16    1.5514E-10    5.6259E-06    1.5050E-02    9.8494E-01
    1.395371E+03    1.0000E-99    1.1064E-31    3.6371E-24    1.3508E-17    9.0775E-12    6.7237E-07    4.6946E-03    9.9530E-01
    1.482988E+03    1.0000E-99    3.8116E-33    1.5917E-25    8.1441E-19    8.6126E-13    1.1542E-07    1.7909E-03    9.9821E-01
    1.576106E+03    1.0000E-99    2.3137E-33    1.0027E-25    5.3878E-19    6.1006E-13    8.9255E-08    1.5572E-03    9.9844E-01
    1.675071E+03    1.0000E-99    3.4725E-34    1.7418E-26    1.1318E-19    1.6665E-13    3.4018E-08    9.2373E-04    9.9908E-01
    1.780251E+03    1.0000E-99    2.8709E-35    1.7599E-27    1.4787E-20    3.0933E-14    9.7870E-09    4.7328E-04    9.9953E-01
    1.892034E+03    1.0000E-99    4.8811E-36    3.5658E-28    3.6865E-21    1.0014E-14    4.3152E-09    3.0723E-04    9.9969E-01
    2.010837E+03    1.0000E-99    5.6032E-37    4.9127E-29    6.3961E-22    2.3750E-15    1.5007E-09    1.7603E-04    9.9982E-01
    2.137099E+03    1.0000E-99    7.8788E-38    8.3517E-30    1.3649E-22    6.7865E-16    6.0593E-10    1.0991E-04    9.9989E-01
    2.271289E+03    1.0000E-99    9.4902E-39    1.2194E-30    2.5251E-23    1.7192E-16    2.2382E-10    6.5833E-05    9.9993E-01
    2.413905E+03    1.0000E-99    1.4728E-39    2.2763E-31    5.8730E-24    5.3022E-17    9.6191E-11    4.2886E-05    9.9996E-01
    2.565477E+03    1.0000E-99    3.8166E-40    6.7902E-32    2.0651E-24    2.2933E-17    5.2918E-11    3.1762E-05    9.9997E-01
    2.726565E+03    1.0000E-99    1.7386E-40    3.4148E-32    1.1570E-24    1.4550E-17    3.8512E-11    2.7097E-05    9.9997E-01
    2.897769E+03    1.0000E-99    1.6377E-40    3.3647E-32    1.1808E-24    1.5107E-17    4.0117E-11    2.7655E-05    9.9997E-01
    3.079722E+03    1.0000E-99    3.4499E-40    7.0224E-32    2.3639E-24    2.7383E-17    6.2903E-11    3.4723E-05    9.9997E-01
    3.273101E+03    1.0000E-99    2.5841E-39    4.6484E-31    1.3036E-23    1.1343E-16    1.8006E-10    5.9656E-05    9.9994E-01
    3.478622E+03    1.0000E-99    1.3897E-37    2.0388E-29    4.1171E-22    2.0846E-15    1.6065E-09    1.9118E-04    9.9981E-01
    3.697048E+03    1.0000E-99    1.6125E-35    1.5102E-27    1.7796E-20    4.5279E-14    1.5245E-08    6.3500E-04    9.9936E-01
    3.929188E+03    1.0000E-99    1.6166E-34    1.0573E-26    8.6437E-20    1.5096E-13    3.4525E-08    9.6124E-04    9.9904E-01
    4.175906E+03    1.0000E-99    1.8157E-30    8.9143E-23    4.0171E-16    2.3237E-10    9.8228E-06    2.2744E-02    9.7725E-01
    4.438115E+03    1.0000E-99    1.8375E-28    7.2597E-21    2.3184E-14    7.6312E-09    1.3743E-04    9.6388E-02    9.0347E-01
    4.716788E+03    1.0000E-99    3.5109E-28    1.4013E-20    4.4006E-14    1.3575E-08    2.1477E-04    1.2302E-01    8.7677E-01
    5.012959E+03    1.0000E-99    1.2540E-28    5.5878E-21    1.9877E-14    7.1280E-09    1.3575E-04    9.7338E-02    9.0253E-01
    5.327727E+03    1.0000E-99    3.9622E-29    1.9813E-21    8.0509E-15    3.4040E-09    7.9747E-05    7.3817E-02    9.2610E-01
    5.662260E+03    1.0000E-99    2.8882E-29    1.5463E-21    6.7049E-15    3.0072E-09    7.4145E-05    7.1579E-02    9.2835E-01
    6.017798E+03    1.0000E-99    3.0154E-29    1.6523E-21    7.2827E-15    3.2804E-09    7.9924E-05    7.4854E-02    9.2507E-01
    6.395661E+03    1.0000E-99    9.5596E-29    4.9913E-21    2.0287E-14    7.9469E-09    1.5559E-04    1.0716E-01    8.9269E-01
    6.797251E+03    1.0000E-99    6.1820E-28    2.9687E-20    1.0530E-13    3.2717E-08    4.4651E-04    1.8592E-01    8.1363E-01
    7.224056E+03    1.0000E-99    4.4739E-27    1.9119E-19    5.7329E-13    1.3685E-07    1.2611E-03    3.0846E-01    6.9028E-01
    7.677661E+03    1.0000E-99    4.8967E-26    1.8146E-18    4.4145E-12    7.5287E-07    4.1777E-03    5.1372E-01    4.8210E-01
    8.159748E+03    1.0000E-99    8.5409E-25    2.5580E-17    4.6448E-11    5.0564E-06    1.4554E-02    7.4890E-01    2.3654E-01
    8.672106E+03    1.0000E-99    2.1593E-22    4.2175E-15    4.1685E-09    1.7078E-04    1.1523E-01    8.6050E-01    2.4100E-02
    9.216636E+03    1.0000E-99    1.1451E-17    7.0230E-11    1.4077E-05    4.7203E-02    8.8945E-01    6.3327E-02    5.4806E-06
    9.793140E+03    1.0000E-99    8.5236E-12    6.2940E-06    5.0157E-02    9.3847E-01    1.1362E-02    5.8293E-08    3.5045E-17
    1.026683E+04    1.0000E-99    7.2390E-08    6.3931E-03    9.6573E-01    2.7874E-02    2.9141E-08    7.1526E-19    8.9165E-35
    1.070804E+04    1.0000E-99    7.5500E-05    5.2378E-01    4.7614E-01    4.2238E-06    2.9299E-17    1.2749E-34    5.1135E-59
    1.120152E+04    1.0000E-99    2.3432E-02    9.7653E-01    3.9437E-05    8.0671E-17    5.0776E-38    5.6813E-68    1.3307E-90
