#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    7.677661E+03   1.0000E-099   1.9839E-019   4.9179E-012   1.3345E-005   9.9999E-001
    8.159748E+03   1.0000E-099   4.5525E-019   9.5369E-012   1.9488E-005   9.9998E-001
    8.672106E+03   1.0000E-099   2.6132E-018   3.9278E-011   4.4819E-005   9.9996E-001
    9.216636E+03   1.0000E-099   2.8560E-016   1.6303E-009   4.0770E-004   9.9959E-001
    9.793140E+03   1.0000E-099   3.4714E-012   3.1837E-006   3.9666E-002   9.6033E-001
    1.026683E+04   1.0000E-099   1.8529E-008   2.6503E-003   9.2747E-001   6.9878E-002
    1.070804E+04   1.0000E-099   1.4525E-005   2.1786E-001   7.8209E-001   3.8255E-005
    1.120152E+04   1.0000E-099   6.5147E-003   9.9309E-001   3.9945E-004   1.2303E-014
    1.159423E+04   1.0000E-099   1.3551E-001   8.6449E-001   9.9566E-007   4.0002E-021
    1.180243E+04   1.0000E-099   2.9019E-001   7.0981E-001   1.7224E-007   7.2920E-023
    1.192916E+04   1.0000E-099   5.2319E-001   4.7681E-001   1.4654E-008   2.2446E-025
    1.202084E+04   1.0000E-099   7.8170E-001   2.1830E-001   4.5276E-010   8.0063E-029
    1.209768E+04   1.0000E-099   9.0128E-001   9.8720E-002   2.2622E-011   9.9905E-032
    1.216841E+04   1.0000E-099   9.4619E-001   5.3808E-002   2.5975E-012   8.3434E-034
    1.223949E+04   1.0000E-099   9.7301E-001   2.6991E-002   2.4562E-013   4.8274E-036
    1.231406E+04   1.0000E-099   9.8674E-001   1.3256E-002   2.3063E-014   2.8728E-038
    1.239842E+04   1.0000E-099   9.9286E-001   7.1409E-003   3.0378E-015   3.6344E-040
