#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    6.996738E+04   1.0000E-099   9.8760E-001   1.2396E-002   7.9618E-017
    6.999830E+04   1.0000E-099   9.8799E-001   1.2014E-002   6.8646E-017
    6.999993E+04   1.0000E-099   9.8807E-001   1.1930E-002   6.7185E-017
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    8.484664E+02   1.0000E-099   1.4706E-013   2.0021E-006   1.0000E+000
    8.528610E+02   1.0000E-099   1.4706E-013   2.0021E-006   1.0000E+000
    8.661820E+02   1.0000E-099   1.4706E-013   2.0021E-006   1.0000E+000
    8.934513E+02   1.0000E-099   1.4706E-013   2.0021E-006   1.0000E+000
    9.472405E+02   1.0000E-099   1.4707E-013   2.0022E-006   1.0000E+000
    1.007109E+03   1.0000E-099   1.4711E-013   2.0024E-006   1.0000E+000
    1.070759E+03   1.0000E-099   1.4707E-013   2.0020E-006   1.0000E+000
    1.138432E+03   1.0000E-099   1.4614E-013   1.9958E-006   1.0000E+000
    1.210381E+03   1.0000E-099   1.4297E-013   1.9773E-006   1.0000E+000
    1.286878E+03   1.0000E-099   1.3085E-013   1.9120E-006   1.0000E+000
    1.368209E+03   1.0000E-099   9.0824E-014   1.6547E-006   1.0000E+000
    1.454681E+03   1.0000E-099   6.1930E-014   1.4285E-006   1.0000E+000
    1.546618E+03   1.0000E-099   5.2588E-014   1.3405E-006   1.0000E+000
    1.644365E+03   1.0000E-099   4.2698E-014   1.2347E-006   1.0000E+000
    1.748290E+03   1.0000E-099   3.1049E-014   1.0885E-006   1.0000E+000
    1.858783E+03   1.0000E-099   2.2345E-014   9.4612E-007   1.0000E+000
    1.976259E+03   1.0000E-099   1.6292E-014   8.3220E-007   1.0000E+000
    2.101160E+03   1.0000E-099   1.1625E-014   7.2253E-007   1.0000E+000
    2.233954E+03   1.0000E-099   8.2214E-015   6.2640E-007   1.0000E+000
    2.375142E+03   1.0000E-099   5.8835E-015   5.4429E-007   1.0000E+000
    2.525252E+03   1.0000E-099   4.4654E-015   4.8338E-007   1.0000E+000
    2.684850E+03   1.0000E-099   3.6391E-015   4.4049E-007   1.0000E+000
    2.854534E+03   1.0000E-099   3.2418E-015   4.1402E-007   1.0000E+000
