#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cl0 cl1 cl2 cl3 cl4 
7073.50 2.74e-26 8.52e-18 4.41e-10 8.68e-05 1.00e+00 
7505.58 4.13e-26 1.33e-17 6.43e-10 1.07e-04 1.00e+00 
7964.05 8.99e-26 3.00e-17 1.27e-09 1.58e-04 1.00e+00 
8450.53 3.55e-25 1.17e-16 3.92e-09 3.06e-04 1.00e+00 
8966.72 1.57e-24 5.23e-16 1.35e-08 6.24e-04 9.99e-01 
9514.44 1.51e-23 4.79e-15 8.01e-08 1.69e-03 9.98e-01 
10095.62 4.99e-22 1.38e-13 1.16e-06 7.67e-03 9.92e-01 
10712.30 5.22e-20 1.23e-11 4.25e-05 6.00e-02 9.40e-01 
11366.65 1.72e-17 3.01e-09 3.05e-03 5.29e-01 4.67e-01 
12061.10 4.92e-15 5.12e-07 9.50e-02 8.92e-01 1.33e-02 
12793.43 6.56e-13 3.09e-05 7.68e-01 2.32e-01 2.79e-05 
13528.61 3.48e-11 4.98e-04 9.95e-01 4.51e-03 1.02e-09 
14194.74 1.55e-09 6.45e-03 9.93e-01 5.37e-05 1.72e-14 
14757.77 4.15e-08 5.54e-02 9.45e-01 1.10e-06 2.07e-18 
15240.48 6.74e-07 2.99e-01 7.01e-01 3.12e-08 9.73e-22 
15646.99 5.46e-06 7.53e-01 2.47e-01 5.20e-10 1.30e-25 
15960.30 2.43e-05 9.51e-01 4.89e-02 4.59e-12 2.20e-29 
16187.41 5.86e-05 9.88e-01 1.22e-02 1.32e-13 3.60e-32 
16354.17 1.51e-04 9.98e-01 2.14e-03 1.64e-15 5.39e-36 
16484.18 1.73e-04 9.99e-01 1.12e-03 3.16e-16 5.07e-36 
16593.12 2.86e-04 9.99e-01 5.92e-04 4.19e-17 3.20e-36 
16691.99 3.09e-04 9.99e-01 3.20e-04 8.50e-18 6.46e-36 
16788.59 6.51e-04 9.99e-01 1.22e-04 5.13e-19 8.11e-37 
16888.37 7.18e-04 9.99e-01 8.75e-05 2.12e-19 1.85e-36 
16998.79 9.04e-04 9.99e-01 3.87e-05 2.46e-20 2.04e-36 
17146.37 1.38e-03 9.99e-01 1.77e-05 2.61e-21 1.75e-36 
17415.23 3.15e-03 9.97e-01 4.29e-06 5.15e-23 3.15e-36 
17888.12 1.12e-02 9.89e-01 3.52e-07 4.62e-26 3.09e-36 
18532.37 4.83e-02 9.52e-01 1.81e-08 1.09e-29 4.47e-36 
19260.76 1.38e-01 8.62e-01 1.07e-09 4.15e-32 5.86e-36 
20034.10 2.74e-01 7.26e-01 4.86e-11 4.20e-33 6.64e-36 
20838.00 6.00e-01 4.00e-01 3.86e-12 7.79e-33 5.41e-36 
21647.97 8.08e-01 1.92e-01 2.34e-13 3.54e-33 3.89e-36 
22447.94 9.14e-01 8.59e-02 8.73e-15 2.70e-35 3.86e-36 
23245.88 9.44e-01 5.63e-02 1.42e-15 3.34e-35 4.83e-36 
24052.47 9.73e-01 2.71e-02 5.92e-16 1.21e-31 6.62e-36 
24867.72 9.85e-01 1.52e-02 5.91e-17 8.50e-33 9.36e-36 
25698.86 9.91e-01 9.04e-03 1.98e-18 9.17e-35 1.36e-35 
26587.16 9.94e-01 5.72e-03 3.81e-19 1.59e-33 2.14e-35 
27637.54 9.97e-01 3.05e-03 1.03e-19 3.64e-31 3.93e-35 
28986.97 9.98e-01 1.71e-03 3.76e-21 8.12e-32 9.67e-35 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] cl0 cl1 cl2 cl3 cl4 
440.10 1.20e-17 4.61e-10 4.39e-04 1.57e-01 8.42e-01 
999.11 7.75e-20 4.51e-12 1.20e-05 2.57e-02 9.74e-01 
1267.34 2.08e-21 1.55e-13 8.36e-07 5.82e-03 9.94e-01 
1514.05 1.86e-22 1.60e-14 1.35e-07 2.12e-03 9.98e-01 
1808.80 2.01e-23 2.05e-15 2.61e-08 8.44e-04 9.99e-01 
1919.29 3.57e-24 4.08e-16 6.99e-09 3.78e-04 1.00e+00 
2160.92 7.13e-25 8.38e-17 1.85e-09 1.73e-04 1.00e+00 
