#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
1320.45 4.6635e-04 8.5556e-01 1.4142e-01 2.5483e-03
1403.37 1.3763e-03 8.6900e-01 1.2743e-01 2.1982e-03
1491.49 2.1664e-03 8.7340e-01 1.2239e-01 2.0399e-03
1585.14 2.2205e-03 8.7351e-01 1.2225e-01 2.0171e-03
1684.67 2.9437e-03 8.7437e-01 1.2070e-01 1.9893e-03
1790.45 1.9710e-03 8.7369e-01 1.2231e-01 2.0290e-03
1902.87 1.7432e-03 8.6827e-01 1.2776e-01 2.2253e-03
2022.36 3.2825e-03 8.6379e-01 1.3058e-01 2.3433e-03
2149.34 4.4967e-04 8.6678e-01 1.3045e-01 2.3208e-03
2284.30 4.0679e-04 8.5873e-01 1.3827e-01 2.5878e-03
2427.74 3.5490e-04 8.5030e-01 1.4646e-01 2.8902e-03
2580.18 3.6947e-04 8.4213e-01 1.5428e-01 3.2243e-03
2742.19 3.5986e-04 8.3142e-01 1.6463e-01 3.5914e-03
2914.37 4.1183e-04 8.2608e-01 1.6971e-01 3.7911e-03
3097.37 4.4611e-04 8.1847e-01 1.7717e-01 3.9161e-03
3291.85 5.0648e-04 8.0017e-01 1.9506e-01 4.2622e-03
3498.55 7.7281e-04 8.0464e-01 1.9080e-01 3.7945e-03
3718.23 6.8324e-03 8.4143e-01 1.4943e-01 2.3047e-03
3951.70 3.9396e-02 8.3662e-01 1.2234e-01 1.6487e-03
4199.83 3.2423e-02 8.1559e-01 1.4949e-01 2.4991e-03
4463.54 3.6965e-02 7.9674e-01 1.6314e-01 3.1565e-03
4743.81 5.1743e-02 7.8766e-01 1.5739e-01 3.2031e-03
5041.68 6.0592e-02 7.8635e-01 1.5000e-01 3.0604e-03
5358.25 6.6751e-02 7.8817e-01 1.4219e-01 2.8827e-03
5694.70 6.7317e-02 7.8426e-01 1.4550e-01 2.9270e-03
6052.28 7.0810e-02 7.8701e-01 1.3941e-01 2.7673e-03
6432.31 7.3028e-02 7.8811e-01 1.3619e-01 2.6714e-03
6836.20 7.3999e-02 7.8553e-01 1.3773e-01 2.7399e-03
7265.45 8.2040e-02 7.8434e-01 1.3113e-01 2.4937e-03
7721.65 8.5500e-02 7.8447e-01 1.2767e-01 2.3660e-03
8206.56 9.1549e-02 7.8240e-01 1.2380e-01 2.2461e-03
8717.73 9.7411e-02 7.8089e-01 1.1960e-01 2.1010e-03
9214.74 1.0751e-01 7.7832e-01 1.1234e-01 1.8283e-03
9629.11 1.1461e-01 7.8236e-01 1.0156e-01 1.4661e-03
9954.11 1.2404e-01 7.7164e-01 1.0285e-01 1.4721e-03
10245.64 1.1009e-01 7.7839e-01 1.1001e-01 1.5105e-03
10541.49 1.0299e-01 7.8526e-01 1.1038e-01 1.3677e-03
10839.94 1.1382e-01 7.8523e-01 9.9879e-02 1.0698e-03
11119.11 1.2928e-01 7.8814e-01 8.1846e-02 7.3440e-04
11355.83 1.3000e-01 8.0386e-01 6.5645e-02 4.9386e-04
11539.81 1.2732e-01 8.2246e-01 4.9927e-02 2.9037e-04
11677.16 1.4641e-01 8.0952e-01 4.3840e-02 2.2649e-04
11784.05 1.3285e-01 8.2648e-01 4.0475e-02 1.9421e-04
11875.85 1.1994e-01 8.3923e-01 4.0632e-02 2.0220e-04
11963.37 1.0421e-01 8.4900e-01 4.6547e-02 2.3984e-04
