#NTIMES: 145 
#NSTAGES: 3 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
17888.12 7.00e-02 9.30e-01 2.31e-16 
18532.37 2.49e-01 7.51e-01 2.56e-18 
19260.76 5.07e-01 4.93e-01 1.55e-20 
20034.10 7.72e-01 2.28e-01 1.38e-22 
20838.00 9.32e-01 6.77e-02 1.54e-24 
21647.97 9.68e-01 3.19e-02 5.57e-26 
22447.94 9.88e-01 1.18e-02 1.03e-27 
23245.88 9.95e-01 4.85e-03 2.78e-29 
24052.47 9.98e-01 2.30e-03 4.51e-30 
24867.72 9.99e-01 9.84e-04 4.49e-30 
25698.86 1.00e+00 4.56e-04 6.72e-30 
26587.16 1.00e+00 2.18e-04 1.01e-29 
27637.54 1.00e+00 1.12e-04 2.26e-29 
28986.97 1.00e+00 7.18e-05 1.08e-28 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.13e-11 2.31e-04 1.00e+00 
999.11 2.34e-12 7.31e-05 1.00e+00 
1267.34 6.83e-13 2.77e-05 1.00e+00 
1514.05 3.09e-13 1.43e-05 1.00e+00 
1808.80 1.44e-13 8.07e-06 1.00e+00 
1919.29 8.63e-14 5.30e-06 1.00e+00 
2160.92 4.65e-14 3.40e-06 1.00e+00 
2292.92 2.57e-14 2.11e-06 1.00e+00 
2432.98 1.89e-14 1.78e-06 1.00e+00 
2581.60 1.51e-14 1.55e-06 1.00e+00 
2739.29 1.33e-14 1.51e-06 1.00e+00 
2906.62 1.12e-14 1.37e-06 1.00e+00 
3084.17 9.19e-15 1.24e-06 1.00e+00 
3272.56 7.56e-15 1.16e-06 1.00e+00 
3472.46 6.31e-15 1.09e-06 1.00e+00 
3684.57 5.23e-15 1.03e-06 1.00e+00 
3909.64 3.89e-15 9.14e-07 1.00e+00 
4148.46 3.45e-15 8.84e-07 1.00e+00 
4401.86 4.05e-15 9.93e-07 1.00e+00 
4670.75 4.58e-15 1.10e-06 1.00e+00 
4956.05 4.17e-15 1.11e-06 1.00e+00 
5258.79 3.60e-15 1.05e-06 1.00e+00 
5580.02 3.61e-15 1.10e-06 1.00e+00 
5920.87 3.62e-15 1.17e-06 1.00e+00 
6282.54 3.63e-15 1.22e-06 1.00e+00 
6666.30 3.95e-15 1.37e-06 1.00e+00 
7073.50 4.26e-15 1.49e-06 1.00e+00 
7505.58 4.53e-15 1.67e-06 1.00e+00 
7964.05 5.79e-15 2.20e-06 1.00e+00 
8450.53 9.28e-15 3.38e-06 1.00e+00 
8966.72 1.54e-14 5.31e-06 1.00e+00 
9514.44 3.35e-14 1.01e-05 1.00e+00 
10095.62 1.26e-13 2.90e-05 1.00e+00 
10712.30 7.88e-13 1.20e-04 1.00e+00 
11366.65 8.67e-12 7.41e-04 9.99e-01 
12061.10 2.68e-10 1.02e-02 9.90e-01 
12793.43 1.40e-08 1.93e-01 8.07e-01 
13528.61 2.55e-07 9.06e-01 9.37e-02 
14194.74 1.02e-06 9.97e-01 2.68e-03 
14757.77 3.35e-06 1.00e+00 6.74e-05 
15240.48 1.05e-05 1.00e+00 3.38e-06 
15646.99 3.35e-05 1.00e+00 1.41e-07 
15960.30 1.29e-04 1.00e+00 9.40e-09 
16187.41 3.54e-04 1.00e+00 9.32e-10 
16354.17 7.90e-04 9.99e-01 1.34e-10 
16484.18 1.18e-03 9.99e-01 4.09e-11 
16593.12 1.60e-03 9.98e-01 1.33e-11 
16691.99 2.64e-03 9.97e-01 4.18e-12 
16788.59 3.04e-03 9.97e-01 2.22e-12 
16888.37 3.85e-03 9.96e-01 1.06e-12 
16998.79 5.97e-03 9.94e-01 3.10e-13 
17146.37 1.06e-02 9.89e-01 6.90e-14 
17415.23 2.34e-02 9.77e-01 7.78e-15 
17888.12 6.96e-02 9.30e-01 2.05e-16 
18532.37 2.62e-01 7.38e-01 2.34e-18 
19260.76 5.54e-01 4.46e-01 2.59e-20 
20034.10 6.93e-01 3.07e-01 2.72e-22 
20838.00 9.25e-01 7.50e-02 2.55e-24 
21647.97 9.69e-01 3.11e-02 5.03e-26 
22447.94 9.87e-01 1.26e-02 1.25e-27 
23245.88 9.93e-01 6.61e-03 6.38e-29 
24052.47 9.97e-01 2.70e-03 4.37e-30 
24867.72 9.99e-01 1.37e-03 7.04e-30 
25698.86 9.99e-01 8.02e-04 1.58e-29 
26587.16 1.00e+00 3.58e-04 2.76e-29 
27637.54 1.00e+00 1.99e-04 6.79e-29 
28986.97 1.00e+00 9.76e-05 1.62e-28 
#TIME: 4.49 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.04e-11 2.18e-04 1.00e+00 
999.11 1.95e-12 6.52e-05 1.00e+00 
