#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
16888.37 2.5601e-05 3.1054e-02 8.0525e-01 1.6367e-01
16998.79 2.2288e-05 1.7881e-02 8.0781e-01 1.7429e-01
17146.37 4.5859e-05 3.5471e-02 7.8506e-01 1.7943e-01
17415.23 1.0653e-05 1.2566e-02 7.8769e-01 1.9973e-01
17888.12 2.3459e-06 6.1189e-03 7.6351e-01 2.3037e-01
18532.37 1.1801e-06 3.7615e-03 7.3553e-01 2.6071e-01
19260.76 1.3533e-06 3.5746e-03 7.1110e-01 2.8532e-01
20034.10 4.3048e-07 2.4864e-03 6.5331e-01 3.4420e-01
20838.00 2.3702e-07 1.5642e-03 6.4213e-01 3.5631e-01
21647.97 1.7771e-07 1.3009e-03 5.8715e-01 4.1155e-01
22447.94 7.3070e-08 8.5065e-04 5.3461e-01 4.6454e-01
23245.88 7.2202e-08 1.0143e-03 4.6558e-01 5.3340e-01
24052.47 2.2870e-07 1.3027e-03 4.2483e-01 5.7387e-01
24867.72 9.7559e-07 4.1734e-03 3.8243e-01 6.1339e-01
25698.86 3.2686e-07 1.7270e-03 3.7435e-01 6.2392e-01
26587.16 2.3569e-07 1.9448e-03 3.2629e-01 6.7177e-01
27637.54 2.9732e-06 2.0130e-02 2.7748e-01 7.0238e-01
28986.97 9.1463e-07 1.5851e-02 2.6328e-01 7.2087e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 2.0662e-02 6.0676e-01 3.3806e-01 3.4517e-02
1919.29 1.8401e-02 6.2499e-01 3.2508e-01 3.1529e-02
2581.60 9.1376e-03 5.4268e-01 3.9866e-01 4.9521e-02
3084.17 2.7062e-03 3.5743e-01 5.5406e-01 8.5805e-02
3472.46 5.0738e-04 1.5450e-01 7.0909e-01 1.3590e-01
3909.64 1.4689e-04 8.9293e-02 7.3167e-01 1.7889e-01
4148.46 2.3428e-04 1.0686e-01 7.1146e-01 1.8144e-01
4670.75 2.6323e-04 1.3082e-01 6.9444e-01 1.7447e-01
4956.05 1.1310e-04 8.0265e-02 7.1896e-01 2.0066e-01
5258.79 2.3803e-05 3.7276e-02 7.2768e-01 2.3502e-01
5580.02 2.8372e-06 1.2473e-02 7.2403e-01 2.6350e-01
5920.87 4.8978e-07 4.9965e-03 7.0994e-01 2.8506e-01
6282.54 2.4475e-07 3.3139e-03 6.8343e-01 3.1325e-01
6666.30 1.9866e-07 3.0440e-03 6.7499e-01 3.2197e-01
7073.50 2.0811e-07 3.2410e-03 6.6893e-01 3.2782e-01
7505.58 2.2202e-07 3.4367e-03 6.5479e-01 3.4177e-01
7964.05 3.0687e-07 4.0620e-03 6.6043e-01 3.3551e-01
8450.53 1.4908e-06 1.0129e-02 6.6947e-01 3.2040e-01
