#NTIMES: 145 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
27637.54 3.82e+03 5.26e-15 1.84e+07 1.79e+08 
28986.97 4.11e+03 3.54e-15 8.47e+06 1.28e+08 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
440.10 3.79e+04 4.70e-11 1.72e+12 4.80e+11 
999.11 4.28e+04 4.70e-11 1.89e+12 4.80e+11 
1267.34 4.61e+04 4.75e-11 2.04e+12 4.85e+11 
1514.05 4.86e+04 5.01e-11 2.26e+12 5.08e+11 
1808.80 5.06e+04 4.86e-11 2.29e+12 4.88e+11 
1919.29 5.49e+04 4.82e-11 2.35e+12 4.83e+11 
2160.92 5.02e+04 4.66e-11 2.31e+12 4.64e+11 
2292.92 5.81e+04 4.40e-11 2.23e+12 4.37e+11 
2432.98 5.50e+04 4.14e-11 2.11e+12 4.10e+11 
2581.60 5.06e+04 3.96e-11 2.02e+12 3.91e+11 
2739.29 4.98e+04 3.82e-11 1.95e+12 3.77e+11 
2906.62 4.90e+04 3.63e-11 1.86e+12 3.59e+11 
3084.17 4.59e+04 3.31e-11 1.70e+12 3.28e+11 
3272.56 4.51e+04 2.92e-11 1.50e+12 2.92e+11 
3472.46 4.40e+04 2.51e-11 1.31e+12 2.59e+11 
3684.57 4.30e+04 2.08e-11 1.12e+12 2.27e+11 
3909.64 4.24e+04 1.62e-11 9.09e+11 1.89e+11 
4148.46 4.18e+04 1.37e-11 8.02e+11 1.72e+11 
4401.86 4.05e+04 1.34e-11 8.02e+11 1.76e+11 
4670.75 4.18e+04 1.32e-11 7.84e+11 1.72e+11 
4956.05 4.08e+04 1.20e-11 6.96e+11 1.51e+11 
5258.79 3.92e+04 1.09e-11 6.12e+11 1.29e+11 
5580.02 4.06e+04 1.03e-11 5.63e+11 1.18e+11 
5920.87 3.94e+04 9.63e-12 5.17e+11 1.07e+11 
6282.54 3.81e+04 8.87e-12 4.70e+11 9.78e+10 
6666.30 3.89e+04 8.30e-12 4.36e+11 9.15e+10 
7073.50 3.92e+04 7.67e-12 4.00e+11 8.52e+10 
7505.58 3.73e+04 6.71e-12 3.49e+11 7.57e+10 
7964.05 3.56e+04 5.86e-12 3.05e+11 6.78e+10 
8450.53 3.46e+04 5.28e-12 2.74e+11 6.34e+10 
8966.72 3.39e+04 4.63e-12 2.44e+11 5.85e+10 
9514.44 3.16e+04 3.93e-12 2.14e+11 5.28e+10 
10095.62 2.90e+04 3.34e-12 1.92e+11 4.82e+10 
10712.30 2.73e+04 2.74e-12 1.66e+11 4.25e+10 
11366.65 2.47e+04 2.09e-12 1.31e+11 3.46e+10 
12061.10 2.14e+04 1.50e-12 8.76e+10 2.59e+10 
12793.43 1.85e+04 1.10e-12 5.75e+10 1.97e+10 
13528.61 1.60e+04 8.33e-13 3.91e+10 1.52e+10 
14194.74 1.37e+04 6.22e-13 2.36e+10 1.17e+10 
14757.77 1.24e+04 4.76e-13 1.70e+10 9.31e+09 
15240.48 1.15e+04 4.60e-13 1.57e+10 9.65e+09 
15646.99 1.04e+04 5.49e-13 1.83e+10 1.27e+10 
15960.30 9.86e+03 7.65e-13 2.60e+10 1.93e+10 
16187.41 9.47e+03 8.39e-13 2.89e+10 2.24e+10 
16354.17 9.06e+03 8.23e-13 2.86e+10 2.27e+10 
16484.18 8.60e+03 7.24e-13 2.51e+10 2.03e+10 
16593.12 8.64e+03 6.02e-13 2.07e+10 1.70e+10 
16691.99 8.13e+03 5.18e-13 1.78e+10 1.48e+10 
16788.59 8.36e+03 4.62e-13 1.58e+10 1.33e+10 
16888.37 7.62e+03 4.19e-13 1.41e+10 1.21e+10 
16998.79 8.24e+03 3.77e-13 1.26e+10 1.10e+10 
17146.37 7.42e+03 3.34e-13 1.09e+10 9.81e+09 
17415.23 7.05e+03 2.74e-13 8.69e+09 8.12e+09 
17888.12 6.49e+03 1.96e-13 5.79e+09 5.87e+09 
18532.37 6.00e+03 1.48e-13 3.66e+09 4.46e+09 
19260.76 5.43e+03 1.09e-13 2.00e+09 3.30e+09 
20034.10 5.09e+03 7.65e-14 9.12e+08 2.31e+09 
20838.00 4.84e+03 5.43e-14 4.40e+08 1.64e+09 
21647.97 4.78e+03 4.13e-14 2.99e+08 1.25e+09 
22447.94 4.31e+03 2.97e-14 2.01e+08 9.03e+08 
23245.88 3.93e+03 2.10e-14 1.42e+08 6.40e+08 
24052.47 4.67e+03 1.54e-14 1.05e+08 4.73e+08 
24867.72 3.66e+03 1.18e-14 7.26e+07 3.67e+08 
25698.86 3.68e+03 9.17e-15 4.96e+07 2.90e+08 
26587.16 3.93e+03 6.92e-15 3.31e+07 2.25e+08 
27637.54 4.21e+03 4.95e-15 2.16e+07 1.68e+08 
28986.97 4.24e+03 3.33e-15 7.87e+06 1.21e+08 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
440.10 4.24e+04 4.42e-11 1.66e+12 4.52e+11 
999.11 4.25e+04 4.42e-11 1.79e+12 4.52e+11 
1267.34 4.47e+04 4.46e-11 1.94e+12 4.56e+11 
1514.05 4.81e+04 4.71e-11 2.14e+12 4.78e+11 
1808.80 5.01e+04 4.57e-11 2.15e+12 4.59e+11 
1919.29 5.19e+04 4.53e-11 2.22e+12 4.54e+11 
2160.92 5.26e+04 4.38e-11 2.16e+12 4.36e+11 
2292.92 5.60e+04 4.14e-11 2.10e+12 4.11e+11 
2432.98 5.31e+04 3.90e-11 1.98e+12 3.85e+11 
2581.60 5.35e+04 3.72e-11 1.89e+12 3.67e+11 
2739.29 4.79e+04 3.59e-11 1.83e+12 3.54e+11 
2906.62 4.84e+04 3.42e-11 1.74e+12 3.37e+11 
3084.17 4.88e+04 3.12e-11 1.58e+12 3.09e+11 
3272.56 4.70e+04 2.74e-11 1.40e+12 2.74e+11 
3472.46 4.54e+04 2.37e-11 1.23e+12 2.44e+11 
3684.57 4.39e+04 1.96e-11 1.05e+12 2.13e+11 
3909.64 4.22e+04 1.52e-11 8.51e+11 1.78e+11 
4148.46 4.16e+04 1.29e-11 7.51e+11 1.62e+11 
4401.86 4.16e+04 1.26e-11 7.52e+11 1.66e+11 
4670.75 4.18e+04 1.24e-11 7.35e+11 1.62e+11 
4956.05 4.02e+04 1.13e-11 6.52e+11 1.42e+11 
5258.79 4.08e+04 1.02e-11 5.73e+11 1.22e+11 
5580.02 4.05e+04 9.68e-12 5.28e+11 1.11e+11 
5920.87 3.92e+04 9.06e-12 4.84e+11 1.01e+11 
6282.54 3.97e+04 8.34e-12 4.40e+11 9.20e+10 
6666.30 3.84e+04 7.80e-12 4.07e+11 8.60e+10 
7073.50 3.84e+04 7.21e-12 3.74e+11 8.01e+10 
7505.58 3.69e+04 6.31e-12 3.27e+11 7.12e+10 
7964.05 3.58e+04 5.51e-12 2.84e+11 6.38e+10 
8450.53 3.47e+04 4.97e-12 2.56e+11 5.96e+10 
8966.72 3.30e+04 4.36e-12 2.28e+11 5.50e+10 
9514.44 3.13e+04 3.69e-12 2.01e+11 4.96e+10 
10095.62 2.85e+04 3.14e-12 1.80e+11 4.53e+10 
10712.30 2.71e+04 2.57e-12 1.55e+11 3.99e+10 
11366.65 2.43e+04 1.97e-12 1.23e+11 3.26e+10 
12061.10 2.10e+04 1.41e-12 8.11e+10 2.44e+10 
12793.43 1.84e+04 1.04e-12 5.38e+10 1.85e+10 
13528.61 1.58e+04 7.84e-13 3.64e+10 1.43e+10 
14194.74 1.36e+04 5.85e-13 2.20e+10 1.10e+10 
14757.77 1.23e+04 4.48e-13 1.60e+10 8.75e+09 
15240.48 1.14e+04 4.33e-13 1.47e+10 9.08e+09 
15646.99 1.05e+04 5.16e-13 1.72e+10 1.19e+10 
15960.30 9.81e+03 7.19e-13 2.44e+10 1.81e+10 
16187.41 9.45e+03 7.89e-13 2.72e+10 2.10e+10 
16354.17 8.90e+03 7.74e-13 2.68e+10 2.13e+10 
16484.18 8.51e+03 6.80e-13 2.36e+10 1.91e+10 
16593.12 8.49e+03 5.66e-13 1.95e+10 1.60e+10 
16691.99 7.92e+03 4.87e-13 1.66e+10 1.39e+10 
16788.59 8.21e+03 4.35e-13 1.48e+10 1.25e+10 
16888.37 8.25e+03 3.94e-13 1.33e+10 1.14e+10 
16998.79 7.33e+03 3.54e-13 1.17e+10 1.03e+10 
17146.37 7.10e+03 3.14e-13 1.02e+10 9.23e+09 
17415.23 7.08e+03 2.58e-13 8.05e+09 7.63e+09 
17888.12 6.88e+03 1.84e-13 5.45e+09 5.52e+09 
18532.37 6.01e+03 1.39e-13 3.40e+09 4.19e+09 
19260.76 5.70e+03 1.03e-13 1.77e+09 3.10e+09 
20034.10 5.25e+03 7.19e-14 9.91e+08 2.17e+09 
20838.00 5.11e+03 5.11e-14 4.22e+08 1.55e+09 
21647.97 4.59e+03 3.89e-14 2.81e+08 1.18e+09 
22447.94 4.26e+03 2.79e-14 1.90e+08 8.49e+08 
23245.88 4.79e+03 1.97e-14 1.31e+08 6.02e+08 
24052.47 3.70e+03 1.45e-14 9.09e+07 4.44e+08 
24867.72 3.57e+03 1.11e-14 6.52e+07 3.45e+08 
25698.86 3.86e+03 8.62e-15 4.59e+07 2.73e+08 
26587.16 4.13e+03 6.51e-15 3.03e+07 2.12e+08 
27637.54 4.23e+03 4.65e-15 1.74e+07 1.58e+08 
28986.97 4.80e+03 3.13e-15 7.75e+06 1.13e+08 
#TIME: 4.49 
#NVEL: 67 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
440.10 4.14e+04 4.16e-11 1.57e+12 4.25e+11 
999.11 4.42e+04 4.16e-11 1.69e+12 4.25e+11 
1267.34 4.71e+04 4.20e-11 1.82e+12 4.29e+11 
1514.05 4.94e+04 4.43e-11 2.01e+12 4.50e+11 
1808.80 5.07e+04 4.30e-11 2.02e+12 4.32e+11 
1919.29 5.51e+04 4.26e-11 2.07e+12 4.27e+11 
2160.92 5.28e+04 4.12e-11 2.03e+12 4.10e+11 
2292.92 5.77e+04 3.89e-11 1.96e+12 3.86e+11 
2432.98 5.66e+04 3.66e-11 1.86e+12 3.62e+11 
2581.60 5.40e+04 3.50e-11 1.78e+12 3.46e+11 
2739.29 5.32e+04 3.38e-11 1.71e+12 3.33e+11 
2906.62 4.99e+04 3.21e-11 1.62e+12 3.17e+11 
3084.17 4.82e+04 2.93e-11 1.48e+12 2.90e+11 
3272.56 4.82e+04 2.58e-11 1.31e+12 2.58e+11 
3472.46 4.65e+04 2.22e-11 1.15e+12 2.29e+11 
3684.57 4.54e+04 1.84e-11 9.81e+11 2.01e+11 
3909.64 4.33e+04 1.43e-11 7.97e+11 1.67e+11 
4148.46 4.25e+04 1.21e-11 7.04e+11 1.52e+11 
4401.86 4.24e+04 1.19e-11 7.05e+11 1.56e+11 
4670.75 4.14e+04 1.17e-11 6.89e+11 1.52e+11 
4956.05 4.18e+04 1.06e-11 6.11e+11 1.33e+11 
5258.79 4.09e+04 9.61e-12 5.37e+11 1.15e+11 
5580.02 3.99e+04 9.10e-12 4.94e+11 1.04e+11 
5920.87 4.02e+04 8.52e-12 4.53e+11 9.50e+10 
6282.54 3.97e+04 7.84e-12 4.12e+11 8.65e+10 
6666.30 3.99e+04 7.34e-12 3.81e+11 8.09e+10 
7073.50 3.88e+04 6.78e-12 3.50e+11 7.53e+10 
7505.58 3.61e+04 5.93e-12 3.05e+11 6.69e+10 
7964.05 3.50e+04 5.18e-12 2.65e+11 6.00e+10 
8450.53 3.41e+04 4.67e-12 2.39e+11 5.61e+10 
8966.72 3.27e+04 4.10e-12 2.14e+11 5.17e+10 
9514.44 3.03e+04 3.47e-12 1.88e+11 4.67e+10 
10095.62 2.87e+04 2.95e-12 1.69e+11 4.26e+10 
10712.30 2.71e+04 2.42e-12 1.46e+11 3.76e+10 
11366.65 2.38e+04 1.85e-12 1.15e+11 3.06e+10 
12061.10 2.08e+04 1.32e-12 7.51e+10 2.29e+10 
12793.43 1.81e+04 9.75e-13 5.04e+10 1.74e+10 
13528.61 1.56e+04 7.37e-13 3.39e+10 1.35e+10 
14194.74 1.35e+04 5.50e-13 2.06e+10 1.03e+10 
14757.77 1.22e+04 4.21e-13 1.50e+10 8.23e+09 
15240.48 1.13e+04 4.07e-13 1.38e+10 8.54e+09 
15646.99 1.06e+04 4.86e-13 1.62e+10 1.12e+10 
15960.30 9.81e+03 6.76e-13 2.30e+10 1.70e+10 
16187.41 9.38e+03 7.42e-13 2.56e+10 1.98e+10 
16354.17 8.94e+03 7.28e-13 2.52e+10 2.01e+10 
16484.18 8.67e+03 6.40e-13 2.21e+10 1.79e+10 
16593.12 8.42e+03 5.32e-13 1.83e+10 1.51e+10 
16691.99 8.35e+03 4.58e-13 1.57e+10 1.31e+10 
16788.59 7.83e+03 4.09e-13 1.38e+10 1.18e+10 
16888.37 7.96e+03 3.70e-13 1.24e+10 1.07e+10 
16998.79 7.92e+03 3.33e-13 1.11e+10 9.72e+09 
17146.37 7.59e+03 2.95e-13 9.47e+09 8.68e+09 
17415.23 6.92e+03 2.42e-13 7.57e+09 7.18e+09 
17888.12 6.74e+03 1.73e-13 5.17e+09 5.19e+09 
18532.37 6.04e+03 1.31e-13 3.26e+09 3.94e+09 
19260.76 5.76e+03 9.67e-14 1.74e+09 2.92e+09 
20034.10 5.51e+03 6.76e-14 8.29e+08 2.04e+09 
