#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ar0 ar1 ar2 ar3 ar4 ar5
5.8030e+04 1.0000e+00 3.2001e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.0000e+00 4.1315e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.0000e+00 5.2772e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.0000e+00 6.6804e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.0000e+00 8.3274e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.0000e+00 1.0218e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.0000e+00 1.2299e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.0000e+00 1.4513e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.0000e+00 1.6755e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0000e+00 1.7788e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0000e+00 1.8261e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0000e+00 1.8665e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0000e+00 1.8696e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0000e+00 1.8807e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 3.9095e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.3409
#NVEL: 115
#vel_mid[km/s] ar0 ar1 ar2 ar3 ar4 ar5
4.2577e+02 1.9224e-37 4.3832e-28 1.4017e-19 9.9747e-12 3.8791e-05 9.9996e-01
8.5779e+02 4.7729e-28 1.4082e-20 5.7802e-14 5.4067e-08 2.8322e-03 9.9717e-01
8.7843e+02 4.8093e-28 1.4177e-20 5.8157e-14 5.4324e-08 2.8395e-03 9.9716e-01
9.1772e+02 4.7460e-28 1.4012e-20 5.7541e-14 5.3877e-08 2.8268e-03 9.9717e-01
9.7304e+02 4.6378e-28 1.3734e-20 5.6536e-14 5.3162e-08 2.8064e-03 9.9719e-01
1.0350e+03 4.4109e-28 1.3141e-20 5.4338e-14 5.1562e-08 2.7602e-03 9.9724e-01
1.1000e+03 3.7702e-28 1.1452e-20 4.8053e-14 4.6922e-08 2.6225e-03 9.9738e-01
1.1690e+03 2.4586e-28 7.8739e-21 3.4389e-14 3.6294e-08 2.2812e-03 9.9772e-01
1.2425e+03 1.0264e-28 3.6445e-21 1.7164e-14 2.1187e-08 1.7015e-03 9.9830e-01
1.3205e+03 2.7577e-29 1.1304e-21 5.8772e-15 9.1277e-09 1.0730e-03 9.9893e-01
1.4033e+03 5.9769e-30 2.8953e-22 1.6941e-15 3.4204e-09 6.2713e-04 9.9937e-01
1.4915e+03 1.4233e-30 8.1149e-23 5.3696e-16 1.3834e-09 3.8288e-04 9.9962e-01
1.5852e+03 3.7809e-31 2.5291e-23 1.9042e-16 6.1459e-10 2.4662e-04 9.9975e-01
1.6847e+03 9.6342e-32 7.6545e-24 6.6676e-17 2.7158e-10 1.5871e-04 9.9984e-01
1.7904e+03 2.2035e-32 2.1299e-24 2.2069e-17 1.1579e-10 1.0045e-04 9.9990e-01
1.9028e+03 4.6044e-33 5.5423e-25 7.0233e-18 4.8362e-11 6.3056e-05 9.9994e-01
2.0223e+03 9.8855e-34 1.4761e-25 2.2862e-18 2.0539e-11 3.9954e-05 9.9996e-01
