#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2
39768.62 1.2310e-06 3.9574e-03 9.9604e-01
40915.31 7.5441e-07 3.0985e-03 9.9690e-01
42074.51 5.3844e-08 2.3246e-03 9.9768e-01
43252.44 2.0793e-08 1.7461e-03 9.9825e-01
44454.05 1.2141e-08 1.3136e-03 9.9869e-01
45683.04 8.1305e-08 9.8664e-04 9.9901e-01
46941.68 4.5966e-08 7.4129e-04 9.9926e-01
48230.81 2.5962e-08 5.5697e-04 9.9944e-01
49550.29 1.4655e-08 4.1897e-04 9.9958e-01
50899.37 8.2482e-09 3.1530e-04 9.9968e-01
52276.86 4.6730e-09 2.3775e-04 9.9976e-01
53681.16 2.6517e-09 1.7953e-04 9.9982e-01
55110.21 1.5220e-09 1.3605e-04 9.9986e-01
56561.17 8.7967e-10 1.0357e-04 9.9990e-01
58030.00 5.1070e-10 7.9119e-05 9.9992e-01
59510.42 2.9966e-10 6.0659e-05 9.9994e-01
60993.45 1.7717e-10 4.6856e-05 9.9995e-01
62466.44 1.0736e-10 3.6478e-05 9.9996e-01
63912.69 6.5096e-11 2.8729e-05 9.9997e-01
65311.62 4.2051e-11 2.2884e-05 9.9998e-01
66639.26 2.7692e-11 1.8544e-05 9.9998e-01
67870.77 1.8766e-11 1.5310e-05 9.9998e-01
68864.47 1.3144e-11 1.2845e-05 9.9999e-01
69459.55 1.1275e-11 1.1992e-05 9.9999e-01
69744.99 1.0616e-11 1.1576e-05 9.9999e-01
69888.26 1.0154e-11 1.1365e-05 9.9999e-01
69959.62 1.0046e-11 1.1265e-05 9.9999e-01
69991.15 9.9630e-12 1.1219e-05 9.9999e-01
69999.53 9.8522e-12 1.1219e-05 9.9999e-01
#TIME: 204.93
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2
425.78 1.8482e-01 6.3377e-01 1.8142e-01
857.79 1.9781e-01 6.3072e-01 1.7146e-01
878.44 1.8153e-01 6.3066e-01 1.8780e-01
917.72 1.7748e-01 6.3810e-01 1.8442e-01
973.04 1.7743e-01 6.3717e-01 1.8540e-01
1034.98 1.8292e-01 6.3397e-01 1.8311e-01
1099.97 1.3993e-01 6.2300e-01 2.3707e-01
1169.04 1.7764e-01 6.3339e-01 1.8897e-01
1242.44 1.8212e-01 6.2909e-01 1.8879e-01
1320.45 1.8004e-01 6.3129e-01 1.8867e-01
1403.37 2.0191e-01 6.3327e-01 1.6483e-01
1491.49 2.0971e-01 6.3236e-01 1.5793e-01
1585.14 2.0483e-01 6.3275e-01 1.6242e-01
1684.67 2.1289e-01 6.3185e-01 1.5526e-01
1790.45 2.0704e-01 6.3237e-01 1.6059e-01
1902.87 1.9584e-01 6.3310e-01 1.7106e-01
2022.36 1.8527e-01 6.3125e-01 1.8349e-01
2149.34 1.9396e-01 6.3843e-01 1.6761e-01
2284.30 1.7953e-01 6.3964e-01 1.8083e-01
2427.74 1.6360e-01 6.3990e-01 1.9649e-01
2580.18 1.4755e-01 6.3994e-01 2.1251e-01
2742.19 1.3404e-01 6.3912e-01 2.2685e-01
2914.37 1.2062e-01 6.4170e-01 2.3768e-01
3097.37 1.1216e-01 6.4788e-01 2.3996e-01
3291.85 9.3542e-02 6.6308e-01 2.4338e-01
3498.55 9.0478e-02 6.8292e-01 2.2660e-01
3718.23 1.2295e-01 7.0391e-01 1.7314e-01
3951.70 1.4642e-01 7.0736e-01 1.4623e-01
4199.83 1.0690e-01 7.0780e-01 1.8530e-01
4463.54 9.3043e-02 6.9540e-01 2.1156e-01
4743.81 1.0576e-01 6.7873e-01 2.1550e-01
5041.68 1.1547e-01 6.7542e-01 2.0911e-01
5358.25 1.2712e-01 6.6868e-01 2.0420e-01
5694.70 1.2516e-01 6.7003e-01 2.0481e-01
6052.28 1.3029e-01 6.6584e-01 2.0388e-01
6432.31 1.3828e-01 6.6609e-01 1.9563e-01
6836.20 1.4294e-01 6.6506e-01 1.9200e-01
7265.45 1.4290e-01 6.6355e-01 1.9355e-01
7721.65 1.5232e-01 6.6638e-01 1.8131e-01
8206.56 1.5200e-01 6.6699e-01 1.8101e-01
8717.73 1.6009e-01 6.6921e-01 1.7070e-01
9214.74 1.7045e-01 6.7631e-01 1.5324e-01
9629.11 1.7486e-01 6.8458e-01 1.4056e-01
9954.11 1.6026e-01 7.0047e-01 1.3926e-01
10245.64 1.6159e-01 7.0444e-01 1.3398e-01
10541.49 1.2893e-01 7.4135e-01 1.2972e-01
10839.94 1.7509e-01 7.1890e-01 1.0601e-01
11119.11 1.6888e-01 7.3888e-01 9.2241e-02
11355.83 2.2623e-01 7.0079e-01 7.2986e-02
11539.81 2.8469e-01 6.6111e-01 5.4201e-02
11677.16 3.5161e-01 6.0514e-01 4.3245e-02
11784.05 3.5474e-01 6.0264e-01 4.2623e-02
11875.85 3.8017e-01 5.7969e-01 4.0137e-02
11963.37 3.5330e-01 6.0494e-01 4.1759e-02
12055.39 3.1581e-01 6.3268e-01 5.1519e-02
12170.41 2.4237e-01 6.9423e-01 6.3397e-02
12360.89 1.5376e-01 7.7227e-01 7.3968e-02
12670.46 8.8674e-02 8.1502e-01 9.6306e-02
13075.34 5.8839e-02 8.2477e-01 1.1639e-01
13530.52 3.4521e-02 8.2373e-01 1.4175e-01
14012.75 2.3257e-02 8.1313e-01 1.6362e-01
14508.81 1.9512e-02 7.9759e-01 1.8290e-01
15002.30 1.9391e-02 7.8900e-01 1.9160e-01
15475.29 2.4883e-02 7.7698e-01 1.9813e-01
15923.68 3.0217e-02 7.5148e-01 2.1830e-01
16355.64 1.5465e-02 7.5762e-01 2.2691e-01
16776.27 2.3109e-02 7.4646e-01 2.3043e-01
17183.14 5.5696e-02 7.1837e-01 2.2594e-01
17580.45 4.0526e-02 7.3688e-01 2.2259e-01
17990.34 5.4791e-02 7.1391e-01 2.3130e-01
18458.06 2.0907e-02 6.9362e-01 2.8547e-01
19084.69 9.1772e-03 6.7727e-01 3.1356e-01
19999.79 1.5113e-02 5.8779e-01 3.9710e-01
21193.46 1.9140e-03 3.9678e-01 6.0131e-01
22528.72 8.7110e-03 3.1455e-01 6.7674e-01
23943.32 1.9571e-03 2.4822e-01 7.4982e-01
25446.74 4.0510e-04 2.0700e-01 7.9260e-01
27044.57 8.2946e-05 1.3168e-01 8.6824e-01
28744.18 3.2315e-04 6.6545e-02 9.3313e-01
30520.16 9.4569e-06 2.2470e-02 9.7752e-01
32243.50 7.7567e-07 4.9702e-03 9.9503e-01
33773.01 9.5860e-07 5.2278e-03 9.9477e-01
35108.48 1.6608e-05 1.5674e-02 9.8431e-01
36326.30 8.3767e-06 1.0856e-02 9.8914e-01
37486.70 4.1495e-06 7.5740e-03 9.9242e-01
38628.25 2.2192e-06 5.4848e-03 9.9451e-01
39768.62 1.3402e-06 4.0720e-03 9.9593e-01
40915.31 8.3083e-07 3.1882e-03 9.9681e-01
42074.51 4.7790e-07 2.3960e-03 9.9760e-01
43252.44 2.6996e-07 1.8018e-03 9.9820e-01
44454.05 1.0934e-07 1.3561e-03 9.9864e-01
45683.04 7.0426e-09 1.0186e-03 9.9898e-01
46941.68 3.9437e-09 7.6549e-04 9.9923e-01
