#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
16691.99 1.03e-08 1.00e+00 7.80e-08 2.50e-24 1.30e-36 
16788.59 1.04e-08 1.00e+00 2.16e-08 6.78e-26 1.69e-36 
16888.37 1.08e-08 1.00e+00 1.24e-08 2.46e-26 2.21e-36 
16998.79 1.16e-08 1.00e+00 4.26e-09 1.85e-27 3.02e-36 
17146.37 1.19e-08 1.00e+00 1.41e-09 1.13e-28 4.43e-36 
17415.23 1.29e-08 1.00e+00 1.91e-10 1.48e-30 7.76e-36 
17888.12 1.51e-08 1.00e+00 5.65e-12 1.07e-30 2.11e-35 
18532.37 1.87e-08 1.00e+00 1.46e-13 1.29e-30 5.62e-35 
19260.76 1.96e-08 1.00e+00 2.31e-15 1.58e-30 1.13e-34 
20034.10 1.83e-08 1.00e+00 2.81e-17 7.49e-32 1.31e-34 
20838.00 1.76e-08 1.00e+00 2.63e-18 3.21e-31 8.93e-35 
21647.97 2.22e-08 1.00e+00 5.86e-20 1.11e-31 5.77e-35 
22447.94 2.53e-08 1.00e+00 1.15e-21 8.20e-35 5.59e-35 
23245.88 2.30e-08 1.00e+00 1.31e-22 1.02e-34 6.99e-35 
24052.47 2.84e-08 1.00e+00 3.48e-22 8.48e-30 9.64e-35 
24867.72 2.75e-08 1.00e+00 4.17e-23 6.58e-30 1.37e-34 
25698.86 2.58e-08 1.00e+00 2.25e-25 2.85e-34 1.99e-34 
26587.16 2.30e-08 1.00e+00 3.86e-26 4.41e-34 3.10e-34 
27637.54 2.24e-08 1.00e+00 8.36e-27 7.72e-34 5.46e-34 
28986.97 1.67e-08 1.00e+00 5.67e-27 1.69e-33 1.21e-33 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 2.73e-17 1.41e-09 1.23e-03 5.50e-01 4.49e-01 
999.11 1.68e-19 8.73e-12 3.37e-05 1.26e-01 8.74e-01 
1267.34 3.04e-21 1.68e-13 1.70e-06 2.70e-02 9.73e-01 
1514.05 1.81e-22 1.01e-14 1.99e-07 8.74e-03 9.91e-01 
1808.80 1.39e-23 8.36e-16 2.94e-08 3.13e-03 9.97e-01 
1919.29 2.24e-24 1.28e-16 6.66e-09 1.31e-03 9.99e-01 
2160.92 2.45e-25 1.97e-17 1.49e-09 5.78e-04 9.99e-01 
2292.92 4.15e-26 3.09e-18 3.38e-10 2.11e-04 1.00e+00 
2432.98 1.55e-26 1.43e-18 1.83e-10 1.55e-04 1.00e+00 
2581.60 7.54e-27 8.87e-19 1.23e-10 1.29e-04 1.00e+00 
2739.29 4.84e-27 6.23e-19 9.30e-11 1.13e-04 1.00e+00 
2906.62 3.15e-27 4.47e-19 7.21e-11 1.00e-04 1.00e+00 
3084.17 2.06e-27 3.57e-19 6.00e-11 9.26e-05 1.00e+00 
3272.56 1.47e-27 2.88e-19 5.13e-11 8.60e-05 1.00e+00 
3472.46 1.17e-27 2.61e-19 4.84e-11 8.39e-05 1.00e+00 
3684.57 1.02e-27 2.55e-19 4.83e-11 8.35e-05 1.00e+00 
3909.64 7.47e-28 2.18e-19 4.39e-11 7.84e-05 1.00e+00 
4148.46 7.72e-28 2.42e-19 4.83e-11 8.20e-05 1.00e+00 
4401.86 1.31e-27 4.01e-19 7.10e-11 1.01e-04 1.00e+00 
4670.75 2.12e-27 6.08e-19 1.01e-10 1.24e-04 1.00e+00 
4956.05 2.14e-27 6.80e-19 1.14e-10 1.35e-04 1.00e+00 
5258.79 1.86e-27 6.74e-19 1.17e-10 1.39e-04 1.00e+00 
5580.02 2.33e-27 8.47e-19 1.48e-10 1.61e-04 1.00e+00 
5920.87 2.89e-27 1.12e-18 1.88e-10 1.85e-04 1.00e+00 
6282.54 3.92e-27 1.62e-18 2.54e-10 2.22e-04 1.00e+00 
6666.30 6.41e-27 2.62e-18 3.81e-10 2.79e-04 1.00e+00 
7073.50 1.19e-26 4.83e-18 6.26e-10 3.61e-04 1.00e+00 
7505.58 2.30e-26 9.83e-18 1.09e-09 4.82e-04 1.00e+00 
7964.05 6.89e-26 3.01e-17 2.62e-09 7.78e-04 9.99e-01 
8450.53 4.59e-25 1.92e-16 1.12e-08 1.85e-03 9.98e-01 
8966.72 3.32e-24 1.33e-15 4.98e-08 4.20e-03 9.96e-01 
9514.44 5.95e-23 2.23e-14 4.22e-07 1.34e-02 9.87e-01 
10095.62 4.37e-21 1.46e-12 9.99e-06 7.50e-02 9.25e-01 
