#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7 s8
6.313735e+04 1.000000e+00 3.895028e-24 1.354972e-112 2.555249e-259 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.457821e+04 1.000000e+00 4.639376e-24 1.912281e-112 4.269006e-259 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.596028e+04 1.000000e+00 5.427807e-24 2.622995e-112 6.871658e-259 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.725801e+04 1.000000e+00 6.294964e-24 3.528777e-112 1.071942e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.844609e+04 1.000000e+00 8.181818e-24 5.945455e-112 2.339394e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.926341e+04 1.000000e+00 8.486842e-24 6.453947e-112 2.651316e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.964660e+04 1.000000e+00 8.811189e-24 6.860140e-112 2.902098e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.983908e+04 1.000000e+00 8.920863e-24 7.057554e-112 3.028777e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.993554e+04 1.000000e+00 9.037037e-24 7.266667e-112 3.162963e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.998302e+04 1.000000e+00 1.077406e-23 1.026151e-111 5.313808e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.999912e+04 1.000000e+00 1.100220e-23 1.080396e-111 5.737885e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
#
#TIME: 2.112455e+00 
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7 s8
4.242332e+02 3.487019e-27 1.570920e-19 1.141206e-12 4.790248e-07 6.727481e-03 9.932720e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.515108e+02 2.393363e-26 6.013868e-19 2.610941e-12 7.388964e-07 7.841527e-03 9.921577e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.638199e+02 5.769877e-27 1.878303e-19 1.069621e-12 4.015295e-07 5.736135e-03 9.942635e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.922215e+02 3.263621e-27 1.216678e-19 7.858800e-13 3.315839e-07 5.247903e-03 9.947518e-01 0.000000e+00 0.000000e+00 0.000000e+00 
9.416122e+02 1.580614e-27 7.214766e-20 5.589370e-13 2.736635e-07 4.859601e-03 9.951401e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.002576e+03 3.371969e-27 1.442814e-19 1.016454e-12 4.279807e-07 6.241385e-03 9.937582e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.065938e+03 3.004758e-27 1.294482e-19 9.257902e-13 3.979274e-07 5.993273e-03 9.940063e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.133306e+03 2.842662e-27 1.229654e-19 8.852860e-13 3.849776e-07 5.880249e-03 9.941194e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.204932e+03 8.346275e-28 3.906433e-20 3.216140e-13 1.772799e-07 3.780925e-03 9.962189e-01 0.000000e+00 0.000000e+00 0.000000e+00 
