#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    1.209768E+04   4.7328E-001   5.2672E-001   9.6656E-013   1.7697E-036   1.8123E-065
    1.216841E+04   6.0638E-001   3.9362E-001   1.1840E-013   1.1033E-038   2.6338E-066
    1.223949E+04   7.3536E-001   2.6464E-001   1.1515E-014   4.5064E-041   3.1280E-067
    1.231406E+04   8.3438E-001   1.6562E-001   1.0630E-015   1.8251E-043   3.4869E-068
    1.239842E+04   8.9363E-001   1.0637E-001   1.3411E-016   1.6212E-045   5.0475E-069
    1.256481E+04   9.3278E-001   6.7216E-002   1.5652E-017   1.1745E-047   6.6378E-070
    1.321135E+04   8.8411E-001   1.1589E-001   6.1163E-017   1.2737E-046   2.6120E-069
    1.378971E+04   7.8432E-001   2.1568E-001   5.2847E-016   1.0637E-044   2.0905E-068
    1.426236E+04   7.7236E-001   2.2764E-001   4.2727E-016   4.9356E-045   1.8251E-068
    1.471893E+04   8.3373E-001   1.6627E-001   6.6939E-017   6.1909E-047   3.4690E-069
    1.520339E+04   9.0651E-001   9.3494E-002   4.7945E-018   5.8714E-049   3.0885E-070
    1.569984E+04   9.6399E-001   3.6015E-002   1.0255E-019   6.6852E-051   8.1837E-072
    1.625603E+04   9.8871E-001   1.1288E-002   8.6192E-022   1.3247E-053   7.9560E-074
    1.692188E+04   9.9689E-001   3.1055E-003   6.4228E-024   4.9313E-054   8.1358E-076
    1.755155E+04   9.9884E-001   1.1604E-003   1.2259E-025   2.7452E-054   2.3436E-077
    1.815678E+04   9.9937E-001   6.2640E-004   7.2396E-027   2.0163E-054   1.9061E-078
    1.877630E+04   9.9962E-001   3.7986E-004   8.0442E-028   1.6228E-054   2.8495E-079
    1.943029E+04   9.9975E-001   2.4553E-004   2.2274E-028   1.3875E-054   1.0571E-079
    2.010428E+04   9.9974E-001   2.6385E-004   4.1439E-028   1.3603E-054   1.8105E-079
    2.090850E+04   9.9969E-001   3.0905E-004   1.6220E-027   1.3799E-054   6.1606E-079
    2.182676E+04   9.9970E-001   2.9953E-004   3.3416E-027   1.3456E-054   1.2795E-078
    2.283367E+04   9.9959E-001   4.1279E-004   1.3142E-026   1.4628E-054   3.9799E-078
    2.394324E+04   9.9948E-001   5.2317E-004   3.0074E-026   1.5935E-054   7.8477E-078
    2.516734E+04   9.9920E-001   7.9980E-004   7.6396E-026   1.9220E-054   1.5803E-077
    2.638649E+04   9.9917E-001   8.2825E-004   8.6364E-026   1.9672E-054   1.7696E-077
    2.758311E+04   9.9822E-001   1.7797E-003   3.2825E-025   3.0481E-054   4.8722E-077
    2.884269E+04   9.9702E-001   2.9764E-003   7.6310E-025   4.2886E-054   9.5595E-077
    3.014497E+04   9.9439E-001   5.6105E-003   2.2272E-024   6.7765E-054   2.3460E-076
    3.148085E+04   9.9104E-001   8.9634E-003   5.0084E-024   9.7349E-054   4.7567E-076
    3.276289E+04   9.8876E-001   1.1239E-002   7.6339E-024   1.1682E-053   6.9592E-076
    3.391810E+04   9.8608E-001   1.3918E-002   1.1832E-023   1.3896E-053   1.0385E-075
    3.495083E+04   9.8129E-001   1.8708E-002   2.3123E-023   1.7682E-053   1.9265E-075
    3.592850E+04   9.7500E-001   2.4997E-002   4.9792E-023   2.2434E-053   3.9493E-075
    3.688885E+04   9.6880E-001   3.1202E-002   1.0529E-022   2.6916E-053   8.0412E-075
    3.786912E+04   9.6409E-001   3.5908E-002   2.0653E-022   3.0191E-053   1.5373E-074
