#NTIMES: 50
#NSTAGES 2
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 115
#vel_mid[km/s] mg0 mg1
42074.51 3.2783e-07 1.0000e+00
43252.44 3.0511e-07 1.0000e+00
44454.05 2.1399e-07 1.0000e+00
45683.04 1.6440e-07 1.0000e+00
46941.68 1.5616e-07 1.0000e+00
48230.81 9.0085e-08 1.0000e+00
49550.29 6.0448e-08 1.0000e+00
50899.37 4.5100e-08 1.0000e+00
52276.86 3.9946e-08 1.0000e+00
53681.16 3.2072e-08 1.0000e+00
55110.21 2.2171e-08 1.0000e+00
56561.17 1.8024e-08 1.0000e+00
58030.00 1.6080e-08 1.0000e+00
59510.42 1.2953e-08 1.0000e+00
60993.45 1.2227e-08 1.0000e+00
62466.44 1.1609e-08 1.0000e+00
63912.69 9.4777e-09 1.0000e+00
65311.62 7.9122e-09 1.0000e+00
66639.26 1.8084e-08 1.0000e+00
67870.77 1.4948e-08 1.0000e+00
68864.47 1.1139e-08 1.0000e+00
69459.55 9.1092e-09 1.0000e+00
69744.99 1.4342e-08 1.0000e+00
69888.26 1.5280e-08 1.0000e+00
69959.62 1.4591e-08 1.0000e+00
69991.15 1.4422e-08 1.0000e+00
69999.53 1.4648e-08 1.0000e+00
#TIME: 207.87
#NVEL 115
#vel_mid[km/s] mg0 mg1
425.78 3.1433e-02 9.6857e-01
857.79 8.4704e-02 9.1530e-01
878.44 4.1053e-02 9.5895e-01
917.72 2.4386e-02 9.7561e-01
973.04 4.3847e-02 9.5615e-01
1034.98 1.2051e-02 9.8795e-01
1099.97 9.5018e-03 9.9050e-01
1169.04 1.8993e-02 9.8101e-01
