#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    4.716788E+03   1.0000E-099   2.5552E-018   1.1299E-011   2.0051E-005   9.9998E-001
    5.012959E+03   1.0000E-099   1.7952E-018   8.8053E-012   1.7679E-005   9.9998E-001
    5.327727E+03   1.0000E-099   1.2363E-018   6.7519E-012   1.5461E-005   9.9998E-001
    5.662260E+03   1.0000E-099   1.0125E-018   5.9285E-012   1.4491E-005   9.9999E-001
    6.017798E+03   1.0000E-099   9.5432E-019   5.7360E-012   1.4261E-005   9.9999E-001
    6.395661E+03   1.0000E-099   1.1610E-018   6.7471E-012   1.5511E-005   9.9998E-001
    6.797251E+03   1.0000E-099   1.6265E-018   8.9099E-012   1.7939E-005   9.9998E-001
    7.224056E+03   1.0000E-099   2.5231E-018   1.2618E-011   2.1528E-005   9.9998E-001
    7.677661E+03   1.0000E-099   4.3751E-018   1.9652E-011   2.7239E-005   9.9997E-001
    8.159748E+03   1.0000E-099   9.6997E-018   3.6824E-011   3.8054E-005   9.9996E-001
    8.672106E+03   1.0000E-099   5.2027E-017   1.4366E-010   7.9729E-005   9.9992E-001
    9.216636E+03   1.0000E-099   5.2166E-015   5.8592E-009   6.0913E-004   9.9939E-001
    9.793140E+03   1.0000E-099   8.0635E-011   1.4346E-005   4.6728E-002   9.5326E-001
    1.026683E+04   1.0000E-099   1.2417E-006   1.8557E-002   9.1229E-001   6.9153E-002
    1.070804E+04   1.0000E-099   1.6015E-003   7.9820E-001   2.0019E-001   1.1677E-005
    1.120152E+04   1.0000E-099   6.5828E-001   3.4172E-001   2.9070E-006   1.5165E-016
    1.159423E+04   1.0000E-099   9.9438E-001   5.6151E-003   6.9160E-011   6.0206E-025
    1.180243E+04   1.0000E-099   9.9840E-001   1.6014E-003   3.5730E-012   3.4747E-027
    1.192916E+04   1.0000E-099   9.9965E-001   3.4833E-004   7.5019E-014   2.9419E-030
    1.202084E+04   1.0000E-099   9.9995E-001   5.0227E-005   4.9927E-016   2.6474E-034
    1.209768E+04   1.0000E-099   9.9999E-001   1.0500E-005   8.3913E-018   1.2747E-037
    1.216841E+04   1.0000E-099   1.0000E+000   3.4867E-006   4.6812E-019   5.7167E-040
    1.223949E+04   1.0000E-099   1.0000E+000   1.0630E-006   2.1190E-020   1.7630E-042
    1.231406E+04   1.0000E-099   1.0000E+000   3.2552E-007   9.8209E-022   5.7632E-045
    1.239842E+04   1.0000E-099   1.0000E+000   1.1852E-007   7.1779E-023   4.4343E-047
    1.256481E+04   1.0000E-099   1.0000E+000   4.2159E-008   4.8271E-024   2.8397E-049
    1.321135E+04   1.0000E-099   1.0000E+000   8.4610E-008   2.1860E-023   3.2940E-048
    1.378971E+04   1.0000E-099   1.0000E+000   2.5330E-007   2.9917E-022   3.2620E-046
    1.426236E+04   1.0000E-099   1.0000E+000   2.3350E-007   2.1270E-022   1.4763E-046
    1.471893E+04   1.0000E-099   1.0000E+000   9.4363E-008   1.8863E-023   1.4911E-048
    1.520339E+04   1.0000E-099   1.0000E+000   2.5942E-008   6.7928E-025   4.1335E-051
    1.569984E+04   1.0000E-099   1.0000E+000   3.9673E-009   6.0122E-027   8.0314E-054
    1.625603E+04   1.0000E-099   1.0000E+000   4.0401E-010   1.7090E-029   9.5338E-059
    1.692188E+04   1.0000E-099   1.0000E+000   3.8216E-011   4.6349E-032   2.6278E-062
    1.755155E+04   1.0000E-099   1.0000E+000   5.5071E-012   3.7033E-034   4.5387E-063
    1.815678E+04   1.0000E-099   1.0000E+000   1.3644E-012   1.1078E-035   1.5495E-063
    1.877630E+04   1.0000E-099   1.0000E+000   4.2234E-013   6.7991E-037   6.4260E-064
    1.943029E+04   1.0000E-099   1.0000E+000   1.5453E-013   1.5857E-037   3.1117E-064
    2.010428E+04   1.0000E-099   1.0000E+000   1.1461E-013   2.9060E-037   2.1070E-064
    2.090850E+04   1.0000E-099   1.0000E+000   9.8083E-014   1.1485E-036   1.5624E-064
    2.182676E+04   1.0000E-099   1.0000E+000   6.8562E-014   2.1654E-036   1.0957E-064
    2.283367E+04   1.0000E-099   1.0000E+000   7.7294E-014   6.7723E-036   9.7766E-065
