#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    2.854534E+03   1.0000E-099   1.0000E-099   1.4404E-008   1.0000E+000
    3.034942E+03   1.0000E-099   1.0000E-099   1.5108E-008   1.0000E+000
    3.226752E+03   1.0000E-099   1.0000E-099   1.8703E-008   1.0000E+000
    3.430685E+03   1.0000E-099   1.0000E-099   2.6857E-008   1.0000E+000
    3.647506E+03   1.0000E-099   1.0000E-099   5.4371E-008   1.0000E+000
    3.878031E+03   1.0000E-099   1.0000E-099   8.9079E-008   1.0000E+000
    4.123125E+03   1.0000E-099   1.0000E-099   1.8609E-007   1.0000E+000
    4.383709E+03   1.0000E-099   1.0000E-099   4.2356E-007   1.0000E+000
    4.660762E+03   1.0000E-099   1.0000E-099   5.0518E-007   1.0000E+000
    4.955325E+03   1.0000E-099   1.0000E-099   4.6683E-007   1.0000E+000
    5.268505E+03   1.0000E-099   1.0000E-099   3.9878E-007   1.0000E+000
    5.601477E+03   1.0000E-099   1.0000E-099   3.7053E-007   1.0000E+000
    5.955494E+03   1.0000E-099   1.0000E-099   3.6561E-007   1.0000E+000
    6.331885E+03   1.0000E-099   1.0000E-099   4.1202E-007   1.0000E+000
    6.732064E+03   1.0000E-099   1.0000E-099   5.1342E-007   1.0000E+000
    7.157534E+03   1.0000E-099   1.0000E-099   6.6982E-007   1.0000E+000
    7.609895E+03   1.0000E-099   1.0000E-099   9.3529E-007   1.0000E+000
    8.090845E+03   1.0000E-099   1.0000E-099   1.4534E-006   1.0000E+000
    8.602191E+03   1.0000E-099   1.0000E-099   3.5855E-006   1.0000E+000
    9.145855E+03   1.0000E-099   1.0000E-099   3.1915E-005   9.9997E-001
    9.716757E+03   1.0000E-099   1.0000E-099   2.4720E-003   9.9753E-001
    1.017136E+04   1.0000E-099   1.0000E-099   3.4379E-001   6.5621E-001
    1.058976E+04   1.0000E-099   1.0000E-099   9.9771E-001   2.2902E-003
    1.103681E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0348E-008
    1.143091E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.2781E-013
    1.169743E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.0401E-015
    1.185375E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.2199E-016
    1.195751E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.1663E-017
