#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] s0 s1 s2 s3 s4 
17415.23 8.64e-05 1.00e+00 2.65e-06 7.89e-20 3.51e-39 
17888.12 2.82e-04 1.00e+00 2.03e-07 1.13e-22 4.90e-39 
18532.37 8.62e-04 9.99e-01 1.76e-08 8.89e-26 6.24e-39 
19260.76 2.59e-03 9.97e-01 8.47e-10 4.03e-29 8.06e-39 
20034.10 2.49e-03 9.98e-01 8.68e-11 9.87e-32 1.11e-38 
20838.00 9.93e-03 9.90e-01 1.11e-11 1.55e-34 1.55e-38 
21647.97 1.99e-02 9.80e-01 1.62e-12 1.50e-35 2.07e-38 
22447.94 3.75e-02 9.63e-01 2.86e-13 5.71e-35 3.06e-38 
23245.88 1.23e-02 9.88e-01 7.68e-14 6.32e-35 4.85e-38 
24052.47 2.16e-02 9.78e-01 1.70e-14 1.45e-35 7.85e-38 
24867.72 1.71e-01 8.29e-01 2.61e-15 3.17e-37 1.29e-37 
25698.86 1.16e-01 8.84e-01 3.86e-16 2.53e-36 2.20e-37 
26587.16 1.79e-01 8.21e-01 1.89e-16 5.60e-34 4.16e-37 
27637.54 3.55e-02 9.64e-01 2.18e-16 2.25e-36 9.30e-37 
28986.97 4.40e-01 5.60e-01 3.13e-18 6.80e-36 2.84e-36 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] s0 s1 s2 s3 s4 
440.10 3.37e-19 1.50e-11 3.78e-06 1.97e-02 9.80e-01 
999.11 6.38e-21 3.79e-13 2.03e-07 4.38e-03 9.96e-01 
1267.34 2.62e-22 1.95e-14 1.95e-08 1.19e-03 9.99e-01 
1514.05 3.01e-23 2.56e-15 3.94e-09 4.94e-04 1.00e+00 
1808.80 4.06e-24 4.09e-16 9.42e-10 2.27e-04 1.00e+00 
1919.29 9.41e-25 1.03e-16 3.05e-10 1.14e-04 1.00e+00 
2160.92 1.94e-25 2.41e-17 9.87e-11 6.05e-05 1.00e+00 
2292.92 4.00e-26 5.21e-18 2.92e-11 2.76e-05 1.00e+00 
2432.98 2.06e-26 2.91e-18 1.80e-11 2.18e-05 1.00e+00 
2581.60 1.20e-26 1.83e-18 1.27e-11 1.83e-05 1.00e+00 
2739.29 9.83e-27 1.57e-18 1.06e-11 1.72e-05 1.00e+00 
2906.62 6.57e-27 1.11e-18 8.28e-12 1.52e-05 1.00e+00 
3084.17 4.43e-27 8.16e-19 6.69e-12 1.37e-05 1.00e+00 
3272.56 3.20e-27 6.40e-19 5.56e-12 1.27e-05 1.00e+00 
3472.46 2.46e-27 5.38e-19 4.93e-12 1.21e-05 1.00e+00 
3684.57 1.95e-27 4.66e-19 4.47e-12 1.17e-05 1.00e+00 
3909.64 1.29e-27 3.53e-19 3.68e-12 1.07e-05 1.00e+00 
4148.46 1.17e-27 3.41e-19 3.66e-12 1.07e-05 1.00e+00 
4401.86 1.76e-27 4.93e-19 4.91e-12 1.26e-05 1.00e+00 
4670.75 2.38e-27 6.64e-19 6.35e-12 1.46e-05 1.00e+00 
4956.05 2.20e-27 6.77e-19 6.66e-12 1.53e-05 1.00e+00 
5258.79 1.72e-27 5.86e-19 6.31e-12 1.51e-05 1.00e+00 
5580.02 1.86e-27 6.71e-19 7.31e-12 1.66e-05 1.00e+00 
5920.87 2.10e-27 8.03e-19 8.61e-12 1.84e-05 1.00e+00 
6282.54 2.33e-27 9.34e-19 1.02e-11 2.04e-05 1.00e+00 
6666.30 3.24e-27 1.34e-18 1.37e-11 2.44e-05 1.00e+00 
7073.50 4.67e-27 1.95e-18 1.88e-11 2.90e-05 1.00e+00 
7505.58 6.91e-27 3.04e-18 2.72e-11 3.60e-05 1.00e+00 
7964.05 1.45e-26 6.64e-18 5.24e-11 5.31e-05 1.00e+00 
8450.53 5.23e-26 2.34e-17 1.47e-10 9.71e-05 1.00e+00 
8966.72 2.18e-25 9.48e-17 4.50e-10 1.82e-04 1.00e+00 
9514.44 1.78e-24 7.19e-16 2.24e-09 4.41e-04 1.00e+00 
10095.62 5.27e-23 1.83e-14 2.90e-08 1.88e-03 9.98e-01 
10712.30 4.77e-21 1.34e-12 9.05e-07 1.36e-02 9.86e-01 
11366.65 1.66e-18 3.49e-10 7.25e-05 1.59e-01 8.41e-01 
12061.10 1.01e-15 1.40e-07 5.88e-03 8.82e-01 1.12e-01 
12793.43 2.75e-13 2.10e-05 1.31e-01 8.67e-01 1.45e-03 
13528.61 5.57e-11 1.70e-03 8.71e-01 1.27e-01 9.33e-07 
14194.74 1.67e-09 2.10e-02 9.76e-01 3.16e-03 1.39e-10 
14757.77 2.80e-08 1.50e-01 8.50e-01 8.60e-05 2.01e-14 
15240.48 2.45e-07 5.47e-01 4.53e-01 3.48e-06 2.49e-17 
15646.99 9.92e-07 8.79e-01 1.21e-01 4.85e-08 6.26e-21 
15960.30 3.36e-06 9.79e-01 2.12e-02 5.60e-10 1.93e-24 
16187.41 7.05e-06 9.96e-01 4.19e-03 1.57e-11 3.16e-27 
16354.17 1.30e-05 9.99e-01 1.45e-03 1.35e-12 2.85e-29 
16484.18 1.77e-05 1.00e+00 3.78e-04 3.53e-14 4.51e-32 
16593.12 2.16e-05 9.98e-01 2.05e-03 2.75e-13 1.08e-30 
16691.99 2.30e-05 1.00e+00 9.44e-05 6.13e-16 3.15e-35 
16788.59 3.20e-05 1.00e+00 6.40e-05 3.10e-16 6.54e-36 
16888.37 3.67e-05 1.00e+00 4.56e-05 1.30e-16 9.66e-37 
16998.79 4.08e-05 1.00e+00 1.81e-05 1.12e-17 1.87e-38 
17146.37 6.24e-05 1.00e+00 6.78e-06 7.28e-19 2.97e-39 
17415.23 1.12e-04 1.00e+00 2.02e-06 2.34e-20 3.73e-39 
17888.12 2.73e-04 1.00e+00 2.16e-07 1.61e-22 5.21e-39 
18532.37 1.02e-03 9.99e-01 1.43e-08 4.17e-26 6.64e-39 
19260.76 1.53e-03 9.98e-01 1.62e-09 1.43e-28 8.57e-39 
20034.10 7.22e-03 9.93e-01 1.72e-10 6.37e-31 1.18e-38 
20838.00 1.14e-02 9.89e-01 1.31e-11 3.41e-34 1.64e-38 
21647.97 1.78e-02 9.82e-01 1.87e-12 1.55e-35 2.20e-38 
22447.94 3.09e-02 9.69e-01 4.13e-13 3.92e-35 3.26e-38 
23245.88 5.40e-02 9.46e-01 7.01e-14 1.53e-35 5.16e-38 
24052.47 9.22e-02 9.08e-01 7.08e-15 2.07e-37 8.35e-38 
24867.72 1.29e-01 8.71e-01 2.26e-15 2.13e-35 1.37e-37 
25698.86 1.72e-01 8.28e-01 5.35e-16 5.74e-37 2.34e-37 
26587.16 2.54e-01 7.46e-01 2.60e-16 1.08e-36 4.42e-37 
27637.54 3.10e-01 6.90e-01 1.94e-17 2.39e-36 9.89e-37 
28986.97 3.78e-01 6.22e-01 3.01e-18 7.24e-36 3.02e-36 
#TIME: 4.49 
#NVEL: 67 
#vel_mid[km/s] s0 s1 s2 s3 s4 
440.10 2.59e-19 1.14e-11 3.01e-06 1.74e-02 9.83e-01 
999.11 4.23e-21 2.69e-13 1.64e-07 3.97e-03 9.96e-01 
1267.34 1.88e-22 1.49e-14 1.68e-08 1.12e-03 9.99e-01 
1514.05 2.38e-23 2.15e-15 3.62e-09 4.79e-04 1.00e+00 
