#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    1.216841E+04   1.0000E-099   9.9799E-001   2.0130E-003   1.5424E-012
    1.223949E+04   1.0000E-099   9.9919E-001   8.0943E-004   1.3602E-013
    1.231406E+04   1.0000E-099   9.9967E-001   3.2516E-004   1.2134E-014
    1.239842E+04   1.0000E-099   9.9985E-001   1.4897E-004   1.5446E-015
    1.256481E+04   1.0000E-099   9.9993E-001   6.7667E-005   1.8745E-016
    1.321135E+04   1.0000E-099   9.9987E-001   1.2982E-004   7.5998E-016
    1.378971E+04   1.0000E-099   9.9967E-001   3.2997E-004   6.9999E-015
    1.426236E+04   1.0000E-099   9.9967E-001   3.2612E-004   5.8741E-015
    1.471893E+04   1.0000E-099   9.9983E-001   1.6706E-004   9.2200E-016
    1.520339E+04   1.0000E-099   9.9994E-001   6.1378E-005   6.6922E-017
    1.569984E+04   1.0000E-099   9.9999E-001   1.3881E-005   1.5558E-018
    1.625603E+04   1.0000E-099   1.0000E+000   2.3307E-006   1.4974E-020
    1.692188E+04   1.0000E-099   1.0000E+000   3.5433E-007   1.2983E-022
    1.755155E+04   1.0000E-099   1.0000E+000   7.6940E-008   2.8785E-024
    1.815678E+04   1.0000E-099   1.0000E+000   2.6283E-008   1.9235E-025
    1.877630E+04   1.0000E-099   1.0000E+000   1.0596E-008   2.4576E-026
    1.943029E+04   1.0000E-099   1.0000E+000   4.6562E-009   8.2834E-027
    2.010428E+04   1.0000E-099   1.0000E+000   3.5364E-009   1.8935E-026
    2.090850E+04   1.0000E-099   1.0000E+000   2.8465E-009   7.6789E-026
    2.182676E+04   1.0000E-099   1.0000E+000   1.8615E-009   1.4353E-025
    2.283367E+04   1.0000E-099   1.0000E+000   1.7568E-009   4.9914E-025
    2.394324E+04   1.0000E-099   1.0000E+000   1.6628E-009   9.4850E-025
    2.516734E+04   1.0000E-099   1.0000E+000   2.1278E-009   1.9093E-024
    2.638649E+04   1.0000E-099   1.0000E+000   1.8358E-009   1.6061E-024
    2.758311E+04   1.0000E-099   1.0000E+000   3.8460E-009   4.2195E-024
    2.884269E+04   1.0000E-099   1.0000E+000   6.0960E-009   6.3118E-024
    3.014497E+04   1.0000E-099   1.0000E+000   1.0961E-008   1.1224E-023
    3.148085E+04   1.0000E-099   1.0000E+000   1.6169E-008   1.5117E-023
    3.276289E+04   1.0000E-099   1.0000E+000   1.7705E-008   1.3895E-023
    3.391810E+04   1.0000E-099   1.0000E+000   1.9245E-008   1.3085E-023
    3.495083E+04   1.0000E-099   1.0000E+000   2.4166E-008   1.5108E-023
    3.592850E+04   1.0000E-099   1.0000E+000   3.2082E-008   1.8441E-023
    3.688885E+04   1.0000E-099   1.0000E+000   4.1481E-008   2.1479E-023
    3.786912E+04   1.0000E-099   1.0000E+000   4.9371E-008   2.2706E-023
    3.888044E+04   1.0000E-099   1.0000E+000   5.1695E-008   2.1053E-023
    3.991994E+04   1.0000E-099   1.0000E+000   4.9437E-008   1.8132E-023
    4.098383E+04   1.0000E-099   1.0000E+000   4.4187E-008   1.4917E-023
    4.207443E+04   1.0000E-099   1.0000E+000   3.7172E-008   1.1757E-023
    4.319619E+04   1.0000E-099   1.0000E+000   2.9817E-008   8.9579E-024
