#NTIMES:     67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           na0           na1
    1.185375E+04    3.9852E-05    9.9996E-01
    1.195751E+04    3.9152E-05    9.9996E-01
    1.203767E+04    3.4562E-05    9.9997E-01
    1.210835E+04    3.0399E-05    9.9997E-01
    1.217533E+04    2.7667E-05    9.9997E-01
    1.224092E+04    2.6091E-05    9.9997E-01
    1.231061E+04    2.5162E-05    9.9997E-01
    1.238832E+04    2.4553E-05    9.9998E-01
    1.249177E+04    2.3913E-05    9.9998E-01
    1.273320E+04    2.2191E-05    9.9998E-01
    1.314431E+04    1.9477E-05    9.9998E-01
    1.356973E+04    1.7707E-05    9.9998E-01
    1.397745E+04    1.7675E-05    9.9998E-01
    1.437971E+04    1.9251E-05    9.9998E-01
    1.481384E+04    2.3328E-05    9.9998E-01
    1.527443E+04    3.2282E-05    9.9997E-01
    1.573281E+04    4.2634E-05    9.9996E-01
    1.619433E+04    5.0652E-05    9.9995E-01
    1.667669E+04    6.3174E-05    9.9994E-01
    1.717287E+04    7.8018E-05    9.9992E-01
    1.768426E+04    8.3841E-05    9.9992E-01
    1.825695E+04    8.0907E-05    9.9992E-01
    1.899553E+04    8.7678E-05    9.9991E-01
    1.999671E+04    1.0349E-04    9.9990E-01
    2.125276E+04    1.2912E-04    9.9987E-01
    2.259595E+04    1.7984E-04    9.9982E-01
    2.402403E+04    2.2247E-04    9.9978E-01
    2.554236E+04    3.6138E-04    9.9964E-01
    2.715756E+04    5.3650E-04    9.9946E-01
    2.877497E+04    4.9083E-04    9.9951E-01
    3.035869E+04    4.6247E-04    9.9954E-01
    3.187471E+04    4.8119E-04    9.9952E-01
    3.324789E+04    5.5246E-04    9.9945E-01
    3.445101E+04    6.0430E-04    9.9940E-01
    3.554577E+04    6.0217E-04    9.9940E-01
    3.658462E+04    5.5687E-04    9.9944E-01
    3.762248E+04    4.9274E-04    9.9951E-01
    3.867668E+04    4.3239E-04    9.9957E-01
    3.975213E+04    3.7655E-04    9.9962E-01
    4.084453E+04    3.2446E-04    9.9968E-01
    4.195824E+04    2.7761E-04    9.9972E-01
    4.309818E+04    2.3581E-04    9.9976E-01
    4.426979E+04    1.9786E-04    9.9980E-01
    4.547749E+04    1.6325E-04    9.9984E-01
    4.672340E+04    1.3223E-04    9.9987E-01
    4.800748E+04    1.0508E-04    9.9989E-01
    4.932825E+04    8.1838E-05    9.9992E-01
    5.068335E+04    6.2620E-05    9.9994E-01
    5.207013E+04    4.7171E-05    9.9995E-01
    5.348629E+04    3.5203E-05    9.9996E-01
    5.492827E+04    2.6318E-05    9.9997E-01
    5.639439E+04    1.9868E-05    9.9998E-01
    5.787868E+04    1.5064E-05    9.9998E-01
    5.937786E+04    1.1313E-05    9.9999E-01
    6.087934E+04    8.3584E-06    9.9999E-01
    6.237552E+04    6.1375E-06    9.9999E-01
    6.384322E+04    4.6017E-06    1.0000E+00
    6.526864E+04    3.5627E-06    1.0000E+00
    6.661842E+04    2.8355E-06    1.0000E+00
    6.787517E+04    2.2917E-06    1.0000E+00
    6.900452E+04    1.8827E-06    1.0000E+00
    6.951650E+04    1.7159E-06    1.0000E+00
    6.977391E+04    1.6367E-06    1.0000E+00
    6.990298E+04    1.5963E-06    1.0000E+00
    6.996760E+04    1.5751E-06    1.0000E+00
    6.999832E+04    1.5641E-06    1.0000E+00
    6.999993E+04    1.5630E-06    1.0000E+00
#TIME:     0.806
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.484664E+02    3.8043E-06    1.0000E+00
    8.540175E+02    3.8043E-06    1.0000E+00
    8.708899E+02    3.8043E-06    1.0000E+00
    9.056412E+02    3.8044E-06    1.0000E+00
    9.639886E+02    3.8044E-06    1.0000E+00
    1.024912E+03    3.8046E-06    1.0000E+00
    1.089687E+03    3.8014E-06    1.0000E+00
    1.158556E+03    3.7891E-06    1.0000E+00
    1.231778E+03    3.7465E-06    1.0000E+00
    1.309627E+03    3.6252E-06    1.0000E+00
    1.392396E+03    3.3614E-06    1.0000E+00
    1.480396E+03    3.1538E-06    1.0000E+00
    1.573958E+03    3.0191E-06    1.0000E+00
    1.673433E+03    2.8430E-06    1.0000E+00
    1.779195E+03    2.6267E-06    1.0000E+00
    1.891642E+03    2.3984E-06    1.0000E+00
