#NTIMES:    67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    3.686142E+04   1.0000E-099   9.9999E-001   7.5395E-006   1.6152E-025   1.5404E-056   2.4034E-077   2.8982E-108   4.2639E-129
    3.781660E+04   1.0000E-099   9.9999E-001   8.3362E-006   1.8107E-025   1.7041E-056   2.6814E-077   3.1949E-108   4.7396E-129
    3.881204E+04   1.0000E-099   9.9999E-001   8.3481E-006   1.8023E-025   1.7156E-056   2.6737E-077   3.2255E-108   4.7412E-129
    3.984228E+04   1.0000E-099   9.9999E-001   7.8490E-006   1.6752E-025   1.6265E-056   2.4983E-077   3.0777E-108   4.4618E-129
    4.090108E+04   1.0000E-099   9.9999E-001   7.1394E-006   1.5069E-025   1.4942E-056   2.2626E-077   2.8507E-108   4.0775E-129
    4.198933E+04   1.0000E-099   9.9999E-001   6.3921E-006   1.3318E-025   1.3522E-056   2.0144E-077   2.6033E-108   3.6674E-129
    4.310952E+04   1.0000E-099   9.9999E-001   5.7061E-006   1.1683E-025   1.2206E-056   1.7811E-077   2.3749E-108   3.2798E-129
    4.426353E+04   1.0000E-099   9.9999E-001   5.1146E-006   1.0251E-025   1.1070E-056   1.5774E-077   2.1840E-108   2.9426E-129
    4.545322E+04   1.0000E-099   1.0000E+000   4.6257E-006   9.0982E-026   1.0135E-056   1.4164E-077   2.0369E-108   2.6789E-129
    4.667980E+04   1.0000E-099   1.0000E+000   4.2414E-006   8.2756E-026   9.4027E-057   1.3060E-077   1.9332E-108   2.5022E-129
    4.794258E+04   1.0000E-099   1.0000E+000   3.9518E-006   7.7397E-026   8.8520E-057   1.2400E-077   1.8672E-108   2.4023E-129
    4.924062E+04   1.0000E-099   1.0000E+000   3.7420E-006   7.4172E-026   8.4548E-057   1.2076E-077   1.8316E-108   2.3622E-129
    5.057272E+04   1.0000E-099   1.0000E+000   3.5963E-006   7.2545E-026   8.1810E-057   1.2010E-077   1.8196E-108   2.3723E-129
    5.193717E+04   1.0000E-099   1.0000E+000   3.4911E-006   7.1768E-026   7.9879E-057   1.2100E-077   1.8240E-108   2.4210E-129
    5.333235E+04   1.0000E-099   1.0000E+000   3.3939E-006   7.0729E-026   7.8162E-057   1.2192E-077   1.8359E-108   2.4890E-129
    5.475676E+04   1.0000E-099   1.0000E+000   3.2755E-006   6.8499E-026   7.6164E-057   1.2163E-077   1.8495E-108   2.5645E-129
    5.620758E+04   1.0000E-099   1.0000E+000   3.1184E-006   6.4627E-026   7.3637E-057   1.1958E-077   1.8654E-108   2.6490E-129
    5.768166E+04   1.0000E-099   1.0000E+000   2.9125E-006   5.9077E-026   7.0460E-057   1.1571E-077   1.8880E-108   2.7536E-129
    5.917412E+04   1.0000E-099   1.0000E+000   2.6752E-006   5.2578E-026   6.7139E-057   1.1119E-077   1.9397E-108   2.9187E-129
    6.067730E+04   1.0000E-099   1.0000E+000   2.4373E-006   4.6049E-026   6.4528E-057   1.0761E-077   2.0592E-108   3.2048E-129
    6.217708E+04   1.0000E-099   1.0000E+000   2.2098E-006   3.9861E-026   6.2991E-057   1.0547E-077   2.2795E-108   3.6605E-129
    6.366086E+04   1.0000E-099   1.0000E+000   2.0240E-006   3.4600E-026   6.3510E-057   1.0607E-077   2.6708E-108   4.3849E-129
    6.510379E+04   1.0000E-099   1.0000E+000   1.8495E-006   2.9862E-026   6.5177E-057   1.0795E-077   3.2431E-108   5.3932E-129
    6.648389E+04   1.0000E-099   1.0000E+000   1.7324E-006   2.6257E-026   6.9538E-057   1.1301E-077   4.1321E-108   6.8638E-129
    6.776932E+04   1.0000E-099   1.0000E+000   1.6045E-006   2.2848E-026   7.3841E-057   1.1725E-077   5.2412E-108   8.6359E-129
    6.895129E+04   1.0000E-099   1.0000E+000   1.4718E-006   1.9002E-026   7.7544E-057   1.1563E-077   6.4570E-108   1.0077E-128
    6.949055E+04   1.0000E-099   1.0000E+000   1.3114E-006   1.5010E-026   7.3743E-057   9.9157E-078   6.7689E-108   9.6532E-129
    6.976176E+04   1.0000E-099   1.0000E+000   1.1651E-006   1.1774E-026   6.7689E-057   8.1144E-078   6.4553E-108   8.2219E-129
    6.989776E+04   1.0000E-099   1.0000E+000   1.0259E-006   8.9930E-027   6.0623E-057   6.3389E-078   5.9129E-108   6.5816E-129
    6.996586E+04   1.0000E-099   1.0000E+000   9.1793E-007   7.0667E-027   5.4713E-057   5.0407E-078   5.4002E-108   5.3017E-129
    6.999823E+04   1.0000E-099   1.0000E+000   8.4060E-007   5.8261E-027   5.0351E-057   4.1853E-078   5.0048E-108   4.4363E-129
    6.999993E+04   1.0000E-099   1.0000E+000   8.3107E-007   5.6897E-027   4.9803E-057   4.0899E-078   4.9536E-108   4.3383E-129
#TIME:     0.605
