#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
1.091585E+04 1.000000E-99 1.000000E-99 1.001033E+04 1.264220E+04
1.096576E+04 1.000000E-99 1.000000E-99 9.935916E+03 1.243336E+04
1.101568E+04 1.000000E-99 1.000000E-99 9.850839E+03 1.223150E+04
1.106559E+04 1.000000E-99 1.000000E-99 9.772734E+03 1.205380E+04
1.111551E+04 1.000000E-99 1.000000E-99 9.690601E+03 1.187673E+04
1.116542E+04 1.000000E-99 1.000000E-99 9.606763E+03 1.169766E+04
1.121534E+04 1.000000E-99 1.000000E-99 9.529434E+03 1.153136E+04
1.126525E+04 1.000000E-99 1.000000E-99 9.452424E+03 1.135244E+04
1.131517E+04 1.000000E-99 1.000000E-99 9.381506E+03 1.118588E+04
1.136508E+04 1.000000E-99 1.000000E-99 9.306374E+03 1.103150E+04
1.141500E+04 1.000000E-99 1.000000E-99 9.225666E+03 1.087351E+04
1.146492E+04 1.000000E-99 1.000000E-99 9.149393E+03 1.072336E+04
1.151483E+04 1.000000E-99 1.000000E-99 9.072313E+03 1.057674E+04
1.156475E+04 1.000000E-99 1.000000E-99 8.997873E+03 1.043070E+04
1.161466E+04 1.000000E-99 1.000000E-99 8.918887E+03 1.029398E+04
1.166458E+04 1.000000E-99 1.000000E-99 8.842105E+03 1.015148E+04
1.171449E+04 1.000000E-99 1.000000E-99 8.767352E+03 1.002517E+04
1.176441E+04 1.000000E-99 1.000000E-99 8.694196E+03 9.893454E+03
1.181432E+04 1.000000E-99 1.000000E-99 8.616412E+03 9.774415E+03
1.186424E+04 1.000000E-99 1.000000E-99 8.540690E+03 9.654988E+03
1.191415E+04 1.000000E-99 1.000000E-99 8.463002E+03 9.543351E+03
1.196407E+04 1.000000E-99 1.000000E-99 8.387527E+03 9.428510E+03
1.201398E+04 1.000000E-99 1.000000E-99 8.320784E+03 9.327593E+03
1.206390E+04 1.000000E-99 1.000000E-99 8.249199E+03 9.226061E+03
1.211381E+04 1.000000E-99 1.000000E-99 8.174226E+03 9.133483E+03
1.216373E+04 1.000000E-99 1.000000E-99 8.111627E+03 9.039394E+03
1.221364E+04 1.000000E-99 1.000000E-99 8.056362E+03 8.958300E+03
1.226356E+04 1.000000E-99 1.000000E-99 8.005803E+03 8.898682E+03
1.231347E+04 1.000000E-99 1.000000E-99 7.967710E+03 8.856922E+03
1.236339E+04 1.000000E-99 1.000000E-99 7.945573E+03 8.825835E+03
1.241331E+04 1.000000E-99 1.000000E-99 7.936028E+03 8.802839E+03
1.246322E+04 1.000000E-99 1.000000E-99 7.927454E+03 8.782413E+03
1.251314E+04 1.000000E-99 1.000000E-99 7.919164E+03 8.779125E+03
1.256305E+04 1.000000E-99 1.000000E-99 7.912935E+03 8.756619E+03
1.261297E+04 1.000000E-99 1.000000E-99 7.908179E+03 8.743224E+03
1.266288E+04 1.000000E-99 1.000000E-99 7.899588E+03 8.740780E+03
1.271280E+04 1.000000E-99 1.000000E-99 7.893832E+03 8.730452E+03
1.276271E+04 1.000000E-99 1.000000E-99 7.890721E+03 8.722634E+03
1.281263E+04 1.000000E-99 1.000000E-99 7.888794E+03 8.709680E+03
1.286254E+04 1.000000E-99 1.000000E-99 7.881588E+03 8.708277E+03
1.291246E+04 1.000000E-99 1.000000E-99 7.879123E+03 8.700183E+03
1.296237E+04 1.000000E-99 1.000000E-99 7.876269E+03 8.689584E+03
1.301229E+04 1.000000E-99 1.000000E-99 7.870125E+03 8.682135E+03
1.306220E+04 1.000000E-99 1.000000E-99 7.865092E+03 8.676535E+03
1.311212E+04 1.000000E-99 1.000000E-99 7.862773E+03 8.667737E+03
1.316203E+04 1.000000E-99 1.000000E-99 7.861032E+03 8.658056E+03
1.321195E+04 1.000000E-99 1.000000E-99 7.858103E+03 8.652421E+03
1.326186E+04 1.000000E-99 1.000000E-99 7.856925E+03 8.643201E+03
1.331178E+04 1.000000E-99 1.000000E-99 7.853769E+03 8.621465E+03
1.336169E+04 1.000000E-99 1.000000E-99 7.851901E+03 8.610198E+03
1.341161E+04 1.000000E-99 1.000000E-99 7.849736E+03 8.601861E+03
1.346153E+04 1.000000E-99 1.000000E-99 7.846661E+03 8.601817E+03
1.351144E+04 1.000000E-99 1.000000E-99 7.844515E+03 8.593145E+03
1.356136E+04 1.000000E-99 1.000000E-99 7.838145E+03 8.592331E+03
1.361127E+04 1.000000E-99 1.000000E-99 7.831602E+03 8.583917E+03
1.366119E+04 1.000000E-99 1.000000E-99 7.825520E+03 8.568863E+03
1.371110E+04 1.000000E-99 1.000000E-99 7.818656E+03 8.560965E+03
1.376102E+04 1.000000E-99 1.000000E-99 7.815059E+03 8.557298E+03
1.381093E+04 1.000000E-99 1.000000E-99 7.814733E+03 8.560009E+03
1.386085E+04 1.000000E-99 1.000000E-99 7.813335E+03 8.557922E+03
1.391076E+04 1.000000E-99 1.000000E-99 7.810063E+03 8.549383E+03
1.396068E+04 1.000000E-99 1.000000E-99 7.808448E+03 8.535697E+03
1.401059E+04 1.000000E-99 1.000000E-99 7.805918E+03 8.531339E+03
1.406051E+04 1.000000E-99 1.000000E-99 7.801267E+03 8.530698E+03
1.411042E+04 1.000000E-99 1.000000E-99 7.796271E+03 8.523780E+03
1.416034E+04 1.000000E-99 1.000000E-99 7.795543E+03 8.507820E+03
1.421025E+04 1.000000E-99 1.000000E-99 7.799082E+03 8.504053E+03
1.426017E+04 1.000000E-99 1.000000E-99 7.794338E+03 8.503777E+03
1.431008E+04 1.000000E-99 1.000000E-99 7.792312E+03 8.493953E+03
1.436000E+04 1.000000E-99 1.000000E-99 7.785778E+03 8.489117E+03
1.440992E+04 1.000000E-99 1.000000E-99 7.781108E+03 8.475778E+03
1.445983E+04 1.000000E-99 1.000000E-99 7.774337E+03 8.471388E+03
1.450975E+04 1.000000E-99 1.000000E-99 7.770980E+03 8.475431E+03
1.455966E+04 1.000000E-99 1.000000E-99 7.766904E+03 8.473966E+03
1.460958E+04 1.000000E-99 1.000000E-99 7.768198E+03 8.469447E+03
1.465949E+04 1.000000E-99 1.000000E-99 7.767741E+03 8.468851E+03
