#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    4.376598E+03   1.0000E-099   3.4503E-005   5.4723E-001   4.5273E-001   1.1345E-006   1.0759E-018
    4.385210E+03   1.0000E-099   1.2284E-004   8.6613E-001   1.3374E-001   2.4196E-008   6.4988E-022
    4.392810E+03   1.0000E-099   3.2347E-004   9.7291E-001   2.6769E-002   3.3264E-010   2.7350E-025
    4.399573E+03   1.0000E-099   8.1799E-004   9.9456E-001   4.6211E-003   3.7406E-012   6.5592E-027
    4.405855E+03   1.0000E-099   2.2375E-003   9.9711E-001   6.5559E-004   2.6566E-014   9.0630E-028
    4.411826E+03   1.0000E-099   6.9491E-003   9.9298E-001   7.0020E-005   9.1881E-017   9.6602E-029
    4.417378E+03   1.0000E-099   2.2519E-002   9.7747E-001   6.4454E-006   2.1737E-019   9.1744E-030
    4.421974E+03   1.0000E-099   6.3821E-002   9.3618E-001   7.1759E-007   9.1080E-022   1.0481E-030
    4.425875E+03   1.0000E-099   1.5890E-001   8.4110E-001   8.5999E-008   4.0100E-023   1.2791E-031
    4.429253E+03   1.0000E-099   3.3391E-001   6.6609E-001   9.7485E-009   2.7581E-023   1.5029E-032
    4.432481E+03   1.0000E-099   5.7177E-001   4.2823E-001   8.6885E-010   1.8076E-023   1.4300E-033
    4.436033E+03   1.0000E-099   7.8906E-001   2.1094E-001   5.3215E-011   9.2902E-024   9.4787E-035
    4.439854E+03   1.0000E-099   9.0970E-001   9.0302E-002   3.1463E-012   4.0874E-024   5.9084E-036
    4.443627E+03   1.0000E-099   9.6059E-001   3.9406E-002   2.4142E-013   1.7905E-024   4.6281E-037
    4.447309E+03   1.0000E-099   9.8247E-001   1.7532E-002   2.1267E-014   7.8916E-025   4.0904E-038
    4.451157E+03   1.0000E-099   9.9251E-001   7.4937E-003   1.7247E-015   3.3180E-025   3.2996E-039
