#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.050893E+03   1.0000E-099   6.3426E-031   6.7401E-022   9.7185E-014   2.7584E-006   1.0000E+000
    1.085418E+03   1.0000E-099   6.3197E-031   6.7507E-022   9.7674E-014   2.7680E-006   1.0000E+000
    1.192830E+03   1.0000E-099   6.7775E-031   7.2569E-022   1.0427E-013   2.8725E-006   1.0000E+000
    1.310616E+03   1.0000E-099   7.5329E-031   8.0476E-022   1.1398E-013   3.0194E-006   1.0000E+000
    1.440032E+03   1.0000E-099   8.6050E-031   9.1443E-022   1.2701E-013   3.2080E-006   1.0000E+000
    1.582227E+03   1.0000E-099   1.0194E-030   1.0728E-021   1.4515E-013   3.4565E-006   1.0000E+000
    1.738464E+03   1.0000E-099   1.2716E-030   1.3163E-021   1.7182E-013   3.7974E-006   1.0000E+000
    1.910128E+03   1.0000E-099   1.7145E-030   1.7265E-021   2.1417E-013   4.2928E-006   1.0000E+000
    2.098743E+03   1.0000E-099   2.6024E-030   2.5052E-021   2.8853E-013   5.0649E-006   9.9999E-001
    2.305983E+03   1.0000E-099   4.7252E-030   4.2313E-021   4.3679E-013   6.3736E-006   9.9999E-001
    2.533686E+03   1.0000E-099   1.1359E-029   9.0760E-021   7.9444E-013   8.8861E-006   9.9999E-001
    2.784236E+03   1.0000E-099   4.2283E-029   2.8214E-020   1.9122E-012   1.4478E-005   9.9999E-001
    3.054040E+03   1.0000E-099   3.0958E-028   1.5621E-019   7.2419E-012   3.0509E-005   9.9997E-001
    3.277713E+03   1.0000E-099   3.1237E-027   1.1418E-018   3.3962E-011   7.2872E-005   9.9993E-001
    3.457358E+03   1.0000E-099   3.8398E-026   9.9180E-018   1.8300E-010   1.8931E-004   9.9981E-001
    3.600523E+03   1.0000E-099   5.2452E-025   9.4936E-017   1.0695E-009   5.1726E-004   9.9948E-001
    3.715668E+03   1.0000E-099   7.6327E-024   9.6631E-016   6.5906E-009   1.4610E-003   9.9854E-001
