#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
35875.00 9.1580e-07 3.6516e-03 3.6002e-01 6.3632e-01
36125.00 4.8007e-07 3.2246e-03 3.4342e-01 6.5335e-01
36375.00 2.5724e-07 2.8675e-03 3.2751e-01 6.6963e-01
36625.00 1.9846e-07 2.5538e-03 3.1223e-01 6.8521e-01
36875.00 1.4378e-07 2.2827e-03 2.9734e-01 7.0038e-01
37125.00 1.1078e-07 2.0333e-03 2.7988e-01 7.1809e-01
37375.00 7.8329e-08 1.8174e-03 2.6840e-01 7.2978e-01
37625.00 6.1623e-08 1.6296e-03 2.5511e-01 7.4326e-01
37875.00 1.1384e-07 3.1680e-03 2.4042e-01 7.5641e-01
38125.00 2.1351e-07 7.4276e-03 2.2054e-01 7.7203e-01
38375.00 1.8730e-07 7.0990e-03 2.1632e-01 7.7658e-01
38625.00 1.5165e-07 6.3957e-03 2.0448e-01 7.8912e-01
38875.00 1.4929e-07 5.5621e-03 1.9446e-01 7.9998e-01
39125.00 1.5933e-07 4.9125e-03 1.8415e-01 8.1094e-01
39375.00 1.7372e-07 4.4232e-03 1.7360e-01 8.2198e-01
39625.00 9.2583e-08 3.8290e-03 1.6459e-01 8.3158e-01
39875.00 7.9601e-08 3.4548e-03 1.5525e-01 8.4130e-01
40125.00 7.4484e-08 2.9824e-03 1.4691e-01 8.5010e-01
40375.00 6.7344e-08 2.6875e-03 1.3838e-01 8.5894e-01
#TIME: 202.03
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
125.00 1.8753e-04 6.5775e-01 3.3028e-01 1.1785e-02
375.00 1.4441e-04 6.6235e-01 3.2505e-01 1.2453e-02
625.00 1.3163e-04 6.5692e-01 3.2979e-01 1.3154e-02
875.00 1.2460e-04 6.2852e-01 3.5654e-01 1.4807e-02
1125.00 1.2882e-04 6.1535e-01 3.6838e-01 1.6143e-02
1375.00 1.2003e-04 5.8784e-01 3.9411e-01 1.7929e-02
1625.00 1.1088e-04 5.8150e-01 3.9943e-01 1.8953e-02
1875.00 1.1172e-04 5.8095e-01 3.9961e-01 1.9329e-02
2125.00 1.1911e-04 5.7702e-01 4.0334e-01 1.9518e-02
2375.00 1.2900e-04 6.0335e-01 3.7860e-01 1.7927e-02
2625.00 1.4796e-04 6.2786e-01 3.5587e-01 1.6129e-02
2875.00 1.9097e-04 6.6084e-01 3.2546e-01 1.3504e-02
3125.00 3.1173e-04 6.9448e-01 2.9421e-01 1.1004e-02
3375.00 7.3858e-04 7.3978e-01 2.5138e-01 8.1060e-03
3625.00 8.1315e-03 7.7811e-01 2.0824e-01 5.5146e-03
3875.00 4.2139e-02 7.8765e-01 1.6650e-01 3.7046e-03
