#NTIMES:     60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    1.610294E+04    8.7194E-03    9.9128E-01    7.6446E-08    1.1373E-22    1.6468E-29    1.7117E-44
    1.702212E+04    7.8950E-03    9.9210E-01    7.5575E-08    1.2038E-22    1.7244E-29    1.9203E-44
    1.793623E+04    6.9593E-03    9.9304E-01    7.7199E-08    1.2666E-22    1.8540E-29    2.1281E-44
    1.884515E+04    6.0257E-03    9.9397E-01    8.0897E-08    1.3257E-22    2.0339E-29    2.3338E-44
    1.975653E+04    5.2389E-03    9.9476E-01    8.4823E-08    1.3817E-22    2.2237E-29    2.5375E-44
    2.067033E+04    4.5599E-03    9.9544E-01    8.8220E-08    1.4351E-22    2.4034E-29    2.7402E-44
    2.158540E+04    4.0480E-03    9.9595E-01    8.9883E-08    1.4859E-22    2.5377E-29    2.9410E-44
    2.250115E+04    3.6124E-03    9.9639E-01    9.1445E-08    1.5343E-22    2.6690E-29    3.1401E-44
    2.341322E+04    3.2021E-03    9.9680E-01    9.3967E-08    1.5804E-22    2.8282E-29    3.3364E-44
    2.432621E+04    2.7986E-03    9.9720E-01    9.7884E-08    1.6243E-22    3.0310E-29    3.5305E-44
    2.524083E+04    2.3904E-03    9.9761E-01    1.0379E-07    1.6661E-22    3.2984E-29    3.7220E-44
    2.615666E+04    2.0124E-03    9.9799E-01    1.1116E-07    1.7055E-22    3.6166E-29    3.9094E-44
    2.707356E+04    1.6736E-03    9.9833E-01    1.1854E-07    1.7420E-22    3.9392E-29    4.0916E-44
    2.799150E+04    1.4001E-03    9.9860E-01    1.2364E-07    1.7745E-22    4.1854E-29    4.2647E-44
    2.891055E+04    1.1825E-03    9.9882E-01    1.2446E-07    1.8052E-22    4.2867E-29    4.4374E-44
    2.983087E+04    1.0214E-03    9.9898E-01    1.1984E-07    1.8339E-22    4.1949E-29    4.6083E-44
    3.075270E+04    9.0505E-04    9.9909E-01    1.1027E-07    1.8640E-22    3.9240E-29    4.7858E-44
    3.167645E+04    8.2084E-04    9.9918E-01    9.7658E-08    1.8971E-22    3.5352E-29    4.9706E-44
    3.260268E+04    7.6063E-04    9.9924E-01    8.3333E-08    1.9321E-22    3.0696E-29    5.1558E-44
    3.353223E+04    7.1400E-04    9.9929E-01    6.8547E-08    1.9681E-22    2.5681E-29    5.3399E-44
    3.446626E+04    6.6985E-04    9.9933E-01    5.5111E-08    2.0024E-22    2.0978E-29    5.5149E-44
    3.540638E+04    6.1165E-04    9.9939E-01    4.4198E-08    2.0358E-22    1.7076E-29    5.6845E-44
    3.635490E+04    5.4032E-04    9.9946E-01    3.5609E-08    2.0669E-22    1.3949E-29    5.8458E-44
    3.731507E+04    4.5672E-04    9.9954E-01    2.8977E-08    2.0959E-22    1.1499E-29    6.0000E-44
    3.829161E+04    3.9911E-04    9.9960E-01    2.2393E-08    2.1230E-22    8.9936E-30    6.1499E-44
    3.929136E+04    3.2799E-04    9.9967E-01    1.8630E-08    2.1492E-22    7.5708E-30    6.3020E-44
    3.968816E+04    3.0094E-04    9.9970E-01    1.8136E-08    2.2028E-22    7.3816E-30    6.4681E-44
    3.995269E+04    2.8113E-04    9.9972E-01    1.8026E-08    2.2510E-22    7.3358E-30    6.6062E-44
    4.012905E+04    2.8351E-04    9.9972E-01    1.7412E-08    2.2368E-22    7.0839E-30    6.5531E-44
