#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] temp[K] ne[/cm^3] s0 s1 s2 s3 s4 s5 s6 s7 s8
9.875013e+03 3.823294e+03 1.187617e+00 1.000000e+00 3.884615e-33 1.346154e-130 2.515385e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.012500e+04 5.497651e+03 1.137431e+00 1.000000e+00 4.067227e-33 1.470588e-130 2.873950e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.037500e+04 2.983744e+03 1.089372e+00 1.000000e+00 4.247706e-33 1.605505e-130 3.275229e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.062501e+04 2.570687e+03 1.043313e+00 1.000000e+00 4.440000e-33 1.750000e-130 3.730000e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.087502e+04 8.032952e+02 9.992260e-01 1.000000e+00 4.614549e-33 1.900109e-130 4.223670e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.112502e+04 2.714420e+03 9.569952e-01 1.000000e+00 4.816568e-33 2.071006e-130 4.804734e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.137501e+04 2.554409e+03 9.165820e-01 1.000000e+00 5.032258e-33 2.258065e-130 5.470968e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.162501e+04 8.075708e+02 8.778140e-01 1.000000e+00 5.246132e-33 2.461322e-130 6.230661e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.187501e+04 8.090604e+02 8.407177e-01 1.000000e+00 5.475460e-33 2.684049e-130 7.085890e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.212501e+04 8.105619e+02 8.052052e-01 1.000000e+00 5.719064e-33 2.926421e-130 8.076923e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.237501e+04 8.121132e+02 7.711795e-01 1.000000e+00 5.974499e-33 3.187614e-130 9.180328e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.262501e+04 8.136965e+02 7.385900e-01 1.000000e+00 6.242545e-33 3.479125e-130 1.045726e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.287501e+04 8.152713e+02 7.073771e-01 1.000000e+00 6.515152e-33 3.787879e-130 1.190476e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.312501e+04 8.168428e+02 6.774816e-01 1.000000e+00 6.808511e-33 4.137116e-130 1.356974e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.337501e+04 8.183973e+02 6.488511e-01 1.000000e+00 7.113402e-33 4.510309e-130 1.543814e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.362501e+04 8.199532e+02 6.214321e-01 1.000000e+00 7.415730e-33 4.915730e-130 1.758427e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.387500e+04 8.215510e+02 5.951705e-01 1.000000e+00 7.737003e-33 5.351682e-130 1.996942e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.412500e+04 8.231059e+02 5.700128e-01 1.000000e+00 8.066667e-33 5.833333e-130 2.273333e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.437500e+04 8.246580e+02 5.459258e-01 1.000000e+00 8.436364e-33 6.363636e-130 2.589091e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.462500e+04 8.261960e+02 5.228571e-01 1.000000e+00 8.809524e-33 6.944444e-130 2.948413e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.487500e+04 1.000000e+02 5.007585e-01 1.000000e+00 9.220779e-33 7.575758e-130 3.359307e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.512500e+04 1.000000e+02 4.795948e-01 1.000000e+00 9.622642e-33 8.254717e-130 3.825472e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.537500e+04 1.000000e+02 4.593261e-01 1.000000e+00 1.000000e-32 8.974359e-130 4.338462e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.562501e+04 1.000000e+02 4.399147e-01 1.000000e+00 1.044693e-32 9.776536e-130 4.938547e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.587500e+04 1.000000e+02 4.213267e-01 1.000000e+00 1.091463e-32 1.067073e-129 5.628049e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.612500e+04 1.000000e+02 4.035167e-01 1.000000e+00 1.146667e-32 1.166667e-129 6.420000e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.637500e+04 1.000000e+02 3.864698e-01 1.000000e+00 1.188406e-32 1.268116e-129 7.318841e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.662500e+04 1.000000e+02 3.701361e-01 1.000000e+00 1.246032e-32 1.388889e-129 8.333333e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.687500e+04 1.000000e+02 3.544904e-01 1.000000e+00 1.301724e-32 1.508621e-129 9.482759e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.712500e+04 1.000000e+02 3.395083e-01 1.000000e+00 1.358491e-32 1.650943e-129 1.084906e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.737501e+04 1.000000e+02 3.251567e-01 1.000000e+00 1.415385e-32 1.794872e-129 1.230769e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.762501e+04 1.000000e+02 3.114142e-01 1.000000e+00 1.474860e-32 1.955307e-129 1.396648e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.787501e+04 1.000000e+02 2.982632e-01 1.000000e+00 1.546894e-32 2.131547e-129 1.583435e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.812500e+04 1.000000e+02 2.856550e-01 1.000000e+00 1.606906e-32 2.324037e-129 1.806109e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.837501e+04 1.000000e+02 2.735783e-01 1.000000e+00 1.678726e-32 2.532562e-129 2.054993e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.862501e+04 1.000000e+02 2.620162e-01 1.000000e+00 1.753555e-32 2.764613e-129 2.338073e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.887501e+04 1.000000e+02 2.509456e-01 1.000000e+00 1.841652e-32 3.012048e-129 2.667814e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.912501e+04 1.000000e+02 2.403402e-01 1.000000e+00 1.913696e-32 3.283302e-129 3.039400e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.937501e+04 1.000000e+02 2.301835e-01 1.000000e+00 2.002045e-32 3.578732e-129 3.456033e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.962501e+04 1.000000e+02 2.204547e-01 1.000000e+00 2.091518e-32 3.906250e-129 3.928571e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.987501e+04 1.000000e+02 2.111378e-01 1.000000e+00 2.184915e-32 4.257908e-129 4.476886e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.012501e+04 1.000000e+02 2.022160e-01 1.000000e+00 2.281167e-32 4.641910e-129 5.092838e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.037501e+04 1.000000e+02 1.936691e-01 1.000000e+00 2.378613e-32 5.057803e-129 5.809249e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.062501e+04 1.000000e+02 1.854850e-01 1.000000e+00 2.488959e-32 5.520505e-129 6.624606e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.087500e+04 1.000000e+02 1.776453e-01 1.000000e+00 2.594502e-32 6.013746e-129 7.525773e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.112500e+04 1.000000e+02 1.701380e-01 1.000000e+00 2.707865e-32 6.554307e-129 8.539326e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.137501e+04 1.000000e+02 1.629470e-01 1.000000e+00 2.828571e-32 7.142857e-129 9.755102e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.162501e+04 1.000000e+02 1.560617e-01 1.000000e+00 2.946667e-32 7.777778e-129 1.106667e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.187500e+04 1.000000e+02 1.494655e-01 1.000000e+00 3.082524e-32 8.495146e-129 1.262136e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.212501e+04 1.000000e+02 1.431490e-01 1.000000e+00 3.222222e-32 9.259259e-129 1.439153e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.237501e+04 1.000000e+02 1.370989e-01 1.000000e+00 3.369942e-32 1.011561e-128 1.641618e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.262501e+04 1.000000e+02 1.313058e-01 1.000000e+00 3.509434e-32 1.100629e-128 1.861635e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.287500e+04 1.000000e+02 1.257567e-01 1.000000e+00 3.664384e-32 1.198630e-128 2.116438e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.312500e+04 1.000000e+02 1.204405e-01 1.000000e+00 3.820896e-32 1.305970e-128 2.410448e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.337500e+04 1.000000e+02 1.153514e-01 1.000000e+00 3.983740e-32 1.422764e-128 2.739837e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.362500e+04 1.000000e+02 1.104747e-01 1.000000e+00 4.159292e-32 1.548673e-128 3.115044e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.387500e+04 1.000000e+02 1.058080e-01 1.000000e+00 4.368932e-32 1.699029e-128 3.563107e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.412499e+04 1.000000e+02 1.013368e-01 1.000000e+00 4.551214e-32 1.847941e-128 4.054910e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
