#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] si0 si1 si2 si3
4625.00 2.9721e-01 6.7443e-01 2.7853e-02 5.0358e-04
4875.00 3.6259e-01 6.1452e-01 2.2506e-02 3.8641e-04
5375.00 4.0379e-01 5.7430e-01 2.1521e-02 3.8219e-04
5625.00 4.2451e-01 5.5589e-01 1.9271e-02 3.2947e-04
6125.00 4.4609e-01 5.3345e-01 2.0102e-02 3.6235e-04
6375.00 4.6973e-01 5.1196e-01 1.7995e-02 3.1123e-04
6625.00 4.7253e-01 5.0953e-01 1.7639e-02 3.0116e-04
6875.00 4.9478e-01 4.8759e-01 1.7337e-02 2.9749e-04
7125.00 4.8970e-01 4.9345e-01 1.6564e-02 2.8380e-04
7625.00 4.5358e-01 5.2590e-01 2.0147e-02 3.7963e-04
7875.00 4.3102e-01 5.4805e-01 2.0540e-02 3.9216e-04
8125.00 4.7051e-01 5.1000e-01 1.9124e-02 3.6240e-04
8375.00 4.5113e-01 5.2882e-01 1.9686e-02 3.6584e-04
8625.00 3.6596e-01 6.1261e-01 2.1062e-02 3.7025e-04
8875.00 3.7338e-01 6.0545e-01 2.0787e-02 3.8991e-04
9125.00 4.1964e-01 5.5873e-01 2.1210e-02 4.1692e-04
9375.00 3.7738e-01 5.9869e-01 2.3469e-02 4.6190e-04
9625.00 1.9498e-01 7.7970e-01 2.4878e-02 4.4219e-04
9875.00 3.4050e-01 6.3395e-01 2.5050e-02 5.0443e-04
10125.00 1.0091e-01 8.7130e-01 2.7320e-02 4.6893e-04
10375.00 2.5426e-01 7.1747e-01 2.7704e-02 5.6612e-04
10625.00 2.2850e-01 7.3939e-01 3.1477e-02 6.3205e-04
10875.00 1.7335e-01 7.9362e-01 3.2355e-02 6.6976e-04
11125.00 1.2245e-01 8.4188e-01 3.4984e-02 6.9127e-04
11375.00 9.3504e-02 8.6995e-01 3.5826e-02 7.2318e-04
11625.00 8.1319e-03 9.4953e-01 4.1539e-02 7.9577e-04
11875.00 3.7295e-02 9.2359e-01 3.8360e-02 7.5866e-04
12125.00 1.9832e-02 9.3898e-01 4.0335e-02 8.5530e-04
12375.00 1.2374e-02 9.4498e-01 4.1731e-02 9.1488e-04
12625.00 2.1169e-03 9.5146e-01 4.5243e-02 1.1758e-03
12875.00 3.3276e-03 9.4314e-01 5.2318e-02 1.2136e-03
13125.00 2.3818e-03 9.3714e-01 5.9023e-02 1.4515e-03
13375.00 1.6754e-03 9.4237e-01 5.4588e-02 1.3648e-03
13625.00 1.7318e-03 9.4784e-01 4.9186e-02 1.2451e-03
13875.00 1.0031e-03 9.2939e-01 6.7832e-02 1.7704e-03
14125.00 1.0392e-03 9.2787e-01 6.9145e-02 1.9472e-03
14375.00 7.1149e-04 9.2523e-01 7.1900e-02 2.1624e-03
14625.00 9.3169e-04 9.1804e-01 7.8732e-02 2.2917e-03
14875.00 3.9750e-04 9.2238e-01 7.4841e-02 2.3833e-03
15125.00 4.7281e-04 9.1833e-01 7.2759e-02 8.4349e-03
15375.00 3.7649e-04 8.9734e-01 9.8719e-02 3.5617e-03
15625.00 4.8811e-04 8.6575e-01 1.2296e-01 1.0806e-02
15875.00 3.6313e-04 9.1151e-01 8.4813e-02 3.3137e-03
16125.00 5.2836e-04 8.9791e-01 9.7541e-02 4.0200e-03
