#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] ca0 ca1 ca2 ca3
7625.00 1.1448e-05 1.0727e-01 8.4452e-01 4.8204e-02
7875.00 1.2358e-05 1.0734e-01 8.4390e-01 4.8755e-02
8125.00 1.2687e-05 1.1179e-01 8.3812e-01 5.0068e-02
8375.00 1.2820e-05 1.0684e-01 8.4597e-01 4.7170e-02
8625.00 1.4516e-05 1.1354e-01 8.4030e-01 4.6147e-02
8875.00 1.3445e-05 1.0728e-01 8.4560e-01 4.7103e-02
9125.00 1.3155e-05 1.0460e-01 8.4500e-01 5.0390e-02
9375.00 1.2992e-05 1.0504e-01 8.4530e-01 4.9641e-02
9625.00 1.4313e-05 1.1639e-01 8.3779e-01 4.5807e-02
9875.00 1.2878e-05 1.0225e-01 8.4721e-01 5.0522e-02
10125.00 1.5838e-05 1.1588e-01 8.4055e-01 4.3555e-02
10375.00 1.2458e-05 9.9222e-02 8.5041e-01 5.0351e-02
10625.00 1.3853e-05 1.0514e-01 8.4214e-01 5.2706e-02
10875.00 1.4452e-05 1.1195e-01 8.2982e-01 5.8219e-02
11125.00 1.2789e-05 1.0386e-01 8.4477e-01 5.1357e-02
11375.00 1.2209e-05 9.7924e-02 8.5263e-01 4.9438e-02
11625.00 9.1576e-06 8.7779e-02 8.6134e-01 5.0876e-02
11875.00 1.1796e-05 1.1030e-01 8.3446e-01 5.5231e-02
12125.00 9.4376e-06 9.2645e-02 8.5495e-01 5.2396e-02
12375.00 8.6377e-06 9.2037e-02 8.5228e-01 5.5673e-02
12625.00 5.7128e-06 7.7443e-02 8.5115e-01 7.1399e-02
12875.00 5.7654e-06 8.1724e-02 8.5994e-01 5.8327e-02
13125.00 5.9378e-06 8.4863e-02 8.5097e-01 6.4160e-02
13375.00 4.0413e-06 6.1477e-02 8.7441e-01 6.4107e-02
13625.00 3.5683e-06 6.1412e-02 8.7343e-01 6.5151e-02
13875.00 2.5338e-06 4.5305e-02 8.8339e-01 7.1304e-02
14125.00 3.1765e-06 5.5693e-02 8.7187e-01 7.2431e-02
14375.00 2.4601e-06 4.5323e-02 8.7765e-01 7.7027e-02
14625.00 2.1573e-06 3.8417e-02 8.6612e-01 9.5462e-02
14875.00 2.2641e-06 4.5126e-02 8.6925e-01 8.5622e-02
15125.00 1.4998e-07 2.5913e-03 8.9401e-01 1.0340e-01
15375.00 1.2302e-06 2.4761e-02 8.0039e-01 1.7485e-01
15625.00 4.2496e-07 7.3473e-03 8.5344e-01 1.3921e-01
15875.00 1.0905e-06 2.1060e-02 8.8135e-01 9.7589e-02
16125.00 1.0335e-06 2.2069e-02 8.7593e-01 1.0200e-01
16375.00 2.0413e-06 4.1864e-02 8.5393e-01 1.0420e-01
16625.00 8.7624e-08 1.4922e-03 8.6307e-01 1.3544e-01
16875.00 2.7575e-06 5.0545e-02 7.9351e-01 1.5595e-01
17125.00 2.6724e-06 6.1521e-02 7.6204e-01 1.7644e-01
17375.00 6.8150e-07 1.3413e-02 7.3733e-01 2.4925e-01
17625.00 1.3349e-06 1.9430e-02 5.1053e-01 4.7004e-01
17875.00 9.9488e-07 1.8285e-02 6.5100e-01 3.3071e-01
18125.00 5.7860e-07 1.0513e-02 7.8712e-01 2.0237e-01
18375.00 1.1884e-06 2.5091e-02 6.6783e-01 3.0707e-01
18625.00 3.6874e-07 6.9528e-03 5.6199e-01 4.3105e-01
18875.00 7.2232e-07 1.0442e-02 5.6422e-01 4.2534e-01
19125.00 4.9154e-07 7.8877e-03 5.6103e-01 4.3108e-01
19375.00 9.7487e-07 1.0310e-02 4.0744e-01 5.8225e-01
19625.00 1.3529e-06 2.0826e-02 6.0681e-01 3.7236e-01
19875.00 2.1250e-06 3.7609e-02 7.5930e-01 2.0309e-01
20125.00 6.4576e-07 1.1027e-02 6.8071e-01 3.0826e-01
20375.00 2.0966e-06 2.6623e-02 6.1597e-01 3.5741e-01
20625.00 6.0793e-06 8.0018e-02 5.8028e-01 3.3969e-01
20875.00 2.9092e-06 4.5168e-02 7.2698e-01 2.2785e-01
21125.00 8.2230e-06 8.8044e-02 6.2380e-01 2.8814e-01
21375.00 1.1591e-06 1.4685e-02 5.0230e-01 4.8301e-01
21625.00 1.4060e-06 1.9180e-02 5.6221e-01 4.1861e-01
21875.00 4.1422e-06 5.0811e-02 4.8518e-01 4.6400e-01
22125.00 7.4900e-07 9.3518e-03 5.1425e-01 4.7640e-01
22375.00 1.2946e-06 1.7814e-02 6.2590e-01 3.5629e-01
22625.00 2.3447e-07 3.0330e-03 2.7804e-01 7.1893e-01
22875.00 4.0529e-07 4.6605e-03 3.9758e-01 5.9776e-01
23125.00 1.9205e-06 2.7543e-02 7.0069e-01 2.7177e-01
23375.00 1.0288e-06 1.3012e-02 5.7269e-01 4.1430e-01
23625.00 6.3339e-07 6.5497e-03 4.5956e-01 5.3389e-01
23875.00 8.3211e-07 1.2625e-02 6.2212e-01 3.6526e-01
24125.00 1.1100e-06 1.1646e-02 2.7543e-01 7.1292e-01
24375.00 1.3278e-06 1.5707e-02 4.8549e-01 4.9880e-01
24625.00 2.1607e-06 2.4170e-02 7.0275e-01 2.7308e-01
24875.00 1.6686e-06 1.8070e-02 5.1251e-01 4.6942e-01
25125.00 1.4348e-06 2.0797e-02 6.7647e-01 3.0273e-01
25375.00 1.8465e-06 2.0543e-02 6.7541e-01 3.0405e-01
25625.00 1.5050e-06 2.0864e-02 6.7703e-01 3.0211e-01
25875.00 7.5147e-07 8.6424e-03 5.3750e-01 4.5386e-01
26125.00 1.3204e-06 1.7156e-02 6.0521e-01 3.7763e-01
26375.00 3.1062e-07 4.8060e-03 6.4562e-01 3.4957e-01
26625.00 1.0507e-06 1.5749e-02 5.4400e-01 4.4025e-01
26875.00 9.4147e-07 1.5783e-02 6.2888e-01 3.5534e-01
27125.00 1.1134e-06 1.2509e-02 3.8568e-01 6.0181e-01
27375.00 1.2750e-06 1.3808e-02 6.0471e-01 3.8148e-01
27625.00 6.8487e-07 1.1684e-02 4.8278e-01 5.0553e-01
27875.00 6.5207e-07 1.0609e-02 5.7503e-01 4.1436e-01
28125.00 1.2853e-07 1.8507e-03 3.2629e-01 6.7186e-01
