#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    1.654730E+04   1.0000E-099   1.8945E-002   9.8105E-001   7.5364E-027
    1.669441E+04   1.0000E-099   8.6015E-002   9.1398E-001   7.8007E-031
    1.681682E+04   1.0000E-099   3.5763E-001   6.4237E-001   2.6379E-035
    1.692241E+04   1.0000E-099   7.5967E-001   2.4033E-001   5.5417E-039
    1.702116E+04   1.0000E-099   9.2603E-001   7.3974E-002   7.2220E-040
    1.711664E+04   1.0000E-099   9.7096E-001   2.9039E-002   1.4719E-041
    1.721561E+04   1.0000E-099   9.8653E-001   1.3468E-002   3.6411E-050
    1.732334E+04   1.0000E-099   9.9359E-001   6.4054E-003   3.0180E-052
    1.744562E+04   1.0000E-099   9.9689E-001   3.1112E-003   1.2111E-052
    1.759425E+04   1.0000E-099   9.9848E-001   1.5153E-003   1.1291E-052
    1.788224E+04   1.0000E-099   9.9948E-001   5.1943E-004   1.0979E-052
    1.867332E+04   1.0000E-099   9.9991E-001   8.5973E-005   1.1205E-052
    1.962851E+04   1.0000E-099   9.9997E-001   3.2225E-005   1.1804E-052
    2.067444E+04   1.0000E-099   9.9998E-001   2.2291E-005   1.2470E-052
    2.182447E+04   1.0000E-099   9.9998E-001   1.7987E-005   1.3083E-052
    2.306690E+04   1.0000E-099   9.9998E-001   2.0533E-005   1.3544E-052
    2.438107E+04   1.0000E-099   9.9997E-001   2.5764E-005   1.3793E-052
    2.587845E+04   1.0000E-099   9.9997E-001   3.1532E-005   1.5815E-052
    2.749199E+04   1.0000E-099   9.9995E-001   4.9589E-005   1.8618E-052
    2.896661E+04   1.0000E-099   9.9995E-001   4.9339E-005   2.2259E-052
    3.023928E+04   1.0000E-099   9.9996E-001   3.6006E-005   2.5227E-052
    3.138852E+04   1.0000E-099   9.9996E-001   3.9800E-005   2.3908E-052
    3.250795E+04   1.0000E-099   9.9996E-001   4.2152E-005   2.2683E-052
    3.365620E+04   1.0000E-099   9.9995E-001   5.2336E-005   2.0579E-052
    3.486705E+04   1.0000E-099   9.9994E-001   5.5390E-005   1.9379E-052
    3.613166E+04   1.0000E-099   9.9994E-001   5.8889E-005   1.8420E-052
    3.742115E+04   1.0000E-099   9.9994E-001   6.1449E-005   1.7649E-052
    3.871394E+04   1.0000E-099   9.9994E-001   6.2515E-005   1.7094E-052
    3.997047E+04   1.0000E-099   9.9994E-001   5.6324E-005   1.6958E-052
    4.112379E+04   1.0000E-099   9.9995E-001   5.2713E-005   1.6777E-052
    4.218343E+04   1.0000E-099   9.9995E-001   5.3857E-005   1.6501E-052
    4.320753E+04   1.0000E-099   9.9994E-001   5.6947E-005   1.6281E-052
    4.423621E+04   1.0000E-099   9.9994E-001   5.9849E-005   1.6177E-052
    4.529664E+04   1.0000E-099   9.9994E-001   6.0461E-005   1.6197E-052
    4.639486E+04   1.0000E-099   9.9994E-001   5.7977E-005   1.6321E-052
    4.752261E+04   1.0000E-099   9.9995E-001   5.4282E-005   1.6509E-052
    4.867617E+04   1.0000E-099   9.9995E-001   5.0144E-005   1.6739E-052
    4.985675E+04   1.0000E-099   9.9995E-001   4.6028E-005   1.6997E-052
    5.106564E+04   1.0000E-099   9.9996E-001   4.2253E-005   1.7270E-052
    5.230378E+04   1.0000E-099   9.9996E-001   3.9043E-005   1.7544E-052
    5.357136E+04   1.0000E-099   9.9996E-001   3.6540E-005   1.7806E-052
    5.486695E+04   1.0000E-099   9.9997E-001   3.4777E-005   1.8048E-052
    5.618695E+04   1.0000E-099   9.9997E-001   3.3752E-005   1.8271E-052
    5.752536E+04   1.0000E-099   9.9997E-001   3.3421E-005   1.8495E-052
    5.887450E+04   1.0000E-099   9.9997E-001   3.3605E-005   1.8760E-052
    6.022291E+04   1.0000E-099   9.9997E-001   3.4018E-005   1.9123E-052
    6.155592E+04   1.0000E-099   9.9997E-001   3.4425E-005   1.9630E-052
    6.285824E+04   1.0000E-099   9.9997E-001   3.4716E-005   2.0311E-052
    6.411280E+04   1.0000E-099   9.9997E-001   3.4834E-005   2.1180E-052
    6.529403E+04   1.0000E-099   9.9997E-001   3.4822E-005   2.2215E-052
    6.638404E+04   1.0000E-099   9.9997E-001   3.4672E-005   2.3373E-052
    6.736672E+04   1.0000E-099   9.9997E-001   3.4287E-005   2.4597E-052
    6.821143E+04   1.0000E-099   9.9997E-001   3.3869E-005   2.5767E-052
    6.893337E+04   1.0000E-099   9.9997E-001   3.3381E-005   2.6814E-052
    6.953439E+04   1.0000E-099   9.9997E-001   3.2552E-005   2.7692E-052
    6.977430E+04   1.0000E-099   9.9997E-001   3.1069E-005   2.8036E-052
    6.989457E+04   1.0000E-099   9.9997E-001   2.8632E-005   2.8265E-052
    6.995478E+04   1.0000E-099   9.9997E-001   2.5136E-005   2.8471E-052
    6.998490E+04   1.0000E-099   9.9998E-001   2.1676E-005   2.8699E-052
    6.999922E+04   1.0000E-099   9.9998E-001   1.8278E-005   2.8888E-052
    6.999997E+04   1.0000E-099   9.9998E-001   1.7895E-005   2.8931E-052
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    8.772128E+02   1.0000E-099   4.7263E-010   2.6550E-005   9.9997E-001
    8.833155E+02   1.0000E-099   4.7263E-010   2.6550E-005   9.9997E-001
    9.018795E+02   1.0000E-099   4.7263E-010   2.6550E-005   9.9997E-001
    9.401862E+02   1.0000E-099   4.7265E-010   2.6551E-005   9.9997E-001
    1.001110E+03   1.0000E-099   4.7265E-010   2.6550E-005   9.9997E-001
    1.062646E+03   1.0000E-099   4.7246E-010   2.6542E-005   9.9997E-001
    1.127988E+03   1.0000E-099   4.7129E-010   2.6483E-005   9.9997E-001
    1.197348E+03   1.0000E-099   4.6855E-010   2.6334E-005   9.9997E-001
    1.270973E+03   1.0000E-099   4.6288E-010   2.6016E-005   9.9997E-001
    1.349125E+03   1.0000E-099   4.1592E-010   2.3748E-005   9.9998E-001
    1.432083E+03   1.0000E-099   1.8889E-010   1.2718E-005   9.9999E-001
    1.520141E+03   1.0000E-099   7.7425E-011   6.7060E-006   9.9999E-001
    1.613615E+03   1.0000E-099   4.6380E-011   4.8114E-006   1.0000E+000
    1.712836E+03   1.0000E-099   3.1091E-011   3.7736E-006   1.0000E+000
    1.818158E+03   1.0000E-099   1.8536E-011   2.8258E-006   1.0000E+000
    1.929957E+03   1.0000E-099   1.0539E-011   2.1188E-006   1.0000E+000
