#NTIMES 50
#NSTAGES 3
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] co0 co1 co2
4670.75 1.0160e+03 4.1410e+04 4.9340e+04
4956.05 5.5560e+02 3.7160e+04 5.6110e+04
5258.79 2.0460e+02 3.1040e+04 6.4910e+04
5580.02 5.6190e+01 2.6330e+04 7.2750e+04
5920.87 1.9580e+01 2.1460e+04 7.5800e+04
6282.54 1.1090e+01 1.6960e+04 7.4290e+04
6666.30 9.0510e+00 1.4640e+04 7.0690e+04
7073.50 8.1080e+00 1.3650e+04 6.4010e+04
7505.58 6.0790e+00 1.1210e+04 5.4660e+04
7964.05 7.3110e+00 9.4880e+03 4.5190e+04
8450.53 1.1750e+01 9.8580e+03 3.5620e+04
8966.72 2.2980e+01 8.9710e+03 2.6380e+04
9514.44 3.7470e+01 7.5280e+03 1.7590e+04
10095.62 4.9290e+01 5.8940e+03 1.0670e+04
10712.30 5.4240e+01 3.8730e+03 5.6420e+03
11366.65 4.7200e+01 2.1050e+03 2.4710e+03
12061.10 2.3360e+01 8.7020e+02 1.0310e+03
12793.43 1.2140e+01 3.9050e+02 4.1510e+02
13528.61 6.0330e+00 1.7730e+02 1.9000e+02
14194.74 2.6810e+00 7.9060e+01 9.3370e+01
14757.77 6.8120e-01 3.8310e+01 4.3500e+01
15240.48 4.1640e-01 2.1640e+01 2.0980e+01
15646.99 4.5090e-01 1.4160e+01 9.4300e+00
15960.30 3.1830e-01 1.0560e+01 4.6180e+00
16187.41 2.0270e-01 6.2320e+00 2.2340e+00
16354.17 9.8250e-02 3.7220e+00 1.3060e+00
16484.18 5.9550e-02 2.4130e+00 8.8910e-01
16593.12 2.6380e-02 1.7780e+00 7.5050e-01
16691.99 2.4660e-02 1.4980e+00 6.9190e-01
16788.59 1.2750e-02 1.4040e+00 6.6640e-01
16888.37 2.0540e-02 1.3080e+00 6.9780e-01
16998.79 8.4520e-03 1.3020e+00 6.7120e-01
17146.37 1.5520e-02 1.2410e+00 7.2390e-01
17415.23 6.4160e-03 1.2920e+00 7.9030e-01
17888.12 5.1030e-03 1.3140e+00 9.5570e-01
18532.37 2.7240e-03 1.2250e+00 1.1980e+00
19260.76 2.6090e-03 1.0140e+00 1.2160e+00
20034.10 9.1920e-04 7.8120e-01 9.3720e-01
20838.00 5.7530e-04 4.2340e-01 7.5620e-01
21647.97 4.7970e-04 2.4730e-01 5.4150e-01
22447.94 1.4530e-04 1.4860e-01 3.5220e-01
23245.88 4.5480e-05 4.1620e-02 2.9200e-01
24052.47 4.5360e-05 4.4430e-02 2.0360e-01
24867.72 3.5490e-05 2.3400e-02 1.7490e-01
