#NTIMES:           33
#TIMES[d]:    1.00000E-01   5.00000E-01   1.00000E+00   2.00000E+00   3.00000E+00   4.00000E+00   5.00000E+00   6.00000E+00   7.00000E+00   8.00000E+00   9.00000E+00   1.00000E+01   1.20000E+01   1.40000E+01   1.60000E+01   1.80000E+01   2.00000E+01   2.20000E+01   2.40000E+01   2.60000E+01   2.80000E+01   3.00000E+01   3.50000E+01   4.00000E+01   5.00000E+01   6.00000E+01   7.00000E+01   8.00000E+01   9.00000E+01   1.00000E+02   1.10000E+02   1.20000E+02   1.30000E+02
#
#TIME:    1.00000E-01
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc]
 1.84205E+09 6.48634E+03 7.26106E-11
 1.86396E+09 6.23735E+03 6.85488E-11
 1.88659E+09 6.01174E+03 6.02560E-11
 1.91204E+09 5.82103E+03 4.98884E-11
 1.93984E+09 5.64937E+03 4.24620E-11
 1.96707E+09 5.48277E+03 3.92645E-11
 1.99266E+09 5.32108E+03 3.76704E-11
 2.01684E+09 5.18800E+03 3.52371E-11
 2.04252E+09 5.08159E+03 3.01995E-11
 2.07215E+09 4.97737E+03 2.44906E-11
 2.10396E+09 4.87528E+03 2.10863E-11
 2.13469E+09 4.73151E+03 1.98153E-11
 2.16291E+09 4.66659E+03 1.92752E-11
 2.18936E+09 4.58142E+03 1.80302E-11
 2.21856E+09 4.52898E+03 1.49968E-11
 2.25335E+09 4.48745E+03 1.18304E-11
 2.29000E+09 4.42588E+03 1.03514E-11
 2.32476E+09 4.35512E+03 9.77237E-12
 2.35695E+09 4.29536E+03 9.54993E-12
 2.38660E+09 4.23643E+03 8.99498E-12
 2.42020E+09 4.17830E+03 7.26106E-12
 2.46133E+09 4.14000E+03 5.61048E-12
 2.50416E+09 4.08319E+03 4.90908E-12
 2.54525E+09 4.02717E+03 4.59198E-12
 2.58299E+09 3.91742E+03 4.47713E-12
 2.62008E+09 3.85478E+03 3.92645E-12
 2.66712E+09 3.80189E+03 2.90402E-12
 2.72152E+09 3.74973E+03 2.33346E-12
 2.77507E+09 3.69828E+03 2.11836E-12
 2.81710E+09 3.63078E+03 2.42103E-12
 2.82226E+09 3.28852E+03 1.79061E-11
 2.82626E+09 3.22849E+03 1.90108E-11
 2.84059E+09 3.53183E+03 5.92925E-12
 2.85442E+09 3.52371E+03 5.05825E-12
 2.88707E+09 3.53183E+03 2.08449E-12
 2.92588E+09 3.51560E+03 1.53815E-12
 2.99526E+09 3.53183E+03 7.85236E-13
 3.10756E+09 3.41193E+03 4.11150E-13
 3.33683E+09 3.31894E+03 1.65196E-13
 4.27602E+09 2.98538E+03 1.61808E-14
 4.51853E+09 2.82488E+03 1.53462E-14
 4.72853E+09 2.76058E+03 1.18577E-14
 4.95330E+09 2.69774E+03 7.46449E-15
 5.21707E+09 2.63633E+03 4.23643E-15
 5.53808E+09 2.57040E+03 2.28034E-15
 5.94740E+09 2.50035E+03 1.14288E-15
 6.49296E+09 2.46037E+03 5.29663E-16
