#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
9.797678E+03 6.318021E+37 2.517932E+38 3.677175E+38 3.392357E+38
9.778995E+03 6.326280E+37 2.529923E+38 3.684614E+38 3.409256E+38
9.760383E+03 6.333516E+37 2.542134E+38 3.691498E+38 3.427121E+38
9.741841E+03 6.344268E+37 2.554172E+38 3.699930E+38 3.447847E+38
9.723370E+03 6.357059E+37 2.566249E+38 3.705672E+38 3.463875E+38
9.704969E+03 6.368897E+37 2.578458E+38 3.704433E+38 3.484619E+38
9.686637E+03 6.384484E+37 2.590246E+38 3.702106E+38 3.507851E+38
9.668375E+03 6.400406E+37 2.602270E+38 3.709869E+38 3.534953E+38
9.650181E+03 6.418735E+37 2.614529E+38 3.718253E+38 3.558703E+38
9.632055E+03 6.434703E+37 2.627438E+38 3.721570E+38 3.586647E+38
9.613998E+03 6.454031E+37 2.639922E+38 3.728587E+38 3.614883E+38
9.596008E+03 6.474389E+37 2.652012E+38 3.739106E+38 3.640317E+38
9.578085E+03 6.493940E+37 2.664894E+38 3.752785E+38 3.667437E+38
9.560229E+03 6.520374E+37 2.679133E+38 3.765527E+38 3.684008E+38
9.542440E+03 6.547571E+37 2.699156E+38 3.780116E+38 3.698866E+38
9.524717E+03 6.567811E+37 2.729186E+38 3.811146E+38 3.720764E+38
9.507059E+03 6.591752E+37 2.755691E+38 3.843949E+38 3.740838E+38
9.489467E+03 6.686378E+37 2.779210E+38 3.876145E+38 3.768355E+38
9.471939E+03 6.816282E+37 2.801588E+38 3.917581E+38 3.814013E+38
9.454477E+03 6.942399E+37 2.824498E+38 3.973385E+38 3.887754E+38
9.437078E+03 7.053192E+37 2.845728E+38 4.043482E+38 3.959893E+38
9.419744E+03 7.162145E+37 2.865123E+38 4.120154E+38 4.034305E+38
9.402473E+03 7.249074E+37 2.882158E+38 4.201120E+38 4.101483E+38
9.385265E+03 7.318883E+37 2.897922E+38 4.285021E+38 4.156370E+38
9.368120E+03 7.386138E+37 2.913878E+38 4.346670E+38 4.186764E+38
9.351038E+03 7.444208E+37 2.929775E+38 4.380341E+38 4.213814E+38
9.334018E+03 7.495104E+37 2.945986E+38 4.405284E+38 4.243752E+38
9.317060E+03 7.522221E+37 2.958553E+38 4.423416E+38 4.267520E+38
9.300163E+03 7.541706E+37 2.967949E+38 4.438444E+38 4.280200E+38
9.283327E+03 7.557930E+37 2.977105E+38 4.450691E+38 4.298012E+38
9.266552E+03 7.563914E+37 2.983969E+38 4.458314E+38 4.316394E+38
9.249838E+03 7.554380E+37 2.986928E+38 4.466674E+38 4.327027E+38
9.233184E+03 7.548569E+37 2.984576E+38 4.455342E+38 4.330105E+38
9.216590E+03 7.547788E+37 2.973775E+38 4.420228E+38 4.316068E+38
9.200055E+03 7.538323E+37 2.964638E+38 4.371848E+38 4.301134E+38
9.183580E+03 7.518721E+37 2.947568E+38 4.306755E+38 4.278629E+38
9.167163E+03 7.499403E+37 2.934949E+38 4.231584E+38 4.244315E+38
9.150805E+03 7.477412E+37 2.924505E+38 4.136519E+38 4.203708E+38
9.134506E+03 7.430998E+37 2.916624E+38 4.030637E+38 4.153390E+38
9.118264E+03 7.376862E+37 2.907055E+38 3.908335E+38 4.083521E+38
9.102080E+03 7.322554E+37 2.908385E+38 3.779215E+38 4.004275E+38
9.085953E+03 7.245004E+37 2.909783E+38 3.638427E+38 3.913703E+38
9.069883E+03 7.170528E+37 2.907928E+38 3.491335E+38 3.797069E+38
9.053871E+03 7.127538E+37 2.899238E+38 3.334280E+38 3.666383E+38
9.037914E+03 7.080937E+37 2.889890E+38 3.192513E+38 3.529039E+38
9.022014E+03 7.036674E+37 2.878065E+38 3.071485E+38 3.389310E+38
9.006169E+03 6.974580E+37 2.863863E+38 3.067823E+38 3.310445E+38
8.990380E+03 6.913279E+37 2.849573E+38 3.115912E+38 3.298553E+38
8.974647E+03 6.832606E+37 2.836041E+38 3.264196E+38 3.486043E+38
8.958968E+03 6.750095E+37 2.826343E+38 3.477417E+38 3.798886E+38
8.943344E+03 6.662683E+37 2.817046E+38 3.747659E+38 4.214196E+38
8.927774E+03 6.566890E+37 2.826178E+38 4.071088E+38 4.548734E+38
8.912259E+03 6.486940E+37 2.859829E+38 4.442856E+38 4.709785E+38
8.896797E+03 6.394803E+37 2.957390E+38 4.700718E+38 4.843196E+38
8.881389E+03 6.314955E+37 3.047029E+38 4.981565E+38 4.990505E+38
8.866034E+03 6.243206E+37 3.092567E+38 5.079862E+38 5.068237E+38
8.850732E+03 6.300596E+37 3.122731E+38 5.128913E+38 5.121930E+38
8.835483E+03 6.437432E+37 3.171773E+38 5.158206E+38 5.162960E+38
8.820287E+03 6.561968E+37 3.205873E+38 5.179923E+38 5.197781E+38
8.805142E+03 6.656400E+37 3.227113E+38 5.193922E+38 5.233237E+38
8.790050E+03 6.751208E+37 3.244296E+38 5.199748E+38 5.256566E+38
8.775009E+03 6.819481E+37 3.260807E+38 5.210873E+38 5.275064E+38
8.760019E+03 6.865519E+37 3.286859E+38 5.227271E+38 5.289312E+38
8.745081E+03 6.897187E+37 3.331626E+38 5.273411E+38 5.319779E+38
8.730193E+03 6.931288E+37 3.383031E+38 5.332443E+38 5.374893E+38
8.715356E+03 6.989084E+37 3.444315E+38 5.403529E+38 5.449515E+38
8.700570E+03 7.098261E+37 3.519267E+38 5.515659E+38 5.548031E+38
8.685833E+03 7.257416E+37 3.586704E+38 5.602810E+38 5.647854E+38
8.671147E+03 7.452416E+37 3.644869E+38 5.673294E+38 5.725130E+38
8.656510E+03 7.708314E+37 3.693168E+38 5.732628E+38 5.786368E+38
8.641922E+03 7.970710E+37 3.740184E+38 5.799960E+38 5.831563E+38
8.627383E+03 8.243828E+37 3.784220E+38 5.862817E+38 5.869333E+38
