#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ca0 ca1 ca2 ca3
1267.34 2.4145e-08 7.0653e-04 9.0449e-01 9.4798e-02
1344.75 2.6054e-08 8.1987e-04 9.0135e-01 9.7828e-02
1426.89 3.3177e-08 8.8484e-04 9.0365e-01 9.5462e-02
1514.05 2.7697e-08 6.9770e-04 9.0872e-01 9.0582e-02
1606.54 2.6936e-08 6.5725e-04 9.0475e-01 9.4596e-02
1704.67 2.3240e-08 6.7709e-04 9.1013e-01 8.9195e-02
1808.80 2.3565e-08 6.9480e-04 9.0900e-01 9.0300e-02
1919.29 2.4409e-08 7.0745e-04 9.0525e-01 9.4044e-02
2036.53 1.9062e-08 5.7912e-04 9.0861e-01 9.0813e-02
2160.92 2.2651e-08 6.9986e-04 9.0127e-01 9.8025e-02
2292.92 1.7698e-08 6.1874e-04 8.9358e-01 1.0581e-01
2432.98 1.2489e-08 5.1296e-04 8.8508e-01 1.1441e-01
2581.60 1.0742e-08 5.1582e-04 8.7431e-01 1.2517e-01
2739.29 8.1841e-09 4.6219e-04 8.6222e-01 1.3732e-01
2906.62 6.6941e-09 4.4850e-04 8.4220e-01 1.5735e-01
3084.17 4.5689e-09 4.0730e-04 8.1001e-01 1.8958e-01
3272.56 3.3845e-09 3.8309e-04 7.4619e-01 2.5343e-01
3472.46 2.8360e-09 3.9687e-04 6.4883e-01 3.5077e-01
3684.57 2.0927e-09 3.6962e-04 5.6064e-01 4.3899e-01
3909.64 1.3148e-09 3.0534e-04 4.7389e-01 5.2580e-01
4148.46 9.5787e-10 2.5507e-04 5.1797e-01 4.8177e-01
4401.86 1.1440e-09 3.1112e-04 5.5953e-01 4.4015e-01
4670.75 9.3098e-10 2.9610e-04 5.3931e-01 4.6040e-01
4956.05 4.4651e-10 2.0788e-04 4.2729e-01 5.7250e-01
5258.79 1.1900e-10 8.7307e-05 2.6012e-01 7.3979e-01
5580.02 3.8082e-11 3.7737e-05 1.2500e-01 8.7496e-01
5920.87 1.5382e-11 1.8999e-05 8.3179e-02 9.1680e-01
6282.54 9.2820e-12 1.3246e-05 7.0108e-02 9.2988e-01
6666.30 7.1089e-12 1.0800e-05 6.7350e-02 9.3264e-01
7073.50 7.1017e-12 1.0847e-05 7.1440e-02 9.2855e-01
7505.58 6.8762e-12 1.0302e-05 7.0748e-02 9.2924e-01
7964.05 7.9843e-12 1.1739e-05 8.1259e-02 9.1873e-01
8450.53 1.5073e-11 1.8716e-05 1.0987e-01 8.9011e-01
8966.72 3.3938e-11 3.2955e-05 1.8601e-01 8.1395e-01
9514.44 7.5156e-11 5.2484e-05 2.9230e-01 7.0764e-01
10095.62 1.8034e-10 8.2895e-05 4.3722e-01 5.6270e-01
10712.30 3.5319e-10 1.0855e-04 5.4057e-01 4.5932e-01
11366.65 5.1484e-10 1.2068e-04 5.9802e-01 4.0185e-01
12061.10 5.6321e-10 1.1571e-04 6.2568e-01 3.7421e-01
12793.43 4.9818e-10 9.3382e-05 6.6015e-01 3.3976e-01
13528.61 5.2001e-10 8.2406e-05 6.3782e-01 3.6210e-01
14194.74 5.2901e-10 7.3810e-05 6.2036e-01 3.7957e-01
14757.77 4.7701e-10 6.1537e-05 6.0736e-01 3.9258e-01
15240.48 8.7048e-10 9.1949e-05 5.3133e-01 4.6858e-01
15646.99 3.0076e-09 2.1258e-04 5.1147e-01 4.8832e-01
15960.30 9.7679e-09 4.3575e-04 5.5434e-01 4.4523e-01
16187.41 1.9007e-08 6.5055e-04 5.2790e-01 4.7145e-01
16354.17 2.7532e-08 8.5615e-04 4.7703e-01 5.2212e-01
16484.18 2.3290e-08 7.5424e-04 4.8334e-01 5.1591e-01
16593.12 1.3025e-08 4.8234e-04 4.4266e-01 5.5686e-01
16691.99 1.2660e-08 5.0970e-04 3.9171e-01 6.0778e-01
16788.59 1.1870e-08 4.8664e-04 3.6342e-01 6.3609e-01
16888.37 8.1801e-09 3.6072e-04 3.5695e-01 6.4269e-01
16998.79 8.9650e-09 4.3316e-04 3.3023e-01 6.6934e-01
17146.37 8.0050e-09 3.9782e-04 3.4785e-01 6.5175e-01
17415.23 6.2131e-09 3.4671e-04 2.8692e-01 7.1273e-01
17888.12 3.8965e-09 2.6584e-04 2.3890e-01 7.6083e-01
18532.37 3.1843e-09 2.3539e-04 2.0802e-01 7.9174e-01
19260.76 2.2528e-09 1.8096e-04 1.7795e-01 8.2187e-01
20034.10 1.5033e-09 1.3049e-04 1.5019e-01 8.4968e-01
20838.00 9.8869e-10 8.9291e-05 1.5162e-01 8.4829e-01
21647.97 7.6654e-10 7.1257e-05 1.1077e-01 8.8916e-01
22447.94 5.8869e-10 5.6809e-05 1.2587e-01 8.7407e-01
23245.88 4.0111e-10 4.0155e-05 9.5672e-02 9.0429e-01
24052.47 2.8148e-10 2.9961e-05 9.5820e-02 9.0415e-01
24867.72 1.6120e-10 1.8942e-05 7.8857e-02 9.2112e-01
25698.86 1.2093e-10 1.5094e-05 5.8935e-02 9.4105e-01
26587.16 8.3004e-11 1.1274e-05 4.7309e-02 9.5268e-01
27637.54 4.1400e-11 6.5664e-06 7.5180e-02 9.2481e-01
28986.97 2.5764e-11 4.1625e-06 5.5088e-02 9.4491e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] ca0 ca1 ca2 ca3
440.10 3.1288e-08 7.4499e-04 8.9655e-01 1.0271e-01
886.22 6.9595e-08 1.9486e-03 8.9887e-01 9.9181e-02
906.14 1.1302e-07 2.7427e-03 8.9847e-01 9.8789e-02
944.43 5.5565e-08 1.3819e-03 8.9235e-01 1.0627e-01
999.11 3.1916e-08 7.8462e-04 9.0237e-01 9.6850e-02
1060.83 2.5902e-08 6.0497e-04 8.9431e-01 1.0509e-01
1125.62 3.8861e-08 1.0607e-03 9.0517e-01 9.3772e-02
1194.38 3.1314e-08 7.8785e-04 8.9948e-01 9.9736e-02
1267.34 2.4580e-08 7.1162e-04 8.9640e-01 1.0289e-01
1344.75 4.0163e-08 9.8468e-04 8.9737e-01 1.0164e-01
1426.89 5.1535e-08 1.1674e-03 9.0146e-01 9.7375e-02
1514.05 3.1750e-08 8.4645e-04 9.0772e-01 9.1432e-02
1606.54 2.4438e-08 6.3769e-04 9.1056e-01 8.8798e-02
1704.67 2.5629e-08 6.9411e-04 9.0673e-01 9.2580e-02
1808.80 2.3464e-08 6.1416e-04 9.0867e-01 9.0711e-02
1919.29 2.9216e-08 7.4941e-04 9.0904e-01 9.0207e-02
2036.53 2.7202e-08 7.7570e-04 9.0524e-01 9.3988e-02
2160.92 2.3522e-08 6.8535e-04 9.0617e-01 9.3141e-02
2292.92 1.9143e-08 5.9846e-04 9.0003e-01 9.9369e-02
2432.98 1.6384e-08 5.5659e-04 8.8967e-01 1.0977e-01
2581.60 1.2950e-08 5.2564e-04 8.7836e-01 1.2111e-01
2739.29 9.8006e-09 4.9620e-04 8.6208e-01 1.3742e-01
2906.62 7.3057e-09 4.5560e-04 8.4231e-01 1.5724e-01
3084.17 5.0790e-09 4.1673e-04 8.1208e-01 1.8750e-01
3272.56 4.2922e-09 4.4286e-04 7.4943e-01 2.5013e-01
3472.46 3.3740e-09 4.3058e-04 6.5366e-01 3.4591e-01
3684.57 2.0790e-09 3.4178e-04 5.6710e-01 4.3255e-01
3909.64 1.4212e-09 2.8976e-04 4.9539e-01 5.0432e-01
4148.46 1.2873e-09 3.0729e-04 5.0542e-01 4.9428e-01
4401.86 1.3831e-09 3.4505e-04 5.6462e-01 4.3504e-01
4670.75 1.1737e-09 3.3638e-04 5.2628e-01 4.7338e-01
4956.05 5.0338e-10 2.1349e-04 4.2716e-01 5.7263e-01
