#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] c0 c1 c2 c3 c4 
15646.99 4.83e-06 9.32e-01 6.76e-02 1.01e-13 5.12e-29 
15960.30 1.45e-05 9.89e-01 1.10e-02 5.87e-16 1.65e-29 
16187.41 3.58e-05 9.98e-01 2.43e-03 6.13e-18 1.27e-29 
16354.17 7.38e-05 1.00e+00 3.98e-04 6.40e-20 2.07e-29 
16484.18 9.96e-05 1.00e+00 1.62e-04 4.65e-21 4.46e-30 
16593.12 1.08e-04 1.00e+00 4.96e-05 2.77e-22 1.25e-29 
16691.99 1.35e-04 1.00e+00 5.99e-05 7.45e-23 1.79e-29 
16788.59 2.02e-04 1.00e+00 1.10e-05 2.65e-24 1.19e-29 
16888.37 2.72e-04 1.00e+00 1.03e-05 1.13e-24 1.88e-29 
16998.79 3.39e-04 1.00e+00 2.64e-06 4.66e-26 3.31e-29 
17146.37 4.33e-04 1.00e+00 1.89e-06 6.43e-27 2.37e-29 
17415.23 9.64e-04 9.99e-01 2.16e-07 7.76e-29 2.02e-29 
17888.12 2.05e-03 9.98e-01 2.02e-08 4.10e-29 1.33e-29 
18532.37 8.14e-03 9.92e-01 1.16e-09 3.11e-29 1.37e-29 
19260.76 2.24e-02 9.78e-01 8.04e-11 2.58e-29 9.10e-30 
20034.10 1.88e-02 9.81e-01 6.10e-12 1.57e-29 1.91e-30 
20838.00 1.33e-01 8.67e-01 3.89e-13 1.34e-29 2.12e-30 
21647.97 2.13e-01 7.87e-01 4.67e-14 9.07e-30 1.35e-30 
22447.94 3.10e-01 6.90e-01 1.00e-14 8.49e-30 6.62e-31 
23245.88 4.76e-01 5.24e-01 1.28e-15 1.31e-29 9.98e-31 
24052.47 3.88e-01 6.12e-01 1.08e-15 2.19e-29 7.06e-31 
24867.72 6.07e-01 3.93e-01 3.90e-17 3.45e-30 1.46e-31 
25698.86 7.96e-01 2.04e-01 6.93e-18 3.04e-29 4.37e-30 
