#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Cr0 Cr1 Cr2 Cr3 Cr4
6.989e+09 7.453996e-06 9.999925e-01 1.621503e-14 6.359671e-58 3.086010e-139
6.995e+09 7.394614e-06 9.999926e-01 1.625689e-14 6.341573e-58 3.030010e-139
6.998e+09 7.369410e-06 9.999926e-01 1.625364e-14 6.305287e-58 2.976052e-139
7.000e+09 7.366845e-06 9.999926e-01 1.620063e-14 6.230870e-58 2.896278e-139
#TIME: 1.180960
#NVEL: 114
#vel_mid[km/s] Cr0 Cr1 Cr2 Cr3 Cr4
4.401e+07 3.866778e-26 6.731752e-18 1.460988e-10 3.005222e-04 9.996995e-01
8.862e+07 1.154341e-25 1.709626e-17 2.946487e-10 4.525835e-04 9.995474e-01
9.061e+07 1.015241e-25 1.532229e-17 2.712528e-10 4.311021e-04 9.995689e-01
9.444e+07 7.752849e-26 1.217468e-17 2.280658e-10 3.894346e-04 9.996106e-01
9.991e+07 5.314913e-26 8.825573e-18 1.790323e-10 3.381451e-04 9.996619e-01
1.061e+08 5.177479e-26 8.630659e-18 1.760509e-10 3.348559e-04 9.996651e-01
1.126e+08 5.023651e-26 8.410107e-18 1.726387e-10 3.310409e-04 9.996690e-01
1.194e+08 4.176873e-26 7.179819e-18 1.532174e-10 3.087691e-04 9.996912e-01
1.267e+08 2.411524e-26 4.488646e-18 1.076282e-10 2.516465e-04 9.997484e-01
1.345e+08 9.037834e-27 1.937344e-18 5.734108e-11 1.755769e-04 9.998244e-01
1.427e+08 2.444154e-27 6.339095e-19 2.499440e-11 1.106732e-04 9.998893e-01
1.514e+08 1.074443e-27 3.165050e-19 1.502042e-11 8.420772e-05 9.999158e-01
1.607e+08 4.485855e-28 1.530324e-19 8.885996e-12 6.404071e-05 9.999360e-01
1.705e+08 1.481936e-28 6.061366e-20 4.553393e-12 4.559227e-05 9.999544e-01
1.809e+08 6.186248e-29 2.919095e-20 2.692710e-12 3.520486e-05 9.999648e-01
1.919e+08 2.461400e-29 1.356513e-20 1.558226e-12 2.710441e-05 9.999729e-01
2.037e+08 8.996174e-30 5.884948e-21 8.610829e-13 2.059552e-05 9.999794e-01
2.161e+08 3.278391e-30 2.564425e-21 4.796125e-13 1.581683e-05 9.999842e-01
2.293e+08 1.062046e-30 1.025899e-21 2.530704e-13 1.190164e-05 9.999881e-01
2.433e+08 3.393014e-31 4.069985e-22 1.331139e-13 8.996714e-06 9.999910e-01
2.582e+08 1.523297e-31 2.130661e-22 8.502089e-14 7.424082e-06 9.999926e-01
2.739e+08 8.952070e-32 1.388728e-22 6.326132e-14 6.545063e-06 9.999935e-01
2.907e+08 6.356729e-32 1.061945e-22 5.269225e-14 6.026605e-06 9.999940e-01
3.084e+08 5.249705e-32 9.298716e-23 4.840465e-14 5.728725e-06 9.999943e-01
3.273e+08 5.054051e-32 9.323229e-23 4.901993e-14 5.633404e-06 9.999944e-01
3.472e+08 5.417859e-32 1.025598e-22 5.305924e-14 5.689050e-06 9.999943e-01
3.685e+08 6.649575e-32 1.272190e-22 6.270445e-14 5.955156e-06 9.999940e-01
3.910e+08 6.251687e-32 1.284565e-22 6.452991e-14 5.866911e-06 9.999941e-01
4.148e+08 5.800516e-32 1.247087e-22 6.396359e-14 5.770024e-06 9.999942e-01
4.402e+08 6.289992e-32 1.326558e-22 6.668116e-14 5.888684e-06 9.999941e-01
4.671e+08 5.104812e-32 1.125329e-22 5.955850e-14 5.584985e-06 9.999944e-01
4.956e+08 2.664797e-32 6.866099e-23 4.272969e-14 4.744685e-06 9.999953e-01
5.259e+08 1.430037e-32 4.305396e-23 3.130511e-14 4.060987e-06 9.999959e-01
5.580e+08 1.104365e-32 3.586722e-23 2.784493e-14 3.810638e-06 9.999962e-01
5.921e+08 9.353621e-33 3.218436e-23 2.608079e-14 3.662206e-06 9.999963e-01
6.282e+08 8.475909e-33 3.057002e-23 2.544225e-14 3.584577e-06 9.999964e-01
6.666e+08 9.605354e-33 3.467534e-23 2.806068e-14 3.721002e-06 9.999963e-01
7.074e+08 1.222612e-32 4.340588e-23 3.323331e-14 3.996074e-06 9.999960e-01
7.506e+08 1.411755e-32 5.093150e-23 3.787193e-14 4.214413e-06 9.999958e-01
7.964e+08 1.863311e-32 6.667935e-23 4.668282e-14 4.635922e-06 9.999954e-01
8.451e+08 3.682212e-32 1.207065e-22 7.230780e-14 5.745481e-06 9.999943e-01
8.967e+08 9.613932e-32 2.780370e-22 1.341950e-13 7.896463e-06 9.999921e-01
9.514e+08 3.862735e-31 9.316256e-22 3.314537e-13 1.290510e-05 9.999871e-01
1.010e+09 3.326668e-30 5.974634e-21 1.343243e-12 2.872636e-05 9.999713e-01
1.071e+09 7.304078e-29 8.786284e-20 1.066412e-11 1.000875e-04 9.998999e-01
1.137e+09 4.484367e-27 3.349875e-18 1.947146e-10 6.143481e-04 9.993857e-01
1.206e+09 5.557347e-25 2.589509e-16 7.107874e-09 5.964490e-03 9.940355e-01
1.279e+09 1.310737e-22 3.735246e-14 4.621228e-07 7.935328e-02 9.206463e-01
1.353e+09 3.189906e-20 5.400334e-12 2.685133e-05 6.708495e-01 3.291237e-01
1.419e+09 2.629106e-18 2.726733e-10 4.597868e-04 9.908794e-01 8.660812e-03
1.476e+09 3.665898e-16 2.192276e-08 9.415914e-03 9.905190e-01 6.504078e-05
1.524e+09 6.934470e-14 2.154768e-06 1.942078e-01 8.057897e-01 3.144313e-07
1.565e+09 4.360484e-12 5.973460e-05 8.905960e-01 1.093443e-01 1.783997e-10
1.596e+09 1.606873e-10 6.612947e-04 9.974220e-01 1.916691e-03 5.793320e-15
1.619e+09 2.486366e-09 4.287976e-03 9.956582e-01 5.383125e-05 6.476214e-19
1.635e+09 2.320108e-08 2.026390e-02 9.797336e-01 2.458050e-06 2.413560e-22
