#NTIMES:     65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ne1           ne2           ne3           ne4
    3.250795E+04    1.0000E+00    3.8457E-09    4.9919E-34    9.6694E-61
    3.365620E+04    1.0000E+00    5.6593E-09    8.4147E-34    1.2903E-60
    3.486705E+04    1.0000E+00    7.4398E-09    1.1910E-33    1.5994E-60
    3.613166E+04    1.0000E+00    9.8295E-09    1.7413E-33    2.0124E-60
    3.742115E+04    1.0000E+00    1.2943E-08    2.5992E-33    2.5438E-60
    3.871394E+04    1.0000E+00    1.6485E-08    3.7931E-33    3.1427E-60
    3.997047E+04    1.0000E+00    1.8140E-08    4.3702E-33    3.4330E-60
    4.112379E+04    1.0000E+00    2.0285E-08    5.2852E-33    3.7984E-60
    4.218343E+04    1.0000E+00    2.3750E-08    7.1411E-33    4.3725E-60
    4.320753E+04    1.0000E+00    2.7587E-08    9.7971E-33    5.0060E-60
    4.423621E+04    1.0000E+00    3.0925E-08    1.2911E-32    5.5663E-60
    4.529664E+04    1.0000E+00    3.3119E-08    1.5839E-32    5.9568E-60
    4.639486E+04    1.0000E+00    3.3992E-08    1.7953E-32    6.1481E-60
    4.752261E+04    1.0000E+00    3.4117E-08    1.9456E-32    6.2292E-60
    4.867617E+04    1.0000E+00    3.3733E-08    2.0330E-32    6.2355E-60
    4.985675E+04    1.0000E+00    3.2996E-08    2.0591E-32    6.1920E-60
    5.106564E+04    1.0000E+00    3.2064E-08    2.0362E-32    6.1273E-60
    5.230378E+04    1.0000E+00    3.1125E-08    1.9890E-32    6.0756E-60
    5.357136E+04    1.0000E+00    3.0371E-08    1.9458E-32    6.0689E-60
    5.486695E+04    1.0000E+00    2.9935E-08    1.9281E-32    6.1256E-60
    5.618695E+04    1.0000E+00    2.9914E-08    1.9520E-32    6.2570E-60
    5.752536E+04    1.0000E+00    3.0343E-08    2.0266E-32    6.4669E-60
    5.887450E+04    1.0000E+00    3.1120E-08    2.1436E-32    6.7387E-60
    6.022291E+04    1.0000E+00    3.2003E-08    2.2741E-32    7.0330E-60
    6.155592E+04    1.0000E+00    3.2768E-08    2.3879E-32    7.3141E-60
    6.285824E+04    1.0000E+00    3.3327E-08    2.4715E-32    7.5724E-60
    6.411280E+04    1.0000E+00    3.3666E-08    2.5220E-32    7.8088E-60
    6.529403E+04    1.0000E+00    3.3853E-08    2.5491E-32    8.0343E-60
    6.638404E+04    1.0000E+00    3.3893E-08    2.5532E-32    8.2338E-60
    6.736672E+04    1.0000E+00    3.3680E-08    2.5196E-32    8.3535E-60
    6.821143E+04    1.0000E+00    3.3432E-08    2.4805E-32    8.4105E-60
