#NTIMES: 265
#NSTAGES: 3
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Mg0 Mg1 Mg2
3.910e+08 2.884619e-15 2.911776e-06 9.999971e-01
4.148e+08 2.658157e-15 2.739481e-06 9.999973e-01
4.402e+08 2.794501e-15 2.801479e-06 9.999972e-01
4.671e+08 2.592621e-15 2.707439e-06 9.999973e-01
4.956e+08 1.909268e-15 2.331791e-06 9.999977e-01
5.259e+08 1.395427e-15 1.994035e-06 9.999980e-01
5.580e+08 1.181766e-15 1.825005e-06 9.999982e-01
5.921e+08 1.039070e-15 1.695550e-06 9.999983e-01
6.282e+08 9.320731e-16 1.584595e-06 9.999984e-01
6.666e+08 9.117897e-16 1.537505e-06 9.999985e-01
7.074e+08 9.150110e-16 1.501626e-06 9.999985e-01
7.506e+08 8.611090e-16 1.411935e-06 9.999986e-01
7.964e+08 8.494105e-16 1.351105e-06 9.999986e-01
8.451e+08 9.653148e-16 1.372420e-06 9.999986e-01
8.967e+08 1.165555e-15 1.410776e-06 9.999986e-01
9.514e+08 1.534440e-15 1.472269e-06 9.999985e-01
1.010e+09 2.451678e-15 1.624476e-06 9.999984e-01
1.071e+09 4.685855e-15 1.832092e-06 9.999982e-01
1.137e+09 1.023864e-14 2.018290e-06 9.999980e-01
1.206e+09 2.418673e-14 2.103405e-06 9.999979e-01
1.279e+09 6.500269e-14 2.204339e-06 9.999978e-01
1.353e+09 2.093234e-13 2.371539e-06 9.999976e-01
1.419e+09 5.923379e-13 2.463659e-06 9.999975e-01
1.476e+09 2.543078e-12 4.301688e-06 9.999957e-01
1.524e+09 1.253381e-11 1.383039e-05 9.999862e-01
1.565e+09 1.334652e-10 9.143413e-05 9.999086e-01
1.596e+09 1.611494e-09 6.307297e-04 9.993693e-01
1.619e+09 1.090831e-08 3.171162e-03 9.968288e-01
1.635e+09 4.985266e-08 1.192480e-02 9.880752e-01
1.648e+09 4.471524e-07 8.182631e-02 9.181732e-01
1.659e+09 2.681879e-06 3.463446e-01 6.536527e-01
1.669e+09 6.420895e-06 6.230518e-01 3.769418e-01
1.679e+09 1.266657e-05 8.518897e-01 1.480976e-01
1.689e+09 1.788288e-05 9.336584e-01 6.632368e-02
1.700e+09 2.400168e-05 9.712956e-01 2.868040e-02
1.715e+09 3.410112e-05 9.894202e-01 1.054573e-02
1.742e+09 7.109364e-05 9.982094e-01 1.719547e-03
1.789e+09 3.475578e-04 9.995995e-01 5.291722e-05
1.853e+09 1.309790e-03 9.986873e-01 2.933967e-06
1.926e+09 1.745738e-02 9.825426e-01 1.277255e-08
2.003e+09 1.868241e-02 9.813176e-01 7.818176e-09
2.084e+09 7.060842e-02 9.293916e-01 2.879525e-10
2.165e+09 1.009471e-01 8.990529e-01 9.174401e-11
2.245e+09 6.708557e-01 3.291443e-01 2.822641e-14
2.325e+09 2.736737e-01 7.263263e-01 2.818195e-12
2.405e+09 6.252848e-01 3.747152e-01 3.286052e-14
