#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    3.176516E+04   1.0000E-099   9.9993E-001   6.8380E-005   3.7047E-023   4.7480E-056   1.6582E-074   1.1708E-107   3.2620E-126
    3.259805E+04   1.0000E-099   9.9993E-001   7.4948E-005   3.9592E-023   5.1865E-056   1.7658E-074   1.2783E-107   3.4744E-126
    3.345740E+04   1.0000E-099   9.9991E-001   8.7410E-005   4.6654E-023   6.1007E-056   2.0692E-074   1.4944E-107   4.0494E-126
    3.438030E+04   1.0000E-099   9.9991E-001   8.8809E-005   4.3314E-023   6.0900E-056   1.9437E-074   1.5099E-107   3.8522E-126
    3.533529E+04   1.0000E-099   9.9989E-001   1.0638E-004   5.3336E-023   7.3883E-056   2.3810E-074   1.8201E-107   4.6926E-126
    3.634323E+04   1.0000E-099   9.9989E-001   1.0949E-004   5.1303E-023   7.5200E-056   2.3145E-074   1.8723E-107   4.6133E-126
    3.736894E+04   1.0000E-099   9.9988E-001   1.2129E-004   5.6079E-023   8.3493E-056   2.5380E-074   2.0843E-107   5.0766E-126
    3.839518E+04   1.0000E-099   9.9987E-001   1.3375E-004   6.1404E-023   9.2397E-056   2.7882E-074   2.3130E-107   5.5979E-126
    3.939114E+04   1.0000E-099   9.9987E-001   1.3420E-004   5.8408E-023   9.2092E-056   2.6779E-074   2.3283E-107   5.4340E-126
    4.037465E+04   1.0000E-099   9.9987E-001   1.3073E-004   5.3347E-023   8.9033E-056   2.4726E-074   2.2766E-107   5.0782E-126
    4.133441E+04   1.0000E-099   9.9987E-001   1.3142E-004   5.1492E-023   8.9249E-056   2.4040E-074   2.2992E-107   4.9784E-126
    4.215976E+04   1.0000E-099   9.9987E-001   1.3450E-004   5.1604E-023   9.1313E-056   2.4186E-074   2.3616E-107   5.0330E-126
    4.290657E+04   1.0000E-099   9.9986E-001   1.3563E-004   5.0871E-023   9.2001E-056   2.3927E-074   2.3883E-107   5.0022E-126
    4.365819E+04   1.0000E-099   9.9987E-001   1.3334E-004   4.8428E-023   9.0262E-056   2.2880E-074   2.3545E-107   4.8107E-126
    4.442297E+04   1.0000E-099   9.9987E-001   1.2702E-004   4.4194E-023   8.5728E-056   2.1000E-074   2.2504E-107   4.4472E-126
    4.520034E+04   1.0000E-099   9.9988E-001   1.1701E-004   3.8618E-023   7.8714E-056   1.8481E-074   2.0826E-107   3.9480E-126
    4.600555E+04   1.0000E-099   9.9990E-001   1.0421E-004   3.2323E-023   6.9901E-056   1.5602E-074   1.8673E-107   3.3678E-126
    4.686215E+04   1.0000E-099   9.9991E-001   9.0768E-005   2.6313E-023   6.0762E-056   1.2825E-074   1.6409E-107   2.8008E-126
    4.776422E+04   1.0000E-099   9.9992E-001   7.8022E-005   2.1097E-023   5.2197E-056   1.0391E-074   1.4262E-107   2.2977E-126
    4.868597E+04   1.0000E-099   9.9993E-001   6.6954E-005   1.6908E-023   4.4824E-056   8.4183E-075   1.2397E-107   1.8854E-126
    4.962544E+04   1.0000E-099   9.9994E-001   5.7682E-005   1.3626E-023   3.8691E-056   6.8593E-075   1.0833E-107   1.5563E-126
    5.058305E+04   1.0000E-099   9.9995E-001   5.0135E-005   1.1102E-023   3.3728E-056   5.6511E-075   9.5616E-108   1.2990E-126
    5.155912E+04   1.0000E-099   9.9996E-001   4.4136E-005   9.1941E-024   2.9807E-056   4.7314E-075   8.5558E-108   1.1018E-126
    5.255403E+04   1.0000E-099   9.9996E-001   3.9475E-005   7.7787E-024   2.6781E-056   4.0451E-075   7.7805E-108   9.5405E-127
    5.356816E+04   1.0000E-099   9.9996E-001   3.5943E-005   6.7547E-024   2.4505E-056   3.5464E-075   7.2010E-108   8.4651E-127
    5.460189E+04   1.0000E-099   9.9997E-001   3.3345E-005   6.0358E-024   2.2848E-056   3.1956E-075   6.7843E-108   7.7120E-127
    5.565558E+04   1.0000E-099   9.9997E-001   3.1535E-005   5.5618E-024   2.1711E-056   2.9650E-075   6.5062E-108   7.2248E-127
    5.672959E+04   1.0000E-099   9.9997E-001   3.0375E-005   5.2827E-024   2.1004E-056   2.8309E-075   6.3440E-108   6.9543E-127
    5.782432E+04   1.0000E-099   9.9997E-001   2.9761E-005   5.1635E-024   2.0660E-056   2.7770E-075   6.2826E-108   6.8655E-127
    5.894013E+04   1.0000E-099   9.9997E-001   2.9509E-005   5.1488E-024   2.0560E-056   2.7762E-075   6.2922E-108   6.8956E-127
    6.007747E+04   1.0000E-099   9.9997E-001   2.9443E-005   5.1813E-024   2.0593E-056   2.8002E-075   6.3476E-108   6.9789E-127
    6.123675E+04   1.0000E-099   9.9997E-001   2.9353E-005   5.2034E-024   2.0623E-056   2.8199E-075   6.4156E-108   7.0457E-127
    6.241838E+04   1.0000E-099   9.9997E-001   2.9148E-005   5.1860E-024   2.0597E-056   2.8209E-075   6.4872E-108   7.0639E-127
    6.362274E+04   1.0000E-099   9.9997E-001   2.8735E-005   5.1130E-024   2.0459E-056   2.7936E-075   6.5508E-108   7.0163E-127
    6.485024E+04   1.0000E-099   9.9997E-001   2.8248E-005   5.0027E-024   2.0312E-056   2.7477E-075   6.6441E-108   6.9357E-127
    6.610128E+04   1.0000E-099   9.9997E-001   2.7655E-005   4.8705E-024   2.0133E-056   2.6904E-075   6.7586E-108   6.8410E-127
    6.737631E+04   1.0000E-099   9.9997E-001   2.7034E-005   4.6788E-024   1.9937E-056   2.5972E-075   6.8816E-108   6.6618E-127
    6.867574E+04   1.0000E-099   9.9997E-001   2.5676E-005   4.3497E-024   1.8990E-056   2.3969E-075   6.6599E-108   6.1496E-127
    6.935606E+04   1.0000E-099   9.9997E-001   2.5126E-005   4.1614E-024   1.8106E-056   2.2228E-075   6.2550E-108   5.5980E-127
    6.969874E+04   1.0000E-099   9.9998E-001   2.3452E-005   3.7746E-024   1.6169E-056   1.9332E-075   5.4495E-108   4.7448E-127
    6.987071E+04   1.0000E-099   9.9998E-001   2.2104E-005   3.3220E-024   1.4445E-056   1.6353E-075   4.7611E-108   3.9191E-127
    6.995686E+04   1.0000E-099   9.9998E-001   1.8703E-005   2.4035E-024   1.1591E-056   1.1493E-075   3.7698E-108   2.7141E-127
    6.999782E+04   1.0000E-099   9.9999E-001   1.3907E-005   1.2115E-024   8.2198E-057   5.6943E-076   2.6627E-108   1.3377E-127
    6.999997E+04   1.0000E-099   9.9999E-001   1.2967E-005   1.0145E-024   7.6325E-057   4.7702E-076   2.4769E-108   1.1226E-127
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    8.772128E+02   1.0000E-099   2.3808E-027   3.5776E-020   4.9101E-014   8.5785E-009   1.0836E-004   7.3988E-002   9.2590E-001
    8.825108E+02   1.0000E-099   2.3808E-027   3.5776E-020   4.9101E-014   8.5785E-009   1.0836E-004   7.3988E-002   9.2590E-001
    8.985975E+02   1.0000E-099   2.3808E-027   3.5776E-020   4.9101E-014   8.5785E-009   1.0836E-004   7.3988E-002   9.2590E-001
    9.316560E+02   1.0000E-099   2.3809E-027   3.5777E-020   4.9103E-014   8.5787E-009   1.0836E-004   7.3989E-002   9.2590E-001
    9.893707E+02   1.0000E-099   2.3809E-027   3.5778E-020   4.9103E-014   8.5787E-009   1.0836E-004   7.3989E-002   9.2590E-001
    1.050609E+03   1.0000E-099   2.3799E-027   3.5763E-020   4.9085E-014   8.5761E-009   1.0833E-004   7.3980E-002   9.2591E-001
    1.115637E+03   1.0000E-099   2.3701E-027   3.5622E-020   4.8906E-014   8.5492E-009   1.0808E-004   7.3885E-002   9.2601E-001
    1.184691E+03   1.0000E-099   2.3189E-027   3.4859E-020   4.7906E-014   8.3943E-009   1.0656E-004   7.3312E-002   9.2658E-001
    1.258018E+03   1.0000E-099   2.2102E-027   3.3243E-020   4.5790E-014   8.0659E-009   1.0333E-004   7.2080E-002   9.2782E-001
    1.335885E+03   1.0000E-099   1.9875E-027   2.9920E-020   4.1415E-014   7.3803E-009   9.6477E-005   6.9401E-002   9.3050E-001
    1.418571E+03   1.0000E-099   8.9139E-028   1.4093E-020   2.0902E-014   4.1289E-009   6.2474E-005   5.4879E-002   9.4506E-001
    1.506375E+03   1.0000E-099   6.4614E-031   1.7456E-023   5.2000E-017   2.6939E-011   1.4722E-006   7.1263E-003   9.9287E-001
    1.599613E+03   1.0000E-099   3.3996E-031   9.7572E-024   3.1236E-017   1.7720E-011   1.0829E-006   6.0377E-003   9.9396E-001
    1.698623E+03   1.0000E-099   2.8288E-032   1.0072E-024   4.2034E-018   3.3718E-012   3.1807E-007   3.1069E-003   9.9689E-001
    1.803761E+03   1.0000E-099   1.0600E-032   3.9961E-025   1.8140E-018   1.6542E-012   1.8570E-007   2.3104E-003   9.9769E-001
    1.915407E+03   1.0000E-099   3.4847E-034   1.7693E-026   1.1599E-019   1.7135E-013   3.4913E-008   9.3851E-004   9.9906E-001
    2.033963E+03   1.0000E-099   9.2007E-035   5.2064E-027   3.9184E-020   6.9817E-014   1.7970E-008   6.5661E-004   9.9934E-001
    2.159857E+03   1.0000E-099   5.3588E-036   3.9004E-028   4.0048E-021   1.0746E-014   4.5529E-009   3.1625E-004   9.9968E-001
    2.293544E+03   1.0000E-099   4.3414E-037   4.0422E-029   5.5621E-022   2.1650E-015   1.4242E-009   1.7192E-004   9.9983E-001
    2.435505E+03   1.0000E-099   5.2053E-038   6.0328E-030   1.0720E-022   5.7401E-016   5.4758E-010   1.0472E-004   9.9990E-001
    2.586253E+03   1.0000E-099   2.6868E-039   4.1385E-031   1.0357E-023   8.6437E-017   1.3953E-010   5.1881E-005   9.9995E-001
    2.746332E+03   1.0000E-099   6.7148E-040   1.1980E-031   3.5554E-024   3.6690E-017   7.5700E-011   3.8061E-005   9.9996E-001
    2.916319E+03   1.0000E-099   1.9437E-040   3.9583E-032   1.3692E-024   1.7096E-017   4.3957E-011   2.8953E-005   9.9997E-001
    3.096828E+03   1.0000E-099   8.0211E-041   1.8568E-032   7.3411E-025   1.0579E-017   3.1641E-011   2.4560E-005   9.9998E-001
    3.288509E+03   1.0000E-099   5.8369E-041   1.4777E-032   6.3236E-025   9.6836E-018   3.0330E-011   2.4056E-005   9.9998E-001
    3.492055E+03   1.0000E-099   6.6503E-041   1.7792E-032   7.8741E-025   1.1998E-017   3.6269E-011   2.6365E-005   9.9997E-001
    3.708199E+03   1.0000E-099   9.0076E-041   2.5511E-032   1.1598E-024   1.7218E-017   4.8603E-011   3.0709E-005   9.9997E-001
    3.937722E+03   1.0000E-099   1.1709E-040   3.5812E-032   1.7005E-024   2.4871E-017   6.5980E-011   3.6168E-005   9.9996E-001
    4.181452E+03   1.0000E-099   3.3071E-040   1.0215E-031   4.6594E-024   6.0053E-017   1.3068E-010   5.2101E-005   9.9995E-001
    4.440267E+03   1.0000E-099   4.4845E-040   1.3328E-031   5.8307E-024   7.1663E-017   1.4799E-010   5.5546E-005   9.9994E-001
    4.715102E+03   1.0000E-099   1.5657E-040   5.0710E-032   2.4770E-024   3.5444E-017   8.8261E-011   4.2358E-005   9.9996E-001
    5.006948E+03   1.0000E-099   4.2944E-041   1.7098E-032   1.0293E-024   1.8230E-017   5.6388E-011   3.3817E-005   9.9997E-001
