#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] mg0 mg1 mg2 mg3 mg4 mg5 mg6
6.9886e+04 2.4586e-04 9.9975e-01 1.4322e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 2.4146e-04 9.9976e-01 1.4523e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 2.5422e-04 9.9975e-01 1.3756e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 2.1640e-04 9.9978e-01 1.6117e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 8.9518e-05 9.9991e-01 3.8972e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] mg0 mg1 mg2 mg3 mg4 mg5 mg6
4.4010e+02 1.2540e-27 1.0215e-18 5.5283e-11 4.4293e-05 1.1119e-01 8.8790e-01 8.6601e-04
8.8623e+02 3.9533e-19 3.8748e-12 2.4973e-06 2.5979e-02 8.7629e-01 9.7729e-02 1.3895e-06
9.0614e+02 3.9995e-19 3.9177e-12 2.5246e-06 2.6151e-02 8.7682e-01 9.7024e-02 1.3659e-06
9.4442e+02 3.9941e-19 3.9127e-12 2.5216e-06 2.6132e-02 8.7676e-01 9.7100e-02 1.3684e-06
9.9911e+02 4.0093e-19 3.9265e-12 2.5302e-06 2.6185e-02 8.7693e-01 9.6884e-02 1.3612e-06
1.0608e+03 3.9659e-19 3.8887e-12 2.5080e-06 2.6050e-02 8.7653e-01 9.7420e-02 1.3788e-06
1.1257e+03 3.9269e-19 3.8500e-12 2.4814e-06 2.5879e-02 8.7597e-01 9.8147e-02 1.4037e-06
1.1944e+03 3.7039e-19 3.6430e-12 2.3496e-06 2.5039e-02 8.7321e-01 1.0175e-01 1.5290e-06
1.2673e+03 2.9628e-19 2.9524e-12 1.9116e-06 2.2092e-02 8.6166e-01 1.1624e-01 2.1015e-06
1.3448e+03 1.1120e-19 1.1779e-12 7.8106e-07 1.2694e-02 7.9076e-01 1.9654e-01 7.6619e-06
1.4269e+03 1.3667e-20 1.6305e-13 1.1369e-07 3.5634e-03 5.4972e-01 4.4664e-01 7.7022e-05
1.5140e+03 1.0795e-21 1.4795e-14 1.1147e-08 6.8380e-04 2.6771e-01 7.3104e-01 5.7261e-04
1.6065e+03 1.1185e-22 1.7528e-15 1.4543e-09 1.5152e-04 1.2377e-01 8.7386e-01 2.2191e-03
1.7047e+03 1.4413e-23 2.5227e-16 2.2835e-10 3.7297e-05 5.7781e-02 9.3555e-01 6.6368e-03
1.8088e+03 1.5897e-24 3.1284e-17 3.1483e-11 8.1406e-06 2.4683e-02 9.5543e-01 1.9884e-02
1.9193e+03 1.4310e-25 3.2439e-18 3.7889e-12 1.5714e-06 9.6591e-03 9.3103e-01 5.9311e-02
2.0365e+03 1.0599e-26 2.8120e-19 3.9734e-13 2.6346e-07 3.3612e-03 8.3005e-01 1.6659e-01
