#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           v0           v1
    1.666808E+04   8.0574E-005   9.9992E-001
    1.676387E+04   1.2837E-004   9.9987E-001
    1.685344E+04   2.1260E-004   9.9979E-001
    1.694048E+04   3.5626E-004   9.9964E-001
    1.702877E+04   5.9204E-004   9.9941E-001
    1.712364E+04   9.6613E-004   9.9903E-001
    1.723140E+04   1.5961E-003   9.9840E-001
    1.736849E+04   2.9339E-003   9.9707E-001
    1.764428E+04   6.3296E-003   9.9367E-001
    1.825185E+04   6.8154E-003   9.9318E-001
    1.898577E+04   4.0994E-003   9.9590E-001
    1.978625E+04   2.8860E-003   9.9711E-001
    2.065037E+04   1.9663E-003   9.9803E-001
    2.155095E+04   1.4945E-003   9.9851E-001
    2.245768E+04   1.0553E-003   9.9894E-001
    2.340027E+04   7.3559E-004   9.9926E-001
    2.441765E+04   5.3297E-004   9.9947E-001
    2.552663E+04   4.0244E-004   9.9960E-001
    2.678810E+04   3.0736E-004   9.9969E-001
    2.832661E+04   2.6423E-004   9.9974E-001
    3.001704E+04   2.9751E-004   9.9970E-001
    3.165601E+04   2.3982E-004   9.9976E-001
    3.325288E+04   1.6105E-004   9.9984E-001
    3.484169E+04   1.1470E-004   9.9989E-001
    3.639765E+04   8.7541E-005   9.9991E-001
    3.790349E+04   6.8303E-005   9.9993E-001
    3.933015E+04   5.9146E-005   9.9994E-001
    4.064946E+04   5.4729E-005   9.9995E-001
    4.183748E+04   4.8440E-005   9.9995E-001
    4.295471E+04   4.1815E-005   9.9996E-001
    4.404536E+04   3.6510E-005   9.9996E-001
    4.514998E+04   3.2923E-005   9.9997E-001
    4.627877E+04   3.0947E-005   9.9997E-001
    4.742914E+04   2.9661E-005   9.9997E-001
    4.859884E+04   2.8688E-005   9.9997E-001
    4.979054E+04   2.7878E-005   9.9997E-001
    5.100851E+04   2.7119E-005   9.9997E-001
    5.225617E+04   2.6346E-005   9.9997E-001
    5.353554E+04   2.5534E-005   9.9997E-001
    5.484601E+04   2.4664E-005   9.9998E-001
    5.618429E+04   2.3702E-005   9.9998E-001
    5.754205E+04   2.2630E-005   9.9998E-001
    5.891132E+04   2.1447E-005   9.9998E-001
    6.027604E+04   2.0165E-005   9.9998E-001
    6.162485E+04   1.8845E-005   9.9998E-001
    6.293682E+04   1.7556E-005   9.9998E-001
    6.419493E+04   1.6290E-005   9.9998E-001
    6.537955E+04   1.5276E-005   9.9998E-001
    6.646379E+04   1.4441E-005   9.9999E-001
    6.743920E+04   1.3080E-005   9.9999E-001
    6.827833E+04   1.3404E-005   9.9999E-001
    6.898935E+04   1.2337E-005   9.9999E-001
    6.955810E+04   1.1691E-005   9.9999E-001
    6.978582E+04   1.1735E-005   9.9999E-001
    6.989995E+04   1.1523E-005   9.9999E-001
    6.995709E+04   1.1607E-005   9.9999E-001
    6.998568E+04   1.1504E-005   9.9999E-001
    6.999926E+04   1.1485E-005   9.9999E-001
    6.999997E+04   1.1486E-005   9.9999E-001
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.772128E+02   3.3927E-007   1.0000E+000
    8.821279E+02   3.3927E-007   1.0000E+000
    8.970391E+02   3.3927E-007   1.0000E+000
    9.276219E+02   3.3927E-007   1.0000E+000
    9.834559E+02   3.3927E-007   1.0000E+000
    1.043937E+03   3.3925E-007   1.0000E+000
    1.108129E+03   3.3922E-007   1.0000E+000
    1.176267E+03   3.3942E-007   1.0000E+000
    1.248596E+03   3.4015E-007   1.0000E+000
    1.325372E+03   3.3847E-007   1.0000E+000
    1.406869E+03   3.1513E-007   1.0000E+000
    1.493377E+03   2.7700E-007   1.0000E+000
    1.585205E+03   2.4740E-007   1.0000E+000
    1.682679E+03   2.2646E-007   1.0000E+000
    1.786147E+03   2.0761E-007   1.0000E+000
    1.895977E+03   1.8579E-007   1.0000E+000
    2.012561E+03   1.6621E-007   1.0000E+000
    2.136313E+03   1.4545E-007   1.0000E+000
    2.267674E+03   1.2369E-007   1.0000E+000
    2.407114E+03   1.0319E-007   1.0000E+000
    2.555127E+03   8.7164E-008   1.0000E+000
    2.712241E+03   7.6835E-008   1.0000E+000
    2.879017E+03   6.9281E-008   1.0000E+000
    3.056048E+03   6.2114E-008   1.0000E+000
    3.243964E+03   5.5928E-008   1.0000E+000
    3.443435E+03   5.0854E-008   1.0000E+000
    3.655171E+03   4.6156E-008   1.0000E+000
    3.879927E+03   4.0405E-008   1.0000E+000
    4.118504E+03   3.6530E-008   1.0000E+000
    4.371751E+03   3.7159E-008   1.0000E+000
    4.640569E+03   3.5949E-008   1.0000E+000
    4.925917E+03   3.1688E-008   1.0000E+000
    5.228812E+03   2.7979E-008   1.0000E+000
    5.550331E+03   2.6430E-008   1.0000E+000
    5.891620E+03   2.5268E-008   1.0000E+000
    6.253896E+03   2.3979E-008   1.0000E+000
    6.638447E+03   2.3152E-008   1.0000E+000
    7.046645E+03   2.2445E-008   1.0000E+000
    7.479943E+03   2.0988E-008   1.0000E+000
    7.939884E+03   1.9719E-008   1.0000E+000
    8.428107E+03   1.9249E-008   1.0000E+000
    8.946351E+03   1.8826E-008   1.0000E+000
    9.496461E+03   1.8676E-008   1.0000E+000
    1.008040E+04   1.9788E-008   1.0000E+000
    1.070024E+04   2.2184E-008   1.0000E+000
    1.135820E+04   2.6599E-008   1.0000E+000
    1.205661E+04   3.4355E-008   1.0000E+000
    1.279797E+04   4.7015E-008   1.0000E+000
    1.358477E+04   6.3520E-008   1.0000E+000
    1.437244E+04   9.5933E-008   1.0000E+000
    1.500937E+04   1.8581E-007   1.0000E+000
    1.552878E+04   5.6839E-007   1.0000E+000
    1.591273E+04   3.3119E-006   1.0000E+000
    1.617011E+04   1.2971E-005   9.9999E-001
    1.634952E+04   2.5534E-005   9.9997E-001
    1.648696E+04   4.0914E-005   9.9996E-001
    1.659878E+04   6.0654E-005   9.9994E-001
    1.669545E+04   9.1298E-005   9.9991E-001
    1.678508E+04   1.4391E-004   9.9986E-001
    1.687250E+04   2.3770E-004   9.9976E-001
    1.696111E+04   4.0202E-004   9.9960E-001
    1.705636E+04   6.8649E-004   9.9931E-001
    1.716416E+04   1.1728E-003   9.9883E-001
    1.730537E+04   2.2441E-003   9.9776E-001
    1.760745E+04   6.1096E-003   9.9389E-001
    1.821538E+04   6.8356E-003   9.9316E-001
    1.893451E+04   4.2319E-003   9.9577E-001
    1.971244E+04   2.9792E-003   9.9702E-001
    2.054375E+04   2.0679E-003   9.9793E-001
    2.140728E+04   1.5725E-003   9.9843E-001
    2.226561E+04   1.1353E-003   9.9886E-001
    2.313428E+04   8.1069E-004   9.9919E-001
    2.404497E+04   5.9520E-004   9.9940E-001
    2.500523E+04   4.5610E-004   9.9954E-001
    2.604263E+04   3.5660E-004   9.9964E-001
    2.724271E+04   2.8758E-004   9.9971E-001
    2.880103E+04   2.7074E-004   9.9973E-001
    3.057189E+04   2.8510E-004   9.9971E-001
    3.239972E+04   2.0077E-004   9.9980E-001
    3.417455E+04   1.3128E-004   9.9987E-001
    3.587716E+04   9.5517E-005   9.9990E-001
    3.749452E+04   7.2495E-005   9.9993E-001
    3.901907E+04   6.0675E-005   9.9994E-001
    4.041392E+04   5.5669E-005   9.9994E-001
    4.166067E+04   4.9446E-005   9.9995E-001
    4.282033E+04   4.2553E-005   9.9996E-001
    4.393802E+04   3.6949E-005   9.9996E-001
    4.506444E+04   3.3137E-005   9.9997E-001
    4.621047E+04   3.1044E-005   9.9997E-001
    4.737662E+04   2.9712E-005   9.9997E-001
    4.855943E+04   2.8717E-005   9.9997E-001
    4.976293E+04   2.7896E-005   9.9997E-001
    5.099069E+04   2.7131E-005   9.9997E-001
    5.224631E+04   2.6353E-005   9.9997E-001
    5.353171E+04   2.5537E-005   9.9997E-001
    5.484612E+04   2.4664E-005   9.9998E-001
    5.618687E+04   2.3700E-005   9.9998E-001
    5.754538E+04   2.2627E-005   9.9998E-001
    5.891516E+04   2.1443E-005   9.9998E-001
    6.027894E+04   2.0162E-005   9.9998E-001
    6.162742E+04   1.8843E-005   9.9998E-001
    6.293850E+04   1.7554E-005   9.9998E-001
    6.419616E+04   1.6289E-005   9.9998E-001
    6.537984E+04   1.5276E-005   9.9998E-001
    6.646444E+04   1.4441E-005   9.9999E-001
    6.743912E+04   1.3080E-005   9.9999E-001
    6.827867E+04   1.3404E-005   9.9999E-001
    6.898947E+04   1.2337E-005   9.9999E-001
    6.955800E+04   1.1691E-005   9.9999E-001
    6.978577E+04   1.1735E-005   9.9999E-001
    6.989993E+04   1.1523E-005   9.9999E-001
    6.995708E+04   1.1607E-005   9.9999E-001
    6.998567E+04   1.1504E-005   9.9999E-001
    6.999926E+04   1.1485E-005   9.9999E-001
    6.999997E+04   1.1486E-005   9.9999E-001
#TIME:     0.806
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.772128E+02   2.8513E-007   1.0000E+000
    8.817035E+02   2.8513E-007   1.0000E+000
    8.953142E+02   2.8513E-007   1.0000E+000
    9.231691E+02   2.8513E-007   1.0000E+000
    9.772176E+02   2.8513E-007   1.0000E+000
    1.037326E+03   2.8511E-007   1.0000E+000
    1.101111E+03   2.8507E-007   1.0000E+000
    1.168818E+03   2.8514E-007   1.0000E+000
    1.240689E+03   2.8536E-007   1.0000E+000
    1.316978E+03   2.8294E-007   1.0000E+000
    1.397959E+03   2.6645E-007   1.0000E+000
    1.483920E+03   2.3761E-007   1.0000E+000
    1.575166E+03   2.1184E-007   1.0000E+000
    1.672023E+03   1.9250E-007   1.0000E+000
    1.774835E+03   1.7638E-007   1.0000E+000
    1.883970E+03   1.5799E-007   1.0000E+000
    1.999815E+03   1.4102E-007   1.0000E+000
    2.122784E+03   1.2363E-007   1.0000E+000
    2.253313E+03   1.0518E-007   1.0000E+000
    2.391869E+03   8.7730E-008   1.0000E+000
    2.538945E+03   7.4023E-008   1.0000E+000
    2.695065E+03   6.4990E-008   1.0000E+000
    2.860784E+03   5.8526E-008   1.0000E+000
    3.036693E+03   5.2523E-008   1.0000E+000
    3.223420E+03   4.7258E-008   1.0000E+000
    3.421628E+03   4.2965E-008   1.0000E+000
    3.632023E+03   3.9128E-008   1.0000E+000
    3.855356E+03   3.4375E-008   1.0000E+000
    4.092421E+03   3.0671E-008   1.0000E+000
    4.344064E+03   3.1141E-008   1.0000E+000
    4.611180E+03   3.0436E-008   1.0000E+000
    4.894722E+03   2.7143E-008   1.0000E+000
    5.195698E+03   2.3901E-008   1.0000E+000
    5.515181E+03   2.2466E-008   1.0000E+000
    5.854309E+03   2.1460E-008   1.0000E+000
    6.214290E+03   2.0350E-008   1.0000E+000
    6.596406E+03   1.9635E-008   1.0000E+000
    7.002019E+03   1.9097E-008   1.0000E+000
    7.432572E+03   1.7916E-008   1.0000E+000
    7.889601E+03   1.6817E-008   1.0000E+000
    8.374732E+03   1.6430E-008   1.0000E+000
