#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    6.760567E+03   1.0000E-099   2.9466E-015   3.6712E-007   1.0000E+000
    7.179019E+03   1.0000E-099   2.8010E-015   3.5443E-007   1.0000E+000
    7.623372E+03   1.0000E-099   2.5020E-015   3.2744E-007   1.0000E+000
    8.095229E+03   1.0000E-099   2.3384E-015   3.1032E-007   1.0000E+000
    8.596292E+03   1.0000E-099   2.3341E-015   3.0471E-007   1.0000E+000
    9.128368E+03   1.0000E-099   2.3783E-015   2.9767E-007   1.0000E+000
    9.693378E+03   1.0000E-099   2.6768E-015   3.0089E-007   1.0000E+000
    1.029336E+04   1.0000E-099   3.6932E-015   3.3402E-007   1.0000E+000
    1.093048E+04   1.0000E-099   6.5088E-015   4.0577E-007   1.0000E+000
    1.160703E+04   1.0000E-099   1.6414E-014   5.8936E-007   1.0000E+000
    1.232546E+04   1.0000E-099   5.4791E-014   1.0450E-006   1.0000E+000
    1.308836E+04   1.0000E-099   1.6489E-013   1.9337E-006   1.0000E+000
    1.389955E+04   1.0000E-099   5.8189E-013   4.2742E-006   1.0000E+000
    1.474312E+04   1.0000E-099   8.3003E-012   2.4751E-005   9.9998E-001
    1.540367E+04   1.0000E-099   2.8623E-009   1.3117E-003   9.9869E-001
    1.581332E+04   1.0000E-099   5.1477E-007   3.7266E-002   9.6273E-001
    1.611284E+04   1.0000E-099   4.9796E-005   5.5937E-001   4.4058E-001
    1.636570E+04   1.0000E-099   8.2256E-004   9.8865E-001   1.0523E-002
    1.654730E+04   1.0000E-099   3.4555E-003   9.9603E-001   5.1650E-004
    1.669441E+04   1.0000E-099   1.2308E-002   9.8766E-001   3.3878E-005
