#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ca0           ca1           ca2           ca3           ca4
    1.698623E+03   1.0000E-099   3.4322E-018   2.1556E-012   6.7227E-006   9.9999E-001
    1.803761E+03   1.0000E-099   2.5406E-018   1.7430E-012   6.0624E-006   9.9999E-001
    1.915407E+03   1.0000E-099   7.9123E-019   7.5134E-013   4.0290E-006   1.0000E+000
    2.033963E+03   1.0000E-099   5.0636E-019   5.4662E-013   3.4613E-006   1.0000E+000
    2.159857E+03   1.0000E-099   1.9058E-019   2.7172E-013   2.4833E-006   1.0000E+000
    2.293544E+03   1.0000E-099   7.8047E-020   1.4296E-013   1.8315E-006   1.0000E+000
    2.435505E+03   1.0000E-099   3.6238E-020   8.2216E-014   1.4095E-006   1.0000E+000
    2.586253E+03   1.0000E-099   1.2698E-020   3.8981E-014   9.9603E-007   1.0000E+000
    2.746332E+03   1.0000E-099   7.6468E-021   2.7076E-014   8.3964E-007   1.0000E+000
    2.916319E+03   1.0000E-099   4.8536E-021   1.9533E-014   7.2071E-007   1.0000E+000
    3.096828E+03   1.0000E-099   3.3802E-021   1.4876E-014   6.3073E-007   1.0000E+000
    3.288509E+03   1.0000E-099   2.8308E-021   1.2822E-014   5.8247E-007   1.0000E+000
    3.492055E+03   1.0000E-099   2.7561E-021   1.2242E-014   5.6304E-007   1.0000E+000
    3.708199E+03   1.0000E-099   2.7999E-021   1.1956E-014   5.4853E-007   1.0000E+000
    3.937722E+03   1.0000E-099   2.7673E-021   1.1355E-014   5.2662E-007   1.0000E+000
    4.181452E+03   1.0000E-099   3.5807E-021   1.3019E-014   5.5254E-007   1.0000E+000
    4.440267E+03   1.0000E-099   4.0749E-021   1.4210E-014   5.7654E-007   1.0000E+000
    4.715102E+03   1.0000E-099   2.8478E-021   1.1081E-014   5.1398E-007   1.0000E+000
    5.006948E+03   1.0000E-099   1.6149E-021   7.2752E-015   4.1688E-007   1.0000E+000
    5.316859E+03   1.0000E-099   1.1956E-021   5.8853E-015   3.7631E-007   1.0000E+000
    5.645951E+03   1.0000E-099   1.0606E-021   5.3943E-015   3.6005E-007   1.0000E+000
    5.995413E+03   1.0000E-099   1.0276E-021   5.2390E-015   3.5351E-007   1.0000E+000
    6.366506E+03   1.0000E-099   1.0426E-021   5.2227E-015   3.5062E-007   1.0000E+000
    6.760567E+03   1.0000E-099   1.0676E-021   5.2640E-015   3.5053E-007   1.0000E+000
    7.179019E+03   1.0000E-099   1.1198E-021   5.3816E-015   3.5252E-007   1.0000E+000
    7.623372E+03   1.0000E-099   1.2587E-021   5.7041E-015   3.5871E-007   1.0000E+000
    8.095229E+03   1.0000E-099   1.4611E-021   6.2136E-015   3.7096E-007   1.0000E+000
