#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] co0 co1 co2 co3 co4 co5 co6 co7 co8
5.414644e+03 6.481902e+04 7.496501e+12 6.343775e-37 8.241485e-28 1.697095e-19 2.797767e-12 1.469370e-06 1.073562e-02 7.319740e-01 2.570042e-01 2.846566e-04 
5.745391e+03 6.486469e+04 6.945994e+12 4.468220e-37 6.225757e-28 1.366361e-19 2.402150e-12 1.333304e-06 1.019261e-02 7.272565e-01 2.622531e-01 2.964121e-04 
6.096342e+03 6.407089e+04 6.335684e+12 4.752735e-37 7.049793e-28 1.621452e-19 2.908039e-12 1.603828e-06 1.163216e-02 7.519779e-01 2.361681e-01 2.203060e-04 
6.468731e+03 6.310748e+04 5.884469e+12 7.225376e-37 1.099514e-27 2.557155e-19 4.492299e-12 2.305837e-06 1.470207e-02 7.916499e-01 1.935144e-01 1.313134e-04 
6.863867e+03 6.172118e+04 5.411674e+12 1.347247e-36 2.127959e-27 4.932996e-19 8.290750e-12 3.820654e-06 2.024325e-02 8.359839e-01 1.437063e-01 6.266425e-05 
7.283139e+03 5.954661e+04 4.714361e+12 3.791061e-36 6.250348e-27 1.446159e-18 2.246857e-11 8.660613e-06 3.341689e-02 8.824020e-01 8.415501e-02 1.740293e-05 
7.728022e+03 5.703412e+04 4.122050e+12 1.610009e-35 2.709527e-26 6.017899e-18 8.197302e-11 2.424831e-05 6.116071e-02 8.992489e-01 3.956302e-02 3.121847e-06 
8.200081e+03 5.442053e+04 3.734705e+12 1.030771e-34 1.690371e-25 3.428024e-17 3.841751e-10 8.038126e-05 1.193898e-01 8.652806e-01 1.524880e-02 3.900855e-07 
8.700974e+03 5.114273e+04 3.289411e+12 1.163658e-33 1.845381e-24 3.278983e-16 2.821451e-09 3.675512e-04 2.653689e-01 7.305270e-01 3.736516e-03 2.058897e-08 
9.232464e+03 4.706156e+04 2.807766e+12 3.073464e-32 4.556465e-23 6.598276e-15 3.782725e-08 2.407189e-03 5.996479e-01 3.976160e-01 3.288392e-04 1.919303e-10 
9.796417e+03 4.226044e+04 2.465270e+12 2.803940e-30 3.435399e-21 3.369963e-13 9.619117e-07 1.943454e-02 9.128346e-01 6.772644e-02 3.468117e-06 6.739926e-14 
1.039482e+04 3.701876e+04 2.090586e+12 1.761605e-27 1.571628e-18 8.289907e-11 7.599082e-05 2.383348e-01 7.599082e-01 1.681009e-03 1.007454e-09 8.462614e-20 
1.102978e+04 3.126194e+04 1.564678e+12 4.532707e-24 2.574578e-15 5.100806e-08 7.034761e-03 9.597251e-01 3.323985e-02 1.946042e-07 6.249092e-17 5.209591e-31 
1.170352e+04 2.542862e+04 1.116535e+12 1.246533e-20 4.194776e-12 2.466290e-05 2.888743e-01 7.110294e-01 7.169794e-05 1.990287e-13 3.927024e-27 2.231264e-46 
1.241868e+04 2.053010e+04 7.210157e+11 3.349700e-18 7.246591e-10 1.227484e-03 9.686770e-01 3.009554e-02 4.658523e-09 2.625041e-21 1.042622e-39 1.027833e-64 
1.316817e+04 1.677512e+04 4.542210e+11 2.245128e-16 3.376818e-08 1.755945e-02 9.820152e-01 4.252966e-04 1.031299e-13 1.228432e-29 1.033124e-52 1.818006e-83 
1.388905e+04 1.387293e+04 2.952221e+11 1.777578e-14 1.756110e-06 2.443096e-01 7.556853e-01 3.284655e-06 6.955740e-19 8.587333e-39 6.225817e-67 6.612247e-104 
1.450043e+04 1.182966e+04 1.952240e+11 2.752655e-13 1.904296e-05 8.167714e-01 1.832095e-01 1.236439e-08 4.061294e-24 1.101062e-47 1.805020e-80 3.700290e-123 
1.501511e+04 9.893538e+03 1.621894e+11 2.793348e-11 4.883734e-04 9.989456e-01 5.660691e-04 4.328764e-15 1.213534e-36 5.438704e-68 1.357826e-110 2.774849e-165 
1.546584e+04 8.152460e+03 1.523882e+11 2.595648e-07 2.123030e-01 7.876967e-01 2.284320e-09 1.800450e-28 2.344335e-62 1.822955e-109 6.376592e-172 7.164289e-251 
1.582815e+04 6.855699e+03 7.320094e+10 8.175104e-04 9.991794e-01 3.088373e-06 7.850695e-27 2.218957e-64 5.560368e-127 6.877469e-211 0.000000e+00 0.000000e+00 
1.609245e+04 5.437827e+03 1.491212e+10 5.834564e-01 4.165436e-01 5.096012e-14 1.113737e-49 1.698671e-110 1.595273e-209 0.000000e+00 0.000000e+00 0.000000e+00 
1.628237e+04 4.491904e+03 1.694479e+09 9.795648e-01 2.043523e-02 1.470854e-19 2.302731e-64 1.335222e-139 1.687865e-261 0.000000e+00 0.000000e+00 0.000000e+00 
1.642596e+04 4.241447e+03 5.489535e+08 9.980880e-01 1.912000e-03 2.615472e-23 6.974591e-74 3.679698e-158 2.344906e-294 0.000000e+00 0.000000e+00 0.000000e+00 
1.654240e+04 3.813396e+03 1.575370e+08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.664385e+04 3.516612e+03 3.559249e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.674015e+04 3.528576e+03 3.505691e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.683704e+04 3.317522e+03 1.250171e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.693972e+04 2.961097e+03 2.040825e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.705788e+04 2.888692e+03 3.178180e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.723487e+04 2.085620e+03 2.527659e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.759558e+04 1.795258e+03 1.390238e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.818065e+04 1.716666e+03 5.263430e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
