#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4
4.956e+08 5.330140e-32 1.019600e-22 6.202637e-14 8.549139e-06 9.999915e-01
5.259e+08 2.860493e-32 6.393617e-23 4.544371e-14 7.317464e-06 9.999927e-01
5.580e+08 2.220534e-32 5.346059e-23 4.055067e-14 6.892263e-06 9.999931e-01
5.921e+08 1.894898e-32 4.822842e-23 3.815826e-14 6.659228e-06 9.999933e-01
6.282e+08 1.734991e-32 4.614917e-23 3.746307e-14 6.564756e-06 9.999934e-01
6.666e+08 1.995608e-32 5.290417e-23 4.169824e-14 6.881344e-06 9.999931e-01
7.074e+08 2.591629e-32 6.718111e-23 4.999713e-14 7.481362e-06 9.999925e-01
7.506e+08 3.064859e-32 8.018671e-23 5.781261e-14 7.995403e-06 9.999920e-01
7.964e+08 4.160142e-32 1.071115e-22 7.248702e-14 8.916557e-06 9.999911e-01
8.451e+08 8.536228e-32 1.992168e-22 1.148553e-13 1.122193e-05 9.999888e-01
8.967e+08 2.347391e-31 4.764089e-22 2.198786e-13 1.567094e-05 9.999843e-01
9.514e+08 1.016112e-30 1.685330e-21 5.675511e-13 2.596798e-05 9.999740e-01
1.010e+09 9.747168e-30 1.170259e-20 2.449201e-12 5.820618e-05 9.999418e-01
1.071e+09 2.514809e-28 1.943599e-19 2.133907e-11 2.023990e-04 9.997976e-01
1.137e+09 1.949446e-26 8.896863e-18 4.462994e-10 1.241450e-03 9.987585e-01
1.206e+09 3.240765e-24 8.779655e-16 1.948569e-08 1.222863e-02 9.877713e-01
1.279e+09 1.000267e-21 1.600364e-13 1.476426e-06 1.568874e-01 8.431112e-01
1.353e+09 2.148710e-19 2.015172e-11 6.721821e-05 8.252938e-01 1.746390e-01
1.419e+09 2.269802e-17 1.318061e-09 1.277252e-03 9.953669e-01 3.355818e-03
1.476e+09 5.271871e-15 1.801729e-07 3.642233e-02 9.635566e-01 2.088081e-05
1.524e+09 9.382580e-13 1.669127e-05 5.770836e-01 4.228997e-01 4.554192e-08
1.565e+09 2.774809e-11 2.113920e-04 9.846844e-01 1.510417e-02 5.553129e-12
1.596e+09 1.219650e-09 2.615654e-03 9.972167e-01 1.676210e-04 9.013870e-17
1.619e+09 2.418001e-08 2.001395e-02 9.799826e-01 3.397261e-06 5.799191e-21
1.635e+09 2.656637e-07 1.022751e-01 8.977245e-01 1.107075e-07 1.255188e-24
1.648e+09 3.709928e-06 5.405476e-01 4.594487e-01 5.174790e-10 4.498230e-30
1.659e+09 1.558887e-05 9.177032e-01 8.228120e-02 9.106863e-13 6.310711e-36
1.669e+09 2.904284e-05 9.800348e-01 1.993612e-02 9.520531e-15 4.876621e-40
1.679e+09 4.902510e-05 9.952664e-01 4.684591e-03 9.214815e-17 3.091856e-44
1.689e+09 7.251375e-05 9.985256e-01 1.401851e-03 1.847260e-18 8.439066e-48
1.700e+09 1.047332e-04 9.994379e-01 4.573591e-04 4.955445e-20 4.276935e-51
1.715e+09 2.087578e-04 9.997151e-01 7.612271e-05 1.812995e-22 3.955316e-56
1.742e+09 8.743933e-04 9.991228e-01 2.801105e-06 7.858790e-27 5.091480e-65
1.789e+09 3.547560e-03 9.964523e-01 9.746363e-08 2.586124e-31 3.339162e-74
1.853e+09 5.831474e-03 9.941685e-01 2.427942e-08 3.110414e-33 3.341156e-78
1.926e+09 1.067096e-02 9.893290e-01 4.733886e-09 1.797005e-35 7.573459e-83
2.003e+09 5.674583e-02 9.432542e-01 7.924263e-11 7.179005e-41 7.239843e-94
2.084e+09 7.797034e-02 9.220297e-01 2.527500e-11 1.768663e-42 2.943207e-97
