#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
22447.94 1.1540e-03 2.3740e-01 5.4130e-01 9.3400e-01
23245.88 6.7430e-06 1.2390e-01 3.4400e-01 6.6940e-01
24052.47 6.5690e-04 5.2290e-02 2.1480e-01 5.0950e-01
24867.72 2.0030e-04 2.7050e-02 1.2310e-01 3.9280e-01
25698.86 5.1940e-05 1.7080e-02 8.1570e-02 2.7220e-01
26587.16 3.5310e-05 7.7470e-03 4.6060e-02 1.7950e-01
27637.54 2.5560e-05 2.4180e-03 1.9570e-02 1.0500e-01
28986.97 4.4420e-06 5.5290e-04 7.9200e-03 4.7210e-02
#TIME: 216.97
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
1060.83 1.5910e+05 1.2110e+05 5.1150e+04 2.0890e+04
1919.29 3.4330e+05 1.7210e+05 8.0820e+04 3.0330e+04
2581.60 2.3890e+05 2.1390e+05 1.0230e+05 4.5990e+04
3084.17 2.8160e+04 1.5520e+05 6.7110e+04 3.6930e+04
3472.46 3.3860e+02 7.3850e+04 3.6670e+04 2.2370e+04
3909.64 2.1210e+01 2.3070e+04 1.5130e+04 1.0270e+04
4148.46 1.4490e+01 1.2700e+04 8.6130e+03 6.1620e+03
4670.75 6.3220e+00 5.4300e+03 3.6480e+03 2.5810e+03
4956.05 2.0750e+00 3.6740e+03 2.7620e+03 2.0500e+03
5258.79 7.2370e-01 2.7050e+03 2.4260e+03 1.8790e+03
5580.02 1.8010e-01 2.2550e+03 2.3560e+03 1.8740e+03
