#NTIMES: 265
#NSTAGES: 4
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] ca0 ca1 ca2 ca3
9.061e+02 1.307272e-18 1.109534e-10 1.384855e-05 9.999862e-01
9.444e+02 1.090508e-18 9.651162e-11 1.287951e-05 9.999871e-01
9.991e+02 8.459312e-19 7.939609e-11 1.166597e-05 9.999883e-01
1.061e+03 8.311624e-19 7.832766e-11 1.158740e-05 9.999884e-01
1.126e+03 8.145877e-19 7.711313e-11 1.149768e-05 9.999885e-01
1.194e+03 7.199684e-19 7.008257e-11 1.096864e-05 9.999890e-01
1.267e+03 4.982994e-19 5.273727e-11 9.576895e-06 9.999904e-01
1.345e+03 2.585041e-19 3.172194e-11 7.639569e-06 9.999924e-01
1.427e+03 1.077119e-19 1.611721e-11 5.823165e-06 9.999942e-01
1.514e+03 6.179677e-20 1.054335e-11 4.964183e-06 9.999950e-01
1.607e+03 3.394578e-20 6.728633e-12 4.195901e-06 9.999958e-01
1.705e+03 1.594550e-20 3.803592e-12 3.439182e-06 9.999966e-01
1.809e+03 8.790679e-21 2.425158e-12 2.964154e-06 9.999970e-01
1.919e+03 4.675246e-21 1.509562e-12 2.539651e-06 9.999975e-01
2.037e+03 2.343267e-21 8.996918e-13 2.154656e-06 9.999978e-01
2.161e+03 1.166034e-21 5.360137e-13 1.822886e-06 9.999982e-01
2.293e+03 5.301625e-22 3.012176e-13 1.498929e-06 9.999985e-01
2.433e+03 2.382090e-22 1.681495e-13 1.229533e-06 9.999988e-01
2.582e+03 1.357013e-22 1.117155e-13 1.069649e-06 9.999989e-01
2.739e+03 9.329334e-23 8.518333e-14 9.738940e-07 9.999990e-01
2.907e+03 7.284840e-23 7.163010e-14 9.079464e-07 9.999991e-01
3.084e+03 6.256012e-23 6.522224e-14 8.531750e-07 9.999991e-01
3.273e+03 5.927751e-23 6.435993e-14 8.107972e-07 9.999992e-01
3.472e+03 6.028937e-23 6.716236e-14 7.796596e-07 9.999992e-01
3.685e+03 6.686029e-23 7.524444e-14 7.585470e-07 9.999992e-01
3.910e+03 6.101251e-23 7.369837e-14 6.972816e-07 9.999993e-01
4.148e+03 5.645673e-23 7.132894e-14 6.629217e-07 9.999993e-01
4.402e+03 5.994421e-23 7.429112e-14 6.756688e-07 9.999993e-01
4.671e+03 5.158458e-23 6.683183e-14 6.473820e-07 9.999994e-01
4.956e+03 3.184689e-23 4.822992e-14 5.545822e-07 9.999994e-01
5.259e+03 1.996624e-23 3.533176e-14 4.746112e-07 9.999995e-01
5.580e+03 1.630054e-23 3.111149e-14 4.390177e-07 9.999996e-01
5.921e+03 1.420453e-23 2.871564e-14 4.131648e-07 9.999996e-01
6.282e+03 1.295663e-23 2.744525e-14 3.927066e-07 9.999996e-01
6.666e+03 1.386797e-23 2.938519e-14 3.905625e-07 9.999996e-01
7.074e+03 1.604800e-23 3.341109e-14 3.952808e-07 9.999996e-01
7.506e+03 1.714924e-23 3.623531e-14 3.877527e-07 9.999996e-01
7.964e+03 2.011303e-23 4.208162e-14 3.908447e-07 9.999996e-01
8.451e+03 3.140203e-23 6.002025e-14 4.294492e-07 9.999996e-01
8.967e+03 5.894191e-23 9.893598e-14 4.982901e-07 9.999995e-01
9.514e+03 1.469792e-22 2.040582e-13 6.396973e-07 9.999994e-01
1.010e+04 6.129609e-22 6.239929e-13 1.035923e-06 9.999990e-01
1.071e+04 4.702939e-21 3.108483e-12 2.571756e-06 9.999974e-01
1.137e+04 6.896861e-20 2.660052e-11 1.326751e-05 9.999867e-01
1.206e+04 1.538668e-18 3.319838e-10 1.378146e-04 9.998622e-01
1.279e+04 5.385494e-17 6.025201e-09 2.343664e-03 9.976563e-01
1.353e+04 3.307595e-15 1.731538e-07 6.435787e-02 9.356420e-01
1.419e+04 9.598341e-14 2.170910e-06 8.343397e-01 1.656581e-01
1.476e+04 3.233837e-13 2.864278e-06 9.988930e-01 1.104134e-03
1.524e+04 1.221393e-12 4.521866e-06 9.999905e-01 4.931051e-06
1.565e+04 6.625532e-12 1.149849e-05 9.999885e-01 1.556679e-08
1.596e+04 7.773353e-11 5.697208e-05 9.999430e-01 2.156384e-11
1.619e+04 4.585608e-10 2.197005e-04 9.997803e-01 6.657044e-14
1.635e+04 1.816545e-09 6.852564e-04 9.993147e-01 4.370661e-16
1.648e+04 9.735424e-09 3.116218e-03 9.968838e-01 3.344580e-19
1.659e+04 4.545012e-08 1.312041e-02 9.868795e-01 2.678605e-22
1.669e+04 1.164463e-07 3.265149e-02 9.673484e-01 1.972255e-24
1.679e+04 2.750205e-07 7.642324e-02 9.235765e-01 1.258779e-26
1.689e+04 5.273710e-07 1.457859e-01 8.542136e-01 1.616831e-28
1.700e+04 9.605400e-07 2.513159e-01 7.486831e-01 2.730193e-30
1.715e+04 2.638853e-06 5.134328e-01 4.865645e-01 4.624383e-33
1.742e+04 1.135296e-05 9.059382e-01 9.405041e-02 2.805364e-38
1.789e+04 3.130923e-05 9.888662e-01 1.110245e-02 7.012396e-44
1.853e+04 4.240648e-05 9.952994e-01 4.658226e-03 2.517590e-46
1.926e+04 6.234117e-05 9.982901e-01 1.647607e-03 3.609662e-49
2.003e+04 2.104202e-04 9.996797e-01 1.098916e-04 6.210511e-56
2.084e+04 2.503576e-04 9.996936e-01 5.602496e-05 5.358899e-58
2.165e+04 5.362869e-04 9.994550e-01 8.676929e-06 7.023377e-63
2.245e+04 9.050038e-05 9.996662e-01 2.432691e-04 2.179200e-55
2.325e+04 1.257085e-03 9.987422e-01 7.070296e-07 6.011207e-70
