#NTIMES: 49
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
18532.37 5.7603e+03 1.3784e-18 6.7156e+04 4.3958e+04
19260.76 6.0093e+03 1.0170e-18 5.0784e+04 3.2511e+04
20034.10 6.0589e+03 7.1121e-19 3.7529e+04 2.2756e+04
20838.00 6.2200e+03 5.0528e-19 2.8743e+04 1.6175e+04
21647.97 6.3795e+03 3.8438e-19 2.2706e+04 1.2316e+04
22447.94 6.8912e+03 2.7632e-19 1.6260e+04 8.8710e+03
23245.88 7.2135e+03 1.9517e-19 1.2509e+04 6.2878e+03
24052.47 7.8780e+03 1.4301e-19 9.1256e+03 4.6401e+03
24867.72 8.1157e+03 1.0971e-19 7.3590e+03 3.6025e+03
25698.86 9.1319e+03 8.5266e-20 5.6784e+03 2.8530e+03
26587.16 9.7050e+03 6.4353e-20 4.5832e+03 2.2160e+03
27637.54 1.0667e+04 4.6027e-20 3.5467e+03 1.6559e+03
28986.97 1.2539e+04 3.0978e-20 2.6370e+03 1.1873e+03
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1060.83 4.1906e+03 4.1897e-16 5.2558e+06 3.1628e+06
1919.29 4.0940e+03 4.2912e-16 6.5698e+06 4.0844e+06
2581.60 4.4562e+03 3.5276e-16 6.6119e+06 3.6607e+06
3084.17 5.0863e+03 2.9534e-16 6.3322e+06 3.1478e+06
3472.46 5.5993e+03 2.2409e-16 5.3536e+06 2.4784e+06
3909.64 6.0446e+03 1.4444e-16 3.8163e+06 1.7611e+06
