#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    3.708199E+03   1.0000E-099   1.0000E-099   1.3186E-008   1.0000E+000
    3.937722E+03   1.0000E-099   1.0000E-099   1.2931E-008   1.0000E+000
    4.181452E+03   1.0000E-099   1.0000E-099   1.3970E-008   1.0000E+000
    4.440267E+03   1.0000E-099   1.0000E-099   1.4604E-008   1.0000E+000
    4.715102E+03   1.0000E-099   1.0000E-099   1.2842E-008   1.0000E+000
    5.006948E+03   1.0000E-099   1.0000E-099   1.0400E-008   1.0000E+000
    5.316859E+03   1.0000E-099   1.0000E-099   9.3395E-009   1.0000E+000
    5.645951E+03   1.0000E-099   1.0000E-099   8.9438E-009   1.0000E+000
    5.995413E+03   1.0000E-099   1.0000E-099   8.8284E-009   1.0000E+000
    6.366506E+03   1.0000E-099   1.0000E-099   8.8406E-009   1.0000E+000
    6.760567E+03   1.0000E-099   1.0000E-099   8.8922E-009   1.0000E+000
    7.179019E+03   1.0000E-099   1.0000E-099   9.0132E-009   1.0000E+000
    7.623372E+03   1.0000E-099   1.0000E-099   9.3307E-009   1.0000E+000
    8.095229E+03   1.0000E-099   1.0000E-099   9.7834E-009   1.0000E+000
    8.596292E+03   1.0000E-099   1.0000E-099   1.0504E-008   1.0000E+000
    9.128368E+03   1.0000E-099   1.0000E-099   1.2199E-008   1.0000E+000
    9.693378E+03   1.0000E-099   1.0000E-099   1.6097E-008   1.0000E+000
    1.029336E+04   1.0000E-099   1.0000E-099   2.4937E-008   1.0000E+000
    1.093048E+04   1.0000E-099   1.0000E-099   5.5345E-008   1.0000E+000
    1.160703E+04   1.0000E-099   1.0000E-099   1.8941E-007   1.0000E+000
    1.232546E+04   1.0000E-099   1.0000E-099   1.0825E-006   1.0000E+000
    1.308836E+04   1.0000E-099   1.0000E-099   4.9684E-006   1.0000E+000
    1.389955E+04   1.0000E-099   1.0000E-099   3.0312E-005   9.9997E-001
    1.474312E+04   1.0000E-099   1.0000E-099   9.7095E-004   9.9903E-001
    1.540367E+04   1.0000E-099   1.0000E-099   6.1840E-001   3.8160E-001
    1.581332E+04   1.0000E-099   1.0000E-099   9.9828E-001   1.7248E-003
    1.611284E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.6163E-006
    1.636570E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5508E-009
    1.654730E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.1788E-012
    1.669441E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.0192E-014
    1.681682E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.0724E-016
    1.692241E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.6253E-019
    1.702116E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.8473E-021
    1.711664E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.8832E-023
    1.721561E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.4634E-024
    1.732334E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.1698E-025
    1.744562E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.6049E-026
    1.759425E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.2418E-027
    1.788224E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.4341E-029
    1.867332E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.5217E-031
    1.962851E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0740E-031
    2.067444E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.9174E-031
    2.182447E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.8061E-031
    2.306690E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.2039E-030
    2.438107E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.6160E-030
    2.587845E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.9259E-030
    2.749199E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5002E-029
    2.896661E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7466E-029
    3.023928E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6035E-029
    3.138852E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.2647E-029
    3.250795E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.9417E-029
    3.365620E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.2966E-029
    3.486705E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.5530E-029
    3.613166E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.1408E-029
    3.742115E+04   1.0000E-099   1.0000E-099   1.0000E+000   9.0664E-029
    3.871394E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.1112E-028
    3.997047E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.1915E-028
    4.112379E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2932E-028
    4.218343E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4575E-028
    4.320753E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6268E-028
    4.423621E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7593E-028
    4.529664E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8308E-028
    4.639486E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8402E-028
    4.752261E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8188E-028
    4.867617E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7790E-028
    4.985675E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7274E-028
    5.106564E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6703E-028
    5.230378E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6160E-028
    5.357136E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5731E-028
    5.486695E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5475E-028
    5.618695E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5436E-028
    5.752536E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5626E-028
    5.887450E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5992E-028
    6.022291E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6408E-028
