#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           na0           na1
    4.295471E+04   2.2621E-004   9.9977E-001
    4.404536E+04   1.9278E-004   9.9981E-001
    4.514998E+04   1.6175E-004   9.9984E-001
    4.627877E+04   1.3695E-004   9.9986E-001
    4.742914E+04   1.1583E-004   9.9988E-001
    4.859884E+04   9.7550E-005   9.9990E-001
    4.979054E+04   8.1905E-005   9.9992E-001
    5.100851E+04   6.8594E-005   9.9993E-001
    5.225617E+04   5.7180E-005   9.9994E-001
    5.353554E+04   4.7274E-005   9.9995E-001
    5.484601E+04   3.8757E-005   9.9996E-001
    5.618429E+04   3.1561E-005   9.9997E-001
    5.754205E+04   2.5720E-005   9.9997E-001
    5.891132E+04   2.0976E-005   9.9998E-001
    6.027604E+04   1.7147E-005   9.9998E-001
    6.162485E+04   1.4067E-005   9.9999E-001
    6.293682E+04   1.1645E-005   9.9999E-001
    6.419493E+04   9.7343E-006   9.9999E-001
    6.537955E+04   8.2190E-006   9.9999E-001
    6.646379E+04   7.0225E-006   9.9999E-001
    6.743920E+04   6.0860E-006   9.9999E-001
    6.827833E+04   5.3740E-006   9.9999E-001
    6.898935E+04   4.8394E-006   1.0000E+000
    6.955810E+04   4.4520E-006   1.0000E+000
    6.978582E+04   4.2989E-006   1.0000E+000
    6.989995E+04   4.2128E-006   1.0000E+000
    6.995709E+04   4.1522E-006   1.0000E+000
    6.998568E+04   4.1096E-006   1.0000E+000
    6.999926E+04   4.0698E-006   1.0000E+000
    6.999997E+04   4.0637E-006   1.0000E+000
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.772128E+02   4.5667E-006   1.0000E+000
    8.821279E+02   4.5667E-006   1.0000E+000
    8.970391E+02   4.5667E-006   1.0000E+000
    9.276219E+02   4.5667E-006   1.0000E+000
    9.834559E+02   4.5668E-006   1.0000E+000
    1.043937E+03   4.5666E-006   1.0000E+000
    1.108129E+03   4.5662E-006   1.0000E+000
    1.176267E+03   4.5673E-006   1.0000E+000
    1.248596E+03   4.5719E-006   1.0000E+000
    1.325372E+03   4.5513E-006   1.0000E+000
    1.406869E+03   4.3096E-006   1.0000E+000
