#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    1.062646E+03   1.0000E-099   3.2442E-013   2.8620E-006   1.0000E+000
    1.127988E+03   1.0000E-099   3.2417E-013   2.8612E-006   1.0000E+000
    1.197348E+03   1.0000E-099   3.2417E-013   2.8622E-006   1.0000E+000
    1.270973E+03   1.0000E-099   3.2451E-013   2.8661E-006   1.0000E+000
    1.349125E+03   1.0000E-099   3.1115E-013   2.8195E-006   1.0000E+000
    1.432083E+03   1.0000E-099   2.0955E-013   2.3905E-006   1.0000E+000
    1.520141E+03   1.0000E-099   1.3014E-013   1.9615E-006   1.0000E+000
    1.613615E+03   1.0000E-099   9.5285E-014   1.7170E-006   1.0000E+000
    1.712836E+03   1.0000E-099   7.5324E-014   1.5563E-006   1.0000E+000
    1.818158E+03   1.0000E-099   5.6327E-014   1.3831E-006   1.0000E+000
    1.929957E+03   1.0000E-099   3.9931E-014   1.1989E-006   1.0000E+000
    2.048630E+03   1.0000E-099   2.9051E-014   1.0524E-006   1.0000E+000
    2.174600E+03   1.0000E-099   1.9462E-014   8.9070E-007   1.0000E+000
    2.308316E+03   1.0000E-099   1.2699E-014   7.4041E-007   1.0000E+000
    2.450254E+03   1.0000E-099   7.9862E-015   6.0637E-007   1.0000E+000
    2.600920E+03   1.0000E-099   5.2690E-015   5.0798E-007   1.0000E+000
    2.760850E+03   1.0000E-099   3.9505E-015   4.4872E-007   1.0000E+000
    2.930615E+03   1.0000E-099   3.1044E-015   4.0286E-007   1.0000E+000
    3.110818E+03   1.0000E-099   2.4639E-015   3.5984E-007   1.0000E+000
    3.302102E+03   1.0000E-099   2.0529E-015   3.2584E-007   1.0000E+000
    3.505148E+03   1.0000E-099   1.7813E-015   2.9888E-007   1.0000E+000
    3.720679E+03   1.0000E-099   1.5413E-015   2.7217E-007   1.0000E+000
    3.949463E+03   1.0000E-099   1.2735E-015   2.4058E-007   1.0000E+000
    4.192316E+03   1.0000E-099   1.2147E-015   2.2917E-007   1.0000E+000
    4.450101E+03   1.0000E-099   1.2738E-015   2.3355E-007   1.0000E+000
    4.723737E+03   1.0000E-099   1.1045E-015   2.1984E-007   1.0000E+000
    5.014199E+03   1.0000E-099   7.8882E-016   1.8674E-007   1.0000E+000
    5.322522E+03   1.0000E-099   6.3933E-016   1.6872E-007   1.0000E+000
    5.649804E+03   1.0000E-099   5.8477E-016   1.6132E-007   1.0000E+000
    5.997210E+03   1.0000E-099   5.4337E-016   1.5450E-007   1.0000E+000
    6.365978E+03   1.0000E-099   5.0577E-016   1.4761E-007   1.0000E+000
    6.757421E+03   1.0000E-099   4.8830E-016   1.4383E-007   1.0000E+000
    7.172935E+03   1.0000E-099   4.6975E-016   1.3945E-007   1.0000E+000
    7.613998E+03   1.0000E-099   4.3214E-016   1.3109E-007   1.0000E+000
    8.082182E+03   1.0000E-099   4.1511E-016   1.2591E-007   1.0000E+000
    8.579155E+03   1.0000E-099   4.2704E-016   1.2525E-007   1.0000E+000
    9.106686E+03   1.0000E-099   4.5372E-016   1.2523E-007   1.0000E+000
    9.666656E+03   1.0000E-099   5.4333E-016   1.3117E-007   1.0000E+000
    1.026106E+04   1.0000E-099   8.0232E-016   1.5113E-007   1.0000E+000
    1.089201E+04   1.0000E-099   1.5536E-015   1.9619E-007   1.0000E+000
    1.156176E+04   1.0000E-099   4.4483E-015   3.1214E-007   1.0000E+000
    1.227269E+04   1.0000E-099   1.9360E-014   6.6009E-007   1.0000E+000
