#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    2.182447E+04   8.7733E-001   1.2267E-001   1.9308E-015   1.2838E-046   9.2182E-067
    2.306690E+04   8.2918E-001   1.7082E-001   4.1934E-015   4.6930E-046   2.3539E-066
    2.438107E+04   7.5900E-001   2.4100E-001   9.1816E-015   1.2570E-045   5.9542E-066
    2.587845E+04   6.8087E-001   3.1913E-001   1.6734E-014   2.3557E-045   1.4066E-065
    2.749199E+04   5.5623E-001   4.4377E-001   3.6470E-014   4.4899E-045   3.1511E-065
    2.896661E+04   5.1560E-001   4.8440E-001   3.8900E-014   3.6656E-045   2.6724E-065
    3.023928E+04   5.3878E-001   4.6122E-001   2.6287E-014   1.8652E-045   1.6046E-065
    3.138852E+04   4.9033E-001   5.0967E-001   3.2489E-014   2.1234E-045   1.6674E-065
    3.250795E+04   4.4602E-001   5.5398E-001   4.0393E-014   2.2827E-045   1.9074E-065
    3.365620E+04   3.7395E-001   6.2605E-001   6.5512E-014   3.1185E-045   2.8094E-065
    3.486705E+04   3.2069E-001   6.7931E-001   9.2835E-014   3.4390E-045   3.7445E-065
    3.613166E+04   2.7080E-001   7.2920E-001   1.3182E-013   3.8690E-045   5.0442E-065
    3.742115E+04   2.2434E-001   7.7566E-001   1.8551E-013   4.3591E-045   6.7921E-065
    3.871394E+04   1.8597E-001   8.1403E-001   2.4353E-013   4.7294E-045   8.6900E-065
    3.997047E+04   1.6885E-001   8.3115E-001   2.5277E-013   3.9991E-045   9.0979E-065
    4.112379E+04   1.5058E-001   8.4942E-001   2.6561E-013   3.5233E-045   9.6563E-065
    4.218343E+04   1.2723E-001   8.7277E-001   2.9910E-013   3.3924E-045   1.0934E-064
    4.320753E+04   1.0538E-001   8.9462E-001   3.3744E-013   3.2623E-045   1.2475E-064
    4.423621E+04   8.7783E-002   9.1222E-001   3.7071E-013   3.0657E-045   1.4007E-064
    4.529664E+04   7.5236E-002   9.2476E-001   3.9350E-013   2.8340E-045   1.5354E-064
    4.639486E+04   6.7398E-002   9.3260E-001   4.0816E-013   2.6206E-045   1.6526E-064
    4.752261E+04   6.2381E-002   9.3762E-001   4.3263E-013   2.5466E-045   1.8073E-064
    4.867617E+04   5.9634E-002   9.4037E-001   4.7473E-013   2.6203E-045   2.0165E-064
    4.985675E+04   5.8785E-002   9.4122E-001   5.3637E-013   2.8321E-045   2.2753E-064
    5.106564E+04   5.9395E-002   9.4060E-001   6.1507E-013   3.1809E-045   2.5641E-064
    5.230378E+04   6.0828E-002   9.3917E-001   7.0607E-013   3.6843E-045   2.8583E-064
    5.357136E+04   6.2275E-002   9.3773E-001   8.0484E-013   4.3865E-045   3.1402E-064
    5.486695E+04   6.3022E-002   9.3698E-001   9.0786E-013   5.3480E-045   3.4014E-064
    5.618695E+04   6.2522E-002   9.3748E-001   1.0138E-012   6.6426E-045   3.6455E-064
    5.752536E+04   6.0565E-002   9.3944E-001   1.1227E-012   8.3365E-045   3.8826E-064
    5.887450E+04   5.7563E-002   9.4244E-001   1.2314E-012   1.0416E-044   4.1136E-064
    6.022291E+04   5.4382E-002   9.4562E-001   1.3309E-012   1.2705E-044   4.3227E-064
    6.155592E+04   5.1734E-002   9.4827E-001   1.4126E-012   1.4919E-044   4.4938E-064
    6.285824E+04   4.9812E-002   9.5019E-001   1.4739E-012   1.6839E-044   4.6259E-064
    6.411280E+04   4.8585E-002   9.5142E-001   1.5159E-012   1.8340E-044   4.7248E-064
    6.529403E+04   4.7794E-002   9.5221E-001   1.5438E-012   1.9446E-044   4.8034E-064
    6.638404E+04   4.7418E-002   9.5258E-001   1.5595E-012   2.0159E-044   4.8620E-064
    6.736672E+04   4.7805E-002   9.5219E-001   1.5592E-012   2.0382E-044   4.8804E-064
    6.821143E+04   4.8250E-002   9.5175E-001   1.5541E-012   2.0400E-044   4.8903E-064
    6.893337E+04   4.9149E-002   9.5085E-001   1.5413E-012   2.0168E-044   4.7947E-064
    6.953439E+04   5.2287E-002   9.4771E-001   1.5108E-012   1.9509E-044   4.4851E-064
    6.977430E+04   5.5318E-002   9.4468E-001   1.4525E-012   1.7975E-044   4.0761E-064
    6.989457E+04   5.8951E-002   9.4105E-001   1.3515E-012   1.5528E-044   3.5676E-064
    6.995478E+04   6.3705E-002   9.3629E-001   1.1993E-012   1.1955E-044   3.0281E-064
    6.998490E+04   6.8230E-002   9.3177E-001   9.7694E-013   8.1609E-045   2.3919E-064
    6.999922E+04   7.3882E-002   9.2612E-001   7.3748E-013   5.0027E-045   1.7599E-064
    6.999997E+04   7.4858E-002   9.2514E-001   6.9817E-013   4.6106E-045   1.6640E-064
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    8.772128E+02   6.7655E-024   1.4574E-016   5.6386E-010   1.6436E-004   9.9984E-001
    8.833155E+02   6.7655E-024   1.4574E-016   5.6386E-010   1.6436E-004   9.9984E-001
    9.018795E+02   6.7656E-024   1.4574E-016   5.6387E-010   1.6436E-004   9.9984E-001
