#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
4401.86 6.66e-28 6.44e-20 2.24e-12 4.53e-06 1.47e-02 7.85e-01 2.00e-01 
4670.75 1.22e-27 1.17e-19 3.96e-12 7.38e-06 2.01e-02 8.29e-01 1.51e-01 
4956.05 1.23e-27 1.27e-19 4.47e-12 8.56e-06 2.27e-02 8.50e-01 1.27e-01 
5258.79 1.02e-27 1.18e-19 4.55e-12 9.21e-06 2.43e-02 8.60e-01 1.15e-01 
5580.02 1.33e-27 1.65e-19 6.70e-12 1.34e-05 3.12e-02 8.80e-01 8.83e-02 
5920.87 1.84e-27 2.34e-19 9.13e-12 1.77e-05 3.78e-02 8.95e-01 6.67e-02 
6282.54 2.27e-27 3.08e-19 1.29e-11 2.45e-05 4.62e-02 9.03e-01 5.12e-02 
6666.30 3.98e-27 5.52e-19 2.26e-11 3.99e-05 6.26e-02 9.05e-01 3.25e-02 
7073.50 8.11e-27 1.15e-18 4.57e-11 7.23e-05 8.87e-02 8.91e-01 1.97e-02 
7505.58 1.26e-26 1.85e-18 7.43e-11 1.10e-04 1.14e-01 8.74e-01 1.16e-02 
7964.05 3.42e-26 5.19e-18 2.02e-10 2.53e-04 1.82e-01 8.13e-01 4.76e-03 
8450.53 2.08e-25 3.06e-17 1.06e-09 9.69e-04 3.56e-01 6.42e-01 1.11e-03 
8966.72 1.21e-24 1.71e-16 4.86e-09 3.10e-03 5.95e-01 4.02e-01 1.80e-04 
9514.44 1.02e-23 1.36e-15 3.09e-08 1.16e-02 8.42e-01 1.46e-01 1.06e-05 
10095.62 1.82e-22 2.14e-14 3.26e-07 5.37e-02 9.25e-01 2.10e-02 8.02e-08 
10712.30 6.80e-21 6.78e-13 5.83e-06 3.09e-01 6.91e-01 8.87e-04 8.64e-11 
11366.65 2.16e-19 1.83e-11 7.65e-05 8.79e-01 1.21e-01 2.75e-06 6.23e-16 
12061.10 5.40e-18 4.06e-10 6.88e-04 9.97e-01 2.79e-03 5.27e-10 1.32e-22 
12793.43 2.56e-16 1.63e-08 9.10e-03 9.91e-01 2.22e-05 1.42e-15 8.82e-33 
13528.61 3.12e-14 1.41e-06 1.83e-01 8.17e-01 8.41e-08 1.80e-21 5.03e-38 
14194.74 9.02e-13 2.92e-05 8.52e-01 1.48e-01 1.72e-11 4.10e-29 5.11e-39 
14757.77 5.89e-12 1.31e-04 9.89e-01 1.05e-02 6.16e-15 5.35e-38 7.51e-39 
15240.48 3.68e-11 4.80e-04 9.99e-01 7.96e-04 4.10e-18 6.67e-38 9.74e-39 
15646.99 2.78e-10 1.80e-03 9.98e-01 7.52e-05 3.43e-21 7.94e-38 1.20e-38 
15960.30 2.59e-09 7.30e-03 9.93e-01 6.79e-06 4.92e-24 9.34e-38 1.44e-38 
16187.41 1.34e-08 2.15e-02 9.78e-01 9.96e-07 2.77e-26 1.50e-37 2.36e-38 
16354.17 4.42e-08 4.85e-02 9.51e-01 1.95e-07 3.45e-28 2.55e-37 4.08e-38 
16484.18 8.81e-08 8.10e-02 9.19e-01 4.24e-08 4.42e-31 4.18e-37 6.78e-38 
16593.12 1.44e-07 1.20e-01 8.80e-01 1.32e-08 3.48e-33 6.09e-37 9.98e-38 
