#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6
4.3688e+04 1.8873e-01 8.1127e-01 2.1850e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 4.0873e-01 5.9127e-01 1.1229e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 6.5871e-01 3.4129e-01 5.1683e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 6.6029e-01 3.3971e-01 3.4770e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 6.1284e-01 3.8716e-01 4.2070e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 5.5452e-01 4.4548e-01 5.5456e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 4.8723e-01 5.1277e-01 7.7858e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 4.1782e-01 5.8218e-01 1.1039e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 3.5077e-01 6.4923e-01 1.5443e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 2.8873e-01 7.1127e-01 2.1326e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 2.3346e-01 7.6654e-01 2.9049e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 1.8595e-01 8.1405e-01 3.9058e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 1.4679e-01 8.5321e-01 5.1604e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 1.1509e-01 8.8491e-01 6.7407e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 9.0433e-02 9.0957e-01 8.6279e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 7.1282e-02 9.2872e-01 1.0895e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 5.6758e-02 9.4324e-01 1.3514e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 4.5884e-02 9.5412e-01 1.6425e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 3.7795e-02 9.6220e-01 1.9531e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 3.1826e-02 9.6817e-01 2.2716e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 2.7461e-02 9.7254e-01 2.5814e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 2.4275e-02 9.7573e-01 2.8735e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 2.2003e-02 9.7800e-01 3.1229e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 2.1096e-02 9.7890e-01 3.2336e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 2.0858e-02 9.7914e-01 3.2572e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 2.0498e-02 9.7950e-01 3.3018e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 2.1563e-02 9.7844e-01 3.1225e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 1.8416e-02 9.8158e-01 3.6684e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 7.7005e-03 9.9230e-01 8.9658e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6
4.4010e+02 4.4273e-33 2.4466e-24 1.8094e-15 9.1291e-08 5.6346e-01 4.3649e-01 5.1710e-05
8.8623e+02 3.5540e-25 2.3594e-18 2.1254e-11 1.3037e-05 9.8913e-01 1.0852e-02 1.8949e-08
9.0614e+02 3.5775e-25 2.3730e-18 2.1339e-11 1.3068e-05 9.8926e-01 1.0732e-02 1.8481e-08
9.4442e+02 3.5801e-25 2.3745e-18 2.1349e-11 1.3072e-05 9.8927e-01 1.0721e-02 1.8441e-08
9.9911e+02 3.5834e-25 2.3764e-18 2.1360e-11 1.3076e-05 9.8928e-01 1.0705e-02 1.8380e-08
1.0608e+03 3.5592e-25 2.3632e-18 2.1279e-11 1.3048e-05 9.8920e-01 1.0782e-02 1.8673e-08
1.1257e+03 3.5525e-25 2.3583e-18 2.1246e-11 1.3033e-05 9.8911e-01 1.0875e-02 1.9038e-08
1.1944e+03 3.4621e-25 2.3056e-18 2.0912e-11 1.2909e-05 9.8861e-01 1.1378e-02 2.1069e-08
1.2673e+03 3.1317e-25 2.1128e-18 1.9671e-11 1.2443e-05 9.8653e-01 1.3462e-02 3.0703e-08
1.3448e+03 2.0045e-25 1.4369e-18 1.5021e-11 1.0588e-05 9.7305e-01 2.6942e-02 1.4579e-07
1.4269e+03 8.0424e-26 6.4898e-19 8.5259e-12 7.4398e-06 9.0171e-01 9.8275e-02 2.8294e-06
1.5140e+03 2.4758e-26 2.2952e-19 3.8861e-12 4.3103e-06 6.9365e-01 3.0630e-01 4.8287e-05
1.6065e+03 6.8576e-27 7.2726e-20 1.5413e-12 2.1216e-06 4.3152e-01 5.6814e-01 3.3512e-04
1.7047e+03 1.8158e-27 2.1521e-20 5.5275e-13 9.1704e-07 2.2583e-01 7.7272e-01 1.4447e-03
1.8088e+03 3.7741e-28 5.0341e-21 1.5864e-13 3.2194e-07 9.6262e-02 8.9811e-01 5.6278e-03
1.9193e+03 6.1404e-29 9.4446e-22 3.7546e-14 9.6131e-08 3.5518e-02 9.4373e-01 2.0750e-02
2.0365e+03 8.3784e-30 1.5101e-22 7.7166e-15 2.5495e-08 1.1738e-02 9.1542e-01 7.2846e-02
2.1609e+03 9.4310e-31 2.0283e-23 1.3551e-15 5.8981e-09 3.4120e-03 7.7623e-01 2.2036e-01
