#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    1.702116E+04   1.0000E-099   9.9895E-001   1.0534E-003   1.4337E-013
    1.711664E+04   1.0000E-099   9.9971E-001   2.8651E-004   4.6886E-015
    1.721561E+04   1.0000E-099   9.9990E-001   1.0159E-004   3.1064E-016
    1.732334E+04   1.0000E-099   9.9996E-001   3.8061E-005   2.4277E-017
    1.744562E+04   1.0000E-099   9.9999E-001   1.4841E-005   2.1297E-018
    1.759425E+04   1.0000E-099   9.9999E-001   5.8413E-006   1.9230E-019
    1.788224E+04   1.0000E-099   1.0000E+000   1.4770E-006   5.6496E-021
    1.867332E+04   1.0000E-099   1.0000E+000   1.4789E-007   1.5701E-023
    1.962851E+04   1.0000E-099   1.0000E+000   4.2471E-008   2.0683E-024
    2.067444E+04   1.0000E-099   1.0000E+000   2.8122E-008   5.8064E-024
    2.182447E+04   1.0000E-099   1.0000E+000   2.4378E-008   1.5276E-023
    2.306690E+04   1.0000E-099   1.0000E+000   3.3112E-008   5.6981E-023
    2.438107E+04   1.0000E-099   1.0000E+000   5.1175E-008   1.8664E-022
    2.587845E+04   1.0000E-099   1.0000E+000   7.5397E-008   3.9235E-022
    2.749199E+04   1.0000E-099   1.0000E+000   1.3393E-007   7.5990E-022
    2.896661E+04   1.0000E-099   1.0000E+000   1.3247E-007   4.8805E-022
    3.023928E+04   1.0000E-099   1.0000E+000   9.2145E-008   2.1481E-022
    3.138852E+04   1.0000E-099   1.0000E+000   9.9736E-008   2.0578E-022
    3.250795E+04   1.0000E-099   1.0000E+000   1.1326E-007   2.0177E-022
    3.365620E+04   1.0000E-099   1.0000E+000   1.5468E-007   2.5341E-022
    3.486705E+04   1.0000E-099   1.0000E+000   1.8428E-007   2.5477E-022
    3.613166E+04   1.0000E-099   1.0000E+000   2.1375E-007   2.5601E-022
    3.742115E+04   1.0000E-099   1.0000E+000   2.4255E-007   2.5681E-022
    3.871394E+04   1.0000E-099   1.0000E+000   2.6080E-007   2.4782E-022
    3.997047E+04   1.0000E-099   1.0000E+000   2.3224E-007   1.8550E-022
