#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    2.182447E+04   1.0000E-099   9.9999E-001   7.1571E-006   2.0359E-023   4.2636E-055
    2.306690E+04   1.0000E-099   9.9999E-001   1.0384E-005   7.4408E-023   1.8997E-054
    2.438107E+04   1.0000E-099   9.9998E-001   1.6414E-005   2.1897E-022   6.1860E-054
    2.587845E+04   1.0000E-099   9.9998E-001   2.4730E-005   5.0245E-022   1.3280E-053
    2.749199E+04   1.0000E-099   9.9995E-001   4.6726E-005   1.2514E-021   3.2391E-053
    2.896661E+04   1.0000E-099   9.9994E-001   5.5981E-005   1.2380E-021   2.8229E-053
    3.023928E+04   1.0000E-099   9.9995E-001   4.5894E-005   8.2036E-022   1.4761E-053
    3.138852E+04   1.0000E-099   9.9994E-001   5.7503E-005   1.2284E-021   2.1765E-053
    3.250795E+04   1.0000E-099   9.9992E-001   7.5617E-005   1.7793E-021   3.0671E-053
    3.365620E+04   1.0000E-099   9.9987E-001   1.2538E-004   3.4141E-021   6.1623E-053
    3.486705E+04   1.0000E-099   9.9981E-001   1.8677E-004   5.4039E-021   9.6251E-053
    3.613166E+04   1.0000E-099   9.9972E-001   2.7512E-004   8.8034E-021   1.5865E-052
    3.742115E+04   1.0000E-099   9.9960E-001   4.0232E-004   1.4662E-020   2.6985E-052
    3.871394E+04   1.0000E-099   9.9944E-001   5.5942E-004   2.3712E-020   4.4912E-052
    3.997047E+04   1.0000E-099   9.9936E-001   6.3909E-004   2.8192E-020   5.1573E-052
    4.112379E+04   1.0000E-099   9.9927E-001   7.3488E-004   3.4785E-020   6.2748E-052
    4.218343E+04   1.0000E-099   9.9910E-001   9.0147E-004   4.8089E-020   8.8649E-052
    4.320753E+04   1.0000E-099   9.9890E-001   1.1048E-003   6.5838E-020   1.2458E-051
    4.423621E+04   1.0000E-099   9.9870E-001   1.2951E-003   8.3181E-020   1.6016E-051
    4.529664E+04   1.0000E-099   9.9859E-001   1.4067E-003   9.3233E-020   1.8024E-051
    4.639486E+04   1.0000E-099   9.9860E-001   1.3982E-003   9.2196E-020   1.7668E-051
    4.752261E+04   1.0000E-099   9.9869E-001   1.3136E-003   8.5443E-020   1.6225E-051
    4.867617E+04   1.0000E-099   9.9882E-001   1.1805E-003   7.5758E-020   1.4288E-051
    4.985675E+04   1.0000E-099   9.9898E-001   1.0244E-003   6.4855E-020   1.2163E-051
    5.106564E+04   1.0000E-099   9.9913E-001   8.7170E-004   5.4386E-020   1.0144E-051
    5.230378E+04   1.0000E-099   9.9925E-001   7.4577E-004   4.5870E-020   8.5181E-052
    5.357136E+04   1.0000E-099   9.9934E-001   6.5779E-004   4.0094E-020   7.4428E-052
    5.486695E+04   1.0000E-099   9.9940E-001   6.0329E-004   3.6761E-020   6.8677E-052
    5.618695E+04   1.0000E-099   9.9943E-001   5.6763E-004   3.4953E-020   6.6328E-052
    5.752536E+04   1.0000E-099   9.9946E-001   5.3778E-004   3.3828E-020   6.5889E-052
    5.887450E+04   1.0000E-099   9.9950E-001   5.0456E-004   3.2652E-020   6.5744E-052
    6.022291E+04   1.0000E-099   9.9954E-001   4.6383E-004   3.0861E-020   6.4208E-052
    6.155592E+04   1.0000E-099   9.9958E-001   4.1681E-004   2.8333E-020   6.0521E-052
    6.285824E+04   1.0000E-099   9.9963E-001   3.6984E-004   2.5489E-020   5.5440E-052
    6.411280E+04   1.0000E-099   9.9968E-001   3.2400E-004   2.2480E-020   4.9402E-052
    6.529403E+04   1.0000E-099   9.9972E-001   2.8320E-004   1.9699E-020   4.3508E-052
    6.638404E+04   1.0000E-099   9.9975E-001   2.4822E-004   1.7242E-020   3.8086E-052
    6.736672E+04   1.0000E-099   9.9977E-001   2.2789E-004   1.5687E-020   3.4389E-052
    6.821143E+04   1.0000E-099   9.9979E-001   2.1355E-004   1.4619E-020   3.1765E-052
    6.893337E+04   1.0000E-099   9.9980E-001   1.9639E-004   1.3258E-020   2.8450E-052
    6.953439E+04   1.0000E-099   9.9982E-001   1.8379E-004   1.2077E-020   2.5265E-052
    6.977430E+04   1.0000E-099   9.9983E-001   1.7137E-004   1.0944E-020   2.2063E-052
    6.989457E+04   1.0000E-099   9.9985E-001   1.5278E-004   9.0224E-021   1.6829E-052
    6.995478E+04   1.0000E-099   9.9986E-001   1.3676E-004   7.1803E-021   1.1625E-052
    6.998490E+04   1.0000E-099   9.9988E-001   1.2126E-004   5.2134E-021   7.0704E-053
    6.999922E+04   1.0000E-099   9.9989E-001   1.0603E-004   3.4836E-021   3.8336E-053
    6.999997E+04   1.0000E-099   9.9990E-001   1.0433E-004   3.2638E-021   3.4962E-053
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    8.772128E+02   1.0000E-099   1.3048E-018   1.3170E-011   1.9898E-005   9.9998E-001
    8.833155E+02   1.0000E-099   1.3048E-018   1.3170E-011   1.9898E-005   9.9998E-001
    9.018795E+02   1.0000E-099   1.3048E-018   1.3170E-011   1.9898E-005   9.9998E-001
    9.401862E+02   1.0000E-099   1.3049E-018   1.3170E-011   1.9899E-005   9.9998E-001
    1.001110E+03   1.0000E-099   1.3048E-018   1.3170E-011   1.9898E-005   9.9998E-001
    1.062646E+03   1.0000E-099   1.3043E-018   1.3166E-011   1.9895E-005   9.9998E-001
    1.127988E+03   1.0000E-099   1.3012E-018   1.3140E-011   1.9873E-005   9.9998E-001
    1.197348E+03   1.0000E-099   1.2964E-018   1.3090E-011   1.9829E-005   9.9998E-001
    1.270973E+03   1.0000E-099   1.2876E-018   1.2994E-011   1.9742E-005   9.9998E-001
    1.349125E+03   1.0000E-099   1.1539E-018   1.1888E-011   1.8807E-005   9.9998E-001
    1.432083E+03   1.0000E-099   4.7354E-019   5.9366E-012   1.3014E-005   9.9999E-001
    1.520141E+03   1.0000E-099   1.6850E-019   2.6811E-012   8.6308E-006   9.9999E-001
    1.613615E+03   1.0000E-099   8.9730E-020   1.6699E-012   6.7926E-006   9.9999E-001
    1.712836E+03   1.0000E-099   5.5334E-020   1.1593E-012   5.6586E-006   9.9999E-001
    1.818158E+03   1.0000E-099   3.0015E-020   7.2846E-013   4.4974E-006   1.0000E+000
    1.929957E+03   1.0000E-099   1.5004E-020   4.3347E-013   3.4907E-006   1.0000E+000
    2.048630E+03   1.0000E-099   7.8781E-021   2.6755E-013   2.7674E-006   1.0000E+000
    2.174600E+03   1.0000E-099   3.5883E-021   1.4940E-013   2.0967E-006   1.0000E+000
    2.308316E+03   1.0000E-099   1.6239E-021   8.3974E-014   1.5946E-006   1.0000E+000
    2.450254E+03   1.0000E-099   6.8624E-022   4.4928E-014   1.1882E-006   1.0000E+000
    2.600920E+03   1.0000E-099   3.1537E-022   2.5524E-014   9.1376E-007   1.0000E+000
    2.760850E+03   1.0000E-099   1.8583E-022   1.7418E-014   7.6551E-007   1.0000E+000
    2.930615E+03   1.0000E-099   1.2181E-022   1.2903E-014   6.6506E-007   1.0000E+000
    3.110818E+03   1.0000E-099   8.5079E-023   1.0120E-014   5.9012E-007   1.0000E+000
    3.302102E+03   1.0000E-099   6.7226E-023   8.7499E-015   5.4546E-007   1.0000E+000
