#NTIMES: 49
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
16788.59 1.4509e-05 2.5728e-01 7.1273e-01 2.9974e-02
16888.37 1.7965e-05 1.7578e-01 7.8925e-01 3.4948e-02
16998.79 1.7402e-05 2.7272e-01 6.9469e-01 3.2573e-02
17146.37 1.2284e-05 1.7072e-01 7.8940e-01 3.9865e-02
17415.23 1.2208e-05 2.4568e-01 7.1299e-01 4.1319e-02
17888.12 2.4198e-06 5.3960e-02 8.8614e-01 5.9901e-02
18532.37 7.6424e-06 1.7014e-01 7.7308e-01 5.6772e-02
19260.76 1.3849e-06 4.3439e-02 8.7301e-01 8.3551e-02
20034.10 1.5351e-06 4.9514e-02 8.5621e-01 9.4274e-02
20838.00 1.8269e-06 7.0855e-02 8.0365e-01 1.2549e-01
21647.97 2.0269e-06 8.0597e-02 7.9045e-01 1.2895e-01
22447.94 9.5188e-07 4.6354e-02 8.0222e-01 1.5143e-01
23245.88 7.8282e-07 3.6728e-02 7.7350e-01 1.8977e-01
24052.47 2.8012e-07 1.7568e-02 7.3798e-01 2.4446e-01
24867.72 2.4551e-06 1.4879e-01 6.1299e-01 2.3822e-01
25698.86 1.2634e-06 9.3806e-02 6.3770e-01 2.6849e-01
26587.16 1.4862e-06 1.2887e-01 5.6237e-01 3.0876e-01
27637.54 9.4396e-07 1.0041e-01 4.9868e-01 4.0090e-01
28986.97 2.6414e-07 3.1804e-02 4.8223e-01 4.8596e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] s0 s1 s2 s3
1060.83 3.5935e-04 8.2024e-01 1.7487e-01 4.5235e-03
