#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
3684.57 7.64e-30 8.23e-22 5.82e-14 7.50e-07 1.91e-02 7.67e-01 2.13e-01 
3909.64 8.08e-30 7.83e-22 6.28e-14 9.01e-07 2.08e-02 7.84e-01 1.95e-01 
4148.46 7.58e-30 1.01e-21 8.56e-14 1.28e-06 2.53e-02 8.12e-01 1.62e-01 
4401.86 1.67e-29 2.10e-21 1.69e-13 2.30e-06 3.52e-02 8.44e-01 1.20e-01 
4670.75 4.53e-29 4.24e-21 3.32e-13 4.20e-06 4.98e-02 8.65e-01 8.47e-02 
4956.05 4.78e-29 4.85e-21 4.10e-13 5.46e-06 5.92e-02 8.72e-01 6.87e-02 
5258.79 4.25e-29 4.92e-21 4.57e-13 6.46e-06 6.56e-02 8.74e-01 6.00e-02 
5580.02 6.26e-29 7.58e-21 7.35e-13 1.02e-05 8.59e-02 8.71e-01 4.30e-02 
5920.87 8.87e-29 1.08e-20 1.09e-12 1.53e-05 1.09e-01 8.60e-01 3.08e-02 
6282.54 1.34e-28 1.74e-20 1.80e-12 2.47e-05 1.40e-01 8.39e-01 2.16e-02 
6666.30 2.70e-28 3.55e-20 3.69e-12 4.78e-05 1.98e-01 7.90e-01 1.23e-02 
7073.50 6.46e-28 8.60e-20 8.86e-12 1.05e-04 2.86e-01 7.08e-01 6.12e-03 
7505.58 1.34e-27 1.85e-19 1.93e-11 2.17e-04 3.90e-01 6.07e-01 2.88e-03 
7964.05 4.46e-27 6.32e-19 6.47e-11 6.27e-04 5.79e-01 4.20e-01 7.51e-04 
8450.53 2.56e-26 3.51e-18 3.27e-10 2.36e-03 8.13e-01 1.85e-01 7.88e-05 
8966.72 1.33e-25 1.72e-17 1.44e-09 7.81e-03 9.33e-01 5.94e-02 5.18e-06 
9514.44 1.30e-24 1.57e-16 1.11e-08 3.75e-02 9.52e-01 1.03e-02 1.00e-07 
10095.62 2.92e-23 3.03e-15 1.59e-07 2.62e-01 7.37e-01 5.63e-04 2.55e-10 
10712.30 4.59e-22 3.95e-14 1.39e-06 8.75e-01 1.25e-01 3.13e-06 1.33e-14 
11366.65 3.94e-21 2.78e-13 5.72e-06 9.98e-01 2.25e-03 1.93e-10 1.64e-21 
12061.10 5.32e-20 3.22e-12 3.35e-05 1.00e+00 7.48e-06 1.15e-15 6.46e-28 
12793.43 1.37e-18 6.79e-11 3.06e-04 1.00e+00 9.84e-09 1.71e-22 1.34e-29 
13528.61 8.86e-17 3.09e-09 4.40e-03 9.96e-01 2.51e-12 1.08e-29 5.01e-31 
14194.74 5.17e-15 1.33e-07 6.01e-02 9.40e-01 5.07e-16 2.93e-31 2.10e-32 
