#NTIMES 50
#NSTAGES 5
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
22447.94 1.8028e-08 1.0211e-03 1.3603e-01 5.1827e-01 3.4468e-01
23245.88 2.0126e-08 1.4804e-03 1.6878e-01 4.2995e-01 3.9979e-01
24052.47 4.3500e-09 3.9069e-04 8.0672e-02 4.2652e-01 4.9242e-01
24867.72 3.3398e-09 4.4988e-04 9.8176e-02 3.7943e-01 5.2194e-01
25698.86 6.5151e-09 1.0420e-03 8.7571e-02 3.5629e-01 5.5510e-01
26587.16 2.4654e-08 4.2261e-03 6.2414e-02 3.1815e-01 6.1521e-01
27637.54 1.7524e-08 2.4990e-03 4.5635e-02 2.8705e-01 6.6482e-01
28986.97 1.2851e-09 1.4883e-04 3.6502e-02 2.6099e-01 7.0236e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
1060.83 2.7806e-04 5.3017e-01 3.5774e-01 9.5205e-02 1.6600e-02
1919.29 2.4277e-04 5.6314e-01 3.3654e-01 8.5732e-02 1.4339e-02
2581.60 1.0804e-04 4.3728e-01 4.0875e-01 1.2833e-01 2.5532e-02
3084.17 5.5536e-05 2.9983e-01 4.8215e-01 1.7789e-01 4.0069e-02
3472.46 1.9365e-05 1.6169e-01 5.4284e-01 2.3635e-01 5.9106e-02
